case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
1_0,correct,True,1.0,1.0,1.0,1.0,42.74,0.013575,2026-02-24T12:55:53.780214,
1_1,error,False,,,,,,0.005704,2026-02-24T12:57:35.452513,"expected string or bytes-like object, got 'dict'"
1_10,error,False,,,,,,0.006168,2026-02-24T12:58:36.549190,"expected string or bytes-like object, got 'dict'"
1_11,correct,True,1.0,1.0,1.0,1.0,36.87,0.012291,2026-02-24T12:58:37.202597,
1_12,incorrect,False,0.8818181818181818,0.7636363636363636,1.0,0.0,286.98,0.099963,2026-02-24T12:59:14.833251,
1_13,correct,True,1.0,1.0,1.0,1.0,65.31,0.020869,2026-02-24T13:04:02.500361,
1_14,error,False,,,,,,0.005884,2026-02-24T13:06:12.340470,"expected string or bytes-like object, got 'dict'"
1_15,correct,True,1.0,1.0,1.0,1.0,51.51,0.014538,2026-02-24T13:06:12.985536,
1_16,incorrect,False,0.5,0.0,1.0,0.0,251.92,0.073513,2026-02-24T13:07:05.069585,
1_17,correct,True,1.0,1.0,1.0,1.0,69.81,0.021065,2026-02-24T13:11:17.862383,
1_18,correct,True,1.0,1.0,1.0,1.0,193.49,0.055861,2026-02-24T13:12:28.161308,
1_19,correct,True,1.0,1.0,1.0,1.0,110.34,0.022853,2026-02-24T13:15:42.736639,
1_2,correct,True,0.9521276595744681,0.9042553191489361,1.0,1.0,330.7,0.136512,2026-02-24T13:17:34.133027,
1_20,correct,True,1.0,1.0,1.0,1.0,81.07,0.021237,2026-02-24T13:23:05.414190,
1_21,error,False,,,,,,0.005089,2026-02-24T13:25:34.838593,"expected string or bytes-like object, got 'dict'"
1_22,incorrect,False,0.5,0.0,1.0,0.0,245.93,0.072008,2026-02-24T13:25:35.803925,
1_23,incorrect,False,1.0,1.0,1.0,0.5,35.62,0.012927,2026-02-24T13:29:42.338741,
1_24,correct,True,1.0,1.0,1.0,1.0,56.94,0.02011,2026-02-24T13:30:18.539625,
1_25,correct,True,1.0,1.0,1.0,1.0,70.64,0.023862,2026-02-24T13:31:16.081348,
1_26,error,False,,,,,,0.005185,2026-02-24T13:33:24.750846,"expected string or bytes-like object, got 'dict'"
1_27,incorrect,False,0.6422413793103449,0.28448275862068967,1.0,0.0,358.0,0.126775,2026-02-24T13:33:25.483073,
1_28,correct,True,1.0,1.0,1.0,1.0,159.46,0.051703,2026-02-24T13:39:24.281261,
1_29,correct,True,1.0,1.0,1.0,1.0,35.33,0.012889,2026-02-24T13:42:04.335032,
1_3,correct,True,1.0,1.0,1.0,1.0,69.77,0.021357,2026-02-24T13:42:40.234425,
1_30,correct,True,1.0,1.0,1.0,1.0,47.37,0.019843,2026-02-24T13:43:50.654367,
1_4,correct,True,1.0,1.0,1.0,1.0,35.85,0.013209,2026-02-24T13:44:38.791871,
1_5,correct,True,1.0,1.0,1.0,1.0,63.95,0.022562,2026-02-24T13:45:15.305153,
1_6,correct,True,1.0,1.0,1.0,1.0,46.03,0.015834,2026-02-24T13:46:20.251241,
1_7,error,False,,,,,,0.005448,2026-02-24T13:48:04.664494,"expected string or bytes-like object, got 'dict'"
1_8,correct,True,1.0,1.0,1.0,1.0,42.01,0.014431,2026-02-24T13:48:05.474312,
1_9,correct,True,1.0,1.0,1.0,1.0,97.15,0.032794,2026-02-24T13:48:49.216437,
