case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
1_1,correct,True,1.0,1.0,1.0,1.0,51.07,0.014658,2026-02-25T09:23:13.439726,
1_7,incorrect,False,,,,,260.51,0.079586,2026-02-25T09:24:05.034668,
1_10,incorrect,False,0.8181818181818181,0.6363636363636364,1.0,0.0,287.05,0.103905,2026-02-25T09:28:26.159017,
1_14,correct,True,1.0,1.0,1.0,1.0,77.03,0.017328,2026-02-25T09:33:13.739409,
1_21,correct,True,1.0,1.0,1.0,1.0,52.59,0.013958,2026-02-25T09:34:31.267172,
1_26,correct,True,1.0,1.0,1.0,1.0,179.31,0.061692,2026-02-25T09:35:24.516083,
1_32,correct,True,1.0,1.0,1.0,1.0,63.81,0.023924,2026-02-25T09:38:24.402615,
1_36,incorrect,False,0.9010152284263959,0.8020304568527918,1.0,0.0,290.16,0.114816,2026-02-25T09:39:28.896523,
1_38,correct,True,1.0,1.0,1.0,1.0,44.91,0.013367,2026-02-25T09:44:19.554947,
1_39,correct,True,1.0,1.0,1.0,1.0,121.77,0.033014,2026-02-25T09:45:05.135004,
1_45,correct,True,1.0,1.0,1.0,1.0,74.13,0.021217,2026-02-25T09:47:07.424600,
1_50,correct,True,1.0,1.0,1.0,1.0,103.4,0.022268,2026-02-25T09:48:22.465777,
1_51,error,False,,,,,,0.012913,2026-02-25T09:51:42.597126,"expected string or bytes-like object, got 'dict'"
1_57,incorrect,False,1.0,1.0,1.0,0.5,125.74,0.037231,2026-02-25T09:51:43.240506,
1_62,correct,True,1.0,1.0,1.0,1.0,95.46,0.027725,2026-02-25T09:53:49.535327,
1_65,correct,True,1.0,1.0,1.0,1.0,46.87,0.015176,2026-02-25T09:55:25.510066,
1_66,correct,True,1.0,1.0,1.0,1.0,55.42,0.014316,2026-02-25T09:56:13.051557,
1_74,correct,True,1.0,1.0,1.0,1.0,147.41,0.035049,2026-02-25T09:57:09.378669,
1_75,error,False,,,,,,0.006844,2026-02-25T10:01:01.987899,"expected string or bytes-like object, got 'dict'"
1_79,incorrect,False,,,,,317.65,0.089435,2026-02-25T10:01:02.697171,
1_85,incorrect,False,,,,,319.12,0.149847,2026-02-25T10:06:21.503747,
1_89,error,False,,,,,,0.051309,2026-02-25T10:12:50.888006,'NoneType' object is not subscriptable
1_90,correct,True,0.5,0.0,1.0,1.0,151.52,0.063056,2026-02-25T10:12:51.509730,
1_96,incorrect,False,0.5,0.0,1.0,0.0,233.72,0.104837,2026-02-25T10:15:23.777390,
