case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
4_15,incorrect,False,,,,,148.17,0.042852,2026-02-25T11:36:58.606381,
4_16,incorrect,False,0.75,0.5,1.0,0.0,352.26,0.081354,2026-02-25T11:39:27.965277,
4_17,incorrect,False,,,,,119.67,0.031904,2026-02-25T11:45:21.141548,
4_18,incorrect,False,0.9285714285714286,0.8571428571428571,1.0,0.0,102.09,0.031258,2026-02-25T11:47:21.337533,
4_19,incorrect,False,0.9285714285714286,0.8571428571428571,1.0,0.0,37.2,0.011302,2026-02-25T11:49:03.870787,
4_20,incorrect,False,0.9285714285714286,0.8571428571428571,1.0,0.0,31.42,0.011455,2026-02-25T11:49:41.516280,
4_21,incorrect,False,,,,,270.42,0.125974,2026-02-25T11:50:13.374186,
4_22,incorrect,False,0.9285714285714286,0.8571428571428571,1.0,0.0,95.83,0.030996,2026-02-25T11:54:44.235948,
4_23,incorrect,False,,,,,288.88,0.203525,2026-02-25T11:56:20.498909,
4_24,incorrect,False,0.6403508771929824,0.2807017543859649,1.0,0.0,377.61,0.118719,2026-02-25T12:01:09.847818,
4_25,incorrect,False,,,,,64.85,0.023134,2026-02-25T12:07:27.964239,
4_26,incorrect,False,,,,,158.41,0.038795,2026-02-25T12:08:33.364292,
4_27,incorrect,False,0.7142857142857142,0.4285714285714285,1.0,0.0,355.76,0.078678,2026-02-25T12:11:12.216544,
4_28,incorrect,False,0.6,0.2,1.0,0.0,176.24,0.049012,2026-02-25T12:17:08.431205,
4_29,incorrect,False,0.5,0.0,1.0,0.0,219.76,0.061172,2026-02-25T12:20:05.190195,
4_30,correct,True,0.8965014577259475,0.7930029154518949,1.0,1.0,101.15,0.040126,2026-02-25T12:23:46.204768,
4_31,incorrect,False,0.9583333333333333,0.9166666666666666,1.0,0.0,59.77,0.019161,2026-02-25T12:25:27.794883,
4_32,incorrect,False,1.0,1.0,1.0,0.0,50.44,0.012736,2026-02-25T12:26:28.065053,
4_33,incorrect,False,,,,,315.88,0.085009,2026-02-25T12:27:19.025117,
4_34,incorrect,False,,,,,249.48,0.087009,2026-02-25T12:32:35.337319,
