Country / territory of asylum/residence,Year,Value
Albania,2005,211121
Albania,2006,1132
Albania,2007,161
Albania,2010,12111
Albania,2011,11
Albania,2012,1
Albania,2013,454214
Albania,2014,7131532154
Albania,2015,13111113325
Albania,2016,113461174
Albania,2017,*****11*****18*565*5*818
Albania,2018,**19*523813**3210916*5670*9*********818**42199*5
Australia,1999,110711611318113122271157893254125153117385318101711361421482214716484531301411428634313714212111213311011321425151633491031163522118124811532212201156391533146652135474327111321114151221417721642241141273018811912395245232821134238111341141217185213111133711
Australia,2000,122113332254282811118131461106591012483921176100251711131197125213219815375122021271213258262259262123122110112232671212629164342514132412116378211437162165518680461318613747511587255871011101032111411624241302151111832821631493251211202260352320101221311112182611523162112516412253913121796733144565416398341
Australia,2001,11472522613342141162287838761422621871321422412141131422024621716141222316312111121314358201212227641016141810136741621411107812221112517111182121119310161431181255182479251471538231211421931127913192232011611114178141313224312295014757225237211125108256221012096139270324110652212332313216182
Australia,2002,1222362818851321771111232132816523221306111511112301244154552212541043011383518726193223192602365256179173431744112111313012321214421825317219461151523612215015410384113283131522174114712412614133331461114728375610318714124265119131411122
Australia,2003,16211231216512131413211123166103312511321416211341516161243544932141116631111161191616134718221111261123103414213119111291962223263574312124123116824131766252161022131181719416213112141311223421721
Australia,2004,3611111132451411343211113547811614612122977911111635115142111317616162165153771417213422121231522511542411113217118932721389111411410121216111121143146314226571226154723
Australia,2005,2121142111261241197112191571232618281421113451312118211291159205310242213318221219111237121217791112134532932161113361143171213161113812162216181164
Australia,2006,392118112218715248638113121216121451111912133154211191539471291814631411862132144101618323125113232411181110383135212942311457474271138511221154623611124121116122145
Australia,2007,1593224212112151111363312425122112101121215232117215191210211121424121114201343125131142211534331081171411321184192222331721255191153134112111121351181317111465311117218
Australia,2008,351111191126143125118342218214811911911612103321133512322136114132311182116137261233122898442131415111917211312615141572231546114152018111111116149231111361119116512316112116761881818108181151552145113
Australia,2009,3111111122231144164821239138713816411112236348226453171217144154163115311938321218712172827524212111271141869243125121541191764851921641201182151736322410312216243294231
Australia,2010,12214211033121134331131712912632116215512103514121216311430134100361142131111121813286137212381411462324517746421784135232226916441131113702621112881309013142652238575268622101311614227131712224211683613122138883741713818791231066422864713621471436315331
Australia,2011,5631053125271523121851949915211111211921201821414195511231171421154132442118748210195810216418529421851112827271241117538713115265140921416231132411211131121341184220891715128339236226453821134918181814192116102333181172354111
Australia,2012,332118710211101721541111423239370213110103214515114230111465112111112511226141214162311441081511414494111167655482111112332912245329233303219943122141421417111511111315291423652616481430331628196552772581612351448961223242181283945522214427330131611455910116
Australia,2013,4458202732318282884501125174347312197945892487111115422243223111121111912182112141329612515860115712211110325118316811275112011412010111532915751162119261151118211411321253121762210638348415614191332101684144322015271312005110212481634203147782801119105129139241223103612532213395
Australia,2014,102412113192513839411532203045173271447219271182140108410931112951086126254281511131515391212019317619111112313772541211711619121123111788111611311261362221234211411121212991120316659203632232841711271410116641222217924624111210209112721132111141666111213391322410141
Australia,2015,474345173122819631113662421727171923491160231391415251121112124717232511313231582360104418810191112821352283618191132143650124111221441033519214437155114147214172238414111181111243122510161171319141612721482112102258211282121381141611416713131162612321136112
Australia,2016,51561637141029547616863561671137131167871277517962318365294381971513588159715261165190615661302721742115191075555994471434252101798551686922131187197311726286261213181111861879205
Australia,2017,668187196214057147071529988998716966758195177128104717210391001816815177125391436011583771861432104723444102151832644763238136166521291052381713430202414653076375341091065101131265312616158505766100073247295245614
Australia,2018,15510102043136135242416517561182245392675322079531222070743413174995688017914688712271057213676892128775517115050
Austria,1999,12181214115232942223111012168219820110814176318476562851311536131511101685211756243421812325210122114818123011671655101891233142213511921411081922712451717448123131111521432216170570417161743622161211222120721371007
Austria,2000,725312427214113329111171558135114812142492321281436101479540921211416316215427614993389362345028601715517172026114110122122644944311451712989411252014411145112114139428671823272161158212514616171110312117518110398171133171713231156812512231011698224110154328138131278741
Austria,2001,12111414141211662664511305227106102126281251153781562212648543855171131463312191112302101177135731213721411131415111301611127542129675955818621953111062731896247091145146279212941178551413365305107112113179201115040131513521151977312573219928202874234521332171324291518481642427716199151711
Austria,2002,8595512628150315210661249310811510415912114122825113832474315631266453010924337312317859108481115916404737731274854012115910915167081217922288159613392102875816017831423264743623711111891914612524511721511338390101644341722115011121086213946291111234892104161543618914439187192123112724139146424321261213241686213462549131127103111
Austria,2003,212295332119819756221410712602162117101512346408470126836621446732141681719511366231716321112383115453844493519118611206368101412991350912246561785551610122674753038552145271231419130163713622913246552653211185335382100227351141111001466412721199541917812111016323221232160134211216111214331379491147118172226273332143341217212757610122402311267277
Austria,2004,1219553296189218941691151234294227020627141661319122252156111551172452131224625723711242425851180532512511724163111481201432251911247234431219558383502694343618121002125274575261961122223116101013153122267131613991137427119668201321111173311691035121198194115187344192312143071316113254332811912217611132427653721171316621
Austria,2005,84548119658365341314116522181002314383181738123211202265121065201163223134133144165421174409034744124983702311834441145381724242126122843511406151437111181375557110313571208151251551262138443618105663515522371812119125442754611437521231415683250211330232137107911331019721823921263131335212347711326369
Austria,2006,25111731121331212611134211124232165711127182313141212951211276519209140369521945735115118221216814448732303119229213212671214714361133123354281937427239731061512055419731103242431151210615331382212616151013314574912816422331521432916166203416930143
Austria,2007,531719111471331141119815321131531592351272121101421438117461811125501311812115510211411134263911221315122483472226291325953417211265411351912334919136926315916361151532108511616171111322124187121481119177131383
Austria,2008,312228291111532536163131930128453520323239194311066301011212213181620103111028162202631116213825416115521112020142312121221781112211451259511511031144612651520212621191013810111137122136173213113283118262921224141021111019212753155301413262762162
Austria,2009,251618135221134231131113121826111084214113453569220598684426511222123153111022351115324493111191511041915177371823301951831127531851286112011554241193065304211622373323111742171122213276414423038233323112151825261135313124941200122128272186895102471010213213321311301747413139512743355
