case,length_id,target_id,num_src_tables,src_numeric_total,src_categorical_total,src_numeric_avg,src_numeric_min,src_numeric_max,src_categorical_avg,src_categorical_min,src_categorical_max,tgt_numeric,tgt_categorical
length1_0,1,0,1,2,3,2.0,2,2,3.0,3,3,1,1
length1_1,1,1,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_2,1,2,2,20,10,10.0,10,10,5.0,5,5,10,5
length1_3,1,3,1,9,2,9.0,9,9,2.0,2,2,1,1
length1_4,1,4,1,9,2,9.0,9,9,2.0,2,2,1,1
length1_5,1,5,2,4,2,2.0,2,2,1.0,1,1,3,2
length1_6,1,6,1,6,6,6.0,6,6,6.0,6,6,5,1
length1_7,1,7,2,3,4,1.5,1,2,2.0,2,2,3,3
length1_8,1,8,2,4,0,2.0,2,2,0.0,0,0,3,0
length1_9,1,9,1,76,1,76.0,76,76,1.0,1,1,4,0
length1_10,1,10,1,6,4,6.0,6,6,4.0,4,4,5,1
length1_11,1,11,1,1,2,1.0,1,1,2.0,2,2,1,1
length1_12,1,12,2,6,4,3.0,0,6,2.0,2,2,6,3
length1_13,1,13,1,4,4,4.0,4,4,4.0,4,4,1,2
length1_14,1,14,2,22,3,11.0,1,21,1.5,1,2,22,3
length1_15,1,15,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_16,1,16,1,8,17,8.0,8,8,17.0,17,17,1,1
length1_17,1,17,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_18,1,18,1,5,0,5.0,5,5,0.0,0,0,5,0
length1_19,1,19,2,8,13,4.0,4,4,6.5,4,9,7,13
length1_20,1,20,1,3,4,3.0,3,3,4.0,4,4,3,2
length1_21,1,21,1,9,2,9.0,9,9,2.0,2,2,1,1
length1_22,1,22,1,2,0,2.0,2,2,0.0,0,0,2,0
length1_23,1,23,1,2,1,2.0,2,2,1.0,1,1,2,0
length1_24,1,24,1,2,0,2.0,2,2,0.0,0,0,2,0
length1_25,1,25,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_26,1,26,2,3,4,1.5,1,2,2.0,2,2,3,3
length1_27,1,27,1,21,6,21.0,21,21,6.0,6,6,21,0
length1_28,1,28,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_29,1,29,1,4,3,4.0,4,4,3.0,3,3,1,1
length1_30,1,30,2,4,3,2.0,1,3,1.5,1,2,3,3
length1_31,1,31,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_32,1,32,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_33,1,33,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_34,1,34,1,0,1,0.0,0,0,1.0,1,1,0,1
length1_35,1,35,1,2,1,2.0,2,2,1.0,1,1,2,0
length1_36,1,36,2,20,10,10.0,10,10,5.0,5,5,10,5
length1_37,1,37,2,6,3,3.0,3,3,1.5,1,2,4,3
length1_38,1,38,1,7,1,7.0,7,7,1.0,1,1,3,0
length1_39,1,39,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_40,1,40,1,8,17,8.0,8,8,17.0,17,17,2,1
length1_41,1,41,1,76,1,76.0,76,76,1.0,1,1,4,0
length1_42,1,42,2,25,3,12.5,4,21,1.5,0,3,4,1
length1_43,1,43,1,1,7,1.0,1,1,7.0,7,7,7,1
length1_44,1,44,1,1,4,1.0,1,1,4.0,4,4,1,1
length1_45,1,45,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_46,1,46,1,2,3,2.0,2,2,3.0,3,3,2,1
length1_47,1,47,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_48,1,48,1,2,3,2.0,2,2,3.0,3,3,2,1
length1_49,1,49,2,20,10,10.0,10,10,5.0,5,5,10,5
length1_50,1,50,2,8,13,4.0,4,4,6.5,4,9,7,13
length1_51,1,51,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_52,1,52,1,2,0,2.0,2,2,0.0,0,0,2,0
length1_53,1,53,1,4,2,4.0,4,4,2.0,2,2,4,1
length1_54,1,54,1,2,0,2.0,2,2,0.0,0,0,2,0
length1_55,1,55,1,0,1,0.0,0,0,1.0,1,1,0,1
length1_56,1,56,2,8,13,4.0,4,4,6.5,4,9,7,13
length1_57,1,57,1,4,0,4.0,4,4,0.0,0,0,2,0
length1_58,1,58,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_59,1,59,1,8,17,8.0,8,8,17.0,17,17,1,1
length1_60,1,60,1,1,2,1.0,1,1,2.0,2,2,1,1
length1_61,1,61,1,6,6,6.0,6,6,6.0,6,6,5,1
length1_62,1,62,1,2,3,2.0,2,2,3.0,3,3,2,1
length1_63,1,63,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_64,1,64,2,169,9,84.5,2,167,4.5,1,8,169,9
length1_65,1,65,1,8,13,8.0,8,8,13.0,13,13,2,0
length1_66,1,66,2,8,4,4.0,3,5,2.0,2,2,8,3
length1_67,1,67,1,7,1,7.0,7,7,1.0,1,1,3,0
length1_68,1,68,1,0,1,0.0,0,0,1.0,1,1,0,1
length1_69,1,69,2,3,4,1.5,1,2,2.0,2,2,3,3
length1_70,1,70,2,3,11,1.5,0,3,5.5,3,8,2,5
length1_71,1,71,1,5,3,5.0,5,5,3.0,3,3,2,1
length1_72,1,72,1,2,0,2.0,2,2,0.0,0,0,2,0
length1_73,1,73,2,21,3,10.5,10,11,1.5,1,2,21,2
length1_74,1,74,2,8,13,4.0,4,4,6.5,4,9,7,13
length1_75,1,75,1,10,6,10.0,10,10,6.0,6,6,15,1
length1_76,1,76,2,6,6,3.0,3,3,3.0,2,4,6,5
length1_77,1,77,1,1,7,1.0,1,1,7.0,7,7,1,1
length1_78,1,78,1,2,4,2.0,2,2,4.0,4,4,1,1
length1_79,1,79,2,21,3,10.5,10,11,1.5,1,2,21,2
length1_80,1,80,1,4,0,4.0,4,4,0.0,0,0,2,0
length1_81,1,81,1,6,6,6.0,6,6,6.0,6,6,5,0
length1_82,1,82,1,0,4,0.0,0,0,4.0,4,4,1,1
length1_83,1,83,2,21,3,10.5,10,11,1.5,1,2,21,2
length1_84,1,84,1,0,1,0.0,0,0,1.0,1,1,0,1
length1_85,1,85,2,8,13,4.0,4,4,6.5,4,9,7,13
length1_86,1,86,1,10,6,10.0,10,10,6.0,6,6,1,1
length1_87,1,87,1,2,0,2.0,2,2,0.0,0,0,2,0
length1_88,1,88,1,1,10,1.0,1,1,10.0,10,10,1,10
length1_89,1,89,1,6,3,6.0,6,6,3.0,3,3,252,1
length1_90,1,90,1,7,10,7.0,7,7,10.0,10,10,1,0
length1_91,1,91,1,3,7,3.0,3,3,7.0,7,7,3,7
length1_92,1,92,1,0,3,0.0,0,0,3.0,3,3,0,3
length1_93,1,93,1,2,2,2.0,2,2,2.0,2,2,2,2
length1_94,1,94,2,7,1,3.5,3,4,0.5,0,1,6,2
length1_95,1,95,1,2,1,2.0,2,2,1.0,1,1,1,1
length1_96,1,96,2,169,9,84.5,2,167,4.5,1,8,1,0
length1_97,1,97,1,2,5,2.0,2,2,5.0,5,5,1,1
length1_98,1,98,2,3,0,1.5,1,2,0.0,0,0,2,0
length1_99,1,99,1,4,4,4.0,4,4,4.0,4,4,4,4
length2_0,2,0,2,6,6,3.0,3,3,3.0,2,4,1,1
length2_1,2,1,1,4,0,4.0,4,4,0.0,0,0,4,0
length2_2,2,2,2,8,13,4.0,4,4,6.5,4,9,1,3
length2_3,2,3,3,14,16,4.666666666666667,4,5,5.333333333333333,5,6,4,6
length2_4,2,4,3,0,6,0.0,0,0,2.0,2,2,0,2
length2_5,2,5,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_6,2,6,2,8,13,4.0,4,4,6.5,4,9,1,1
length2_7,2,7,2,8,13,4.0,4,4,6.5,4,9,1,2
length2_8,2,8,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_9,2,9,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_10,2,10,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_11,2,11,2,3,4,1.5,1,2,2.0,2,2,3,1
length2_12,2,12,2,6,6,3.0,3,3,3.0,2,4,1,1
length2_13,2,13,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_14,2,14,3,14,16,4.666666666666667,4,5,5.333333333333333,5,6,4,6
length2_15,2,15,2,5,2,2.5,1,4,1.0,0,2,4,4
length2_16,2,16,2,3,4,1.5,1,2,2.0,2,2,3,1
length2_17,2,17,2,5,3,2.5,2,3,1.5,1,2,4,1
length2_18,2,18,2,3,4,1.5,1,2,2.0,2,2,2,1
length2_19,2,19,1,0,4,0.0,0,0,4.0,4,4,2,0
length2_20,2,20,2,3,3,1.5,0,3,1.5,1,2,2,1
length2_21,2,21,2,2,4,1.0,1,1,2.0,2,2,2,2
length2_22,2,22,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_23,2,23,2,3,4,1.5,1,2,2.0,2,2,1,1
length2_24,2,24,2,4,1,2.0,1,3,0.5,0,1,2,1
length2_25,2,25,2,3,4,1.5,1,2,2.0,2,2,3,1
length2_26,2,26,2,2,5,1.0,0,2,2.5,2,3,5,1
length2_27,2,27,2,6,6,3.0,3,3,3.0,2,4,10,1
