station,datetime,obs_type,obs_value,TMAX_F,month,country_code
CA006106362,1212,1315,-22,-7,12,5
CA006101872,1212,1315,-20,-4,12,5
CA006106362,1213,1315,-19,-3,12,5
CA006150689,1212,1315,-19,-3,12,5
CA006101872,130,1315,-19,-2,1,5
CA006106362,118,1315,-19,-2,1,5
CA006106362,119,1315,-19,-2,1,5
CA006158350,1212,1315,-19,-2,12,5
SZ000006717,1203,1315,-18,-1,12,12
CA006110549,1212,1315,-18,-1,12,5
CA006166416,1212,1315,-18,0,12,5
CA006106362,115,1315,-17,1,1,5
CA006106362,130,1315,-17,1,1,5
CA006101872,118,1315,-17,2,1,5
CA006106362,1211,1315,-17,2,12,5
CA006101872,1213,1315,-17,2,12,5
SZ000006717,117,1315,-16,3,1,12
CA006137735,1212,1315,-16,3,12,5
SZ000006717,116,1315,-16,3,1,12
SZ000006717,1231,1315,-16,4,12,12
CA006150689,130,1315,-16,4,1,5
CA006106362,1219,1315,-16,4,12,5
CA006101872,1219,1315,-16,4,12,5
SZ000006717,1207,1315,-15,4,12,12
SZ000006717,103,1315,-15,5,1,12
CA006101872,116,1315,-15,5,1,5
SZ000006717,1208,1315,-15,5,12,12
CA006106362,1209,1315,-15,5,12,5
SZ000006717,1221,1315,-15,5,12,12
SZ000006717,118,1315,-15,5,1,12
CA006150689,1213,1315,-15,5,12,5
SZ000006717,1220,1315,-15,6,12,12
CA006150689,1219,1315,-14,6,12,5
CA006106362,1218,1315,-14,6,12,5
CA006106362,1214,1315,-14,6,12,5
CA006148100,1213,1315,-14,6,12,5
CA006106362,129,1315,-14,6,1,5
CA006106362,1210,1315,-14,6,12,5
CA006101872,1214,1315,-14,6,12,5
SZ000006717,104,1315,-14,7,1,12
SZ000006717,1206,1315,-14,7,12,12
CA006110549,118,1315,-14,7,1,5
CA006101872,119,1315,-14,7,1,5
CA006166416,1213,1315,-14,7,12,5
CA006106362,116,1315,-14,7,1,5
CA006106362,114,1315,-14,7,1,5
CA006101872,114,1315,-14,7,1,5
CA006101872,115,1315,-14,7,1,5
CA006150689,1214,1315,-14,7,12,5
CA006106362,112,1315,-14,7,1,5
SZ000006717,302,1315,-14,7,3,12
CA006122845,1213,1315,-13,8,12,5
CA006166416,118,1315,-13,8,1,5
CA006158350,118,1315,-13,8,1,5
CA006166416,130,1315,-13,8,1,5
CA006166416,119,1315,-13,8,1,5
CA006150689,115,1315,-13,8,1,5
CA006106362,108,1315,-13,8,1,5
CA006150689,119,1315,-13,8,1,5
CA006101872,1218,1315,-13,8,12,5
CA006137735,1213,1315,-13,9,12,5
CA006101872,1211,1315,-13,9,12,5
CA006166416,1214,1315,-13,9,12,5
CA006106362,109,1315,-12,10,1,5
CA006122845,1212,1315,-12,10,12,5
CA006166416,115,1315,-12,10,1,5
CA006166416,112,1315,-12,10,1,5
CA006166416,1219,1315,-12,10,12,5
CA006101872,1210,1315,-12,10,12,5
CA006158350,115,1315,-12,10,1,5
CA006158350,1213,1315,-12,10,12,5
SZ000006717,1209,1315,-12,10,12,12
SZ000006717,1121,1315,-12,11,11,12
SZ000006717,1122,1315,-12,11,11,12
CA006101872,108,1315,-12,11,1,5
CA006101872,112,1315,-12,11,1,5
CA006148100,1212,1315,-12,11,12,5
SZ000006717,1230,1315,-12,11,12,12
SZ000006717,1210,1315,-12,11,12,12
SZ000006717,112,1315,-12,11,1,12
CA006158350,129,1315,-11,12,1,5
CA006106362,128,1315,-11,12,1,5
CA006106362,1231,1315,-11,12,12,5
CA006110549,1214,1315,-11,12,12,5
CA006101872,109,1315,-11,12,1,5
CA006110549,130,1315,-11,12,1,5
CA006150689,114,1315,-11,12,1,5
CA006166416,1209,1315,-11,12,12,5
CA006166416,114,1315,-11,12,1,5
CA006101872,1209,1315,-11,12,12,5
CA006101872,129,1315,-11,12,1,5
CA006110549,129,1315,-11,13,1,5
SZ000006717,307,1315,-11,13,3,12
CA006139520,129,1315,-11,13,1,5
CA006110549,113,1315,-11,13,1,5
CA006110549,119,1315,-11,13,1,5
CA006166416,1218,1315,-11,13,12,5
CA006101872,117,1315,-11,13,1,5
CA006150689,118,1315,-11,13,1,5
CA006106362,110,1315,-11,13,1,5
CA006106362,117,1315,-11,13,1,5
AU000005901,1231,1315,-10,13,12,3
SZ000006717,1219,1315,-10,13,12,12
CA006110549,112,1315,-10,14,1,5
CA006110549,210,1315,-10,14,2,5
CA006101872,111,1315,-10,14,1,5
CA006106362,111,1315,-10,14,1,5
SZ000006717,207,1315,-10,14,2,12
CA006110549,1218,1315,-10,14,12,5
CA006101872,220,1315,-10,14,2,5
CA006158350,114,1315,-10,14,1,5
SZ000006717,102,1315,-10,14,1,12
CA006158350,119,1315,-10,14,1,5
SZ000006717,1204,1315,-10,14,12,12
CA006150689,1211,1315,-10,14,12,5
SZ000006717,301,1315,-10,14,3,12
SZ000006717,306,1315,-10,15,3,12
CA006158350,210,1315,-9,15,2,5
CA006150689,112,1315,-9,15,1,5
CA006106362,1204,1315,-9,15,12,5
CA006166416,129,1315,-9,15,1,5
CA006158350,112,1315,-9,15,1,5
CA006150689,1209,1315,-9,15,12,5
CA006148100,1219,1315,-9,15,12,5
CA006150689,1218,1315,-9,15,12,5
CA006110549,1213,1315,-9,15,12,5
CA006153192,1213,1315,-9,15,12,5
CA006101872,121,1315,-9,15,1,5
CA006110549,1208,1315,-9,15,12,5
CA006101872,110,1315,-9,15,1,5
SZ000006717,1123,1315,-9,15,11,12
SZ000006717,1213,1315,-9,16,12,12
CA006137735,118,1315,-9,16,1,5
CA006139520,1213,1315,-9,16,12,5
CA006148100,314,1315,-9,16,3,5
CA006106362,220,1315,-9,16,2,5
CA006137735,130,1315,-9,16,1,5
CA006150689,117,1315,-9,16,1,5
CA006166416,116,1315,-9,16,1,5
SZ000006717,1205,1315,-9,16,12,12
CA006106362,121,1315,-9,16,1,5
