,station,datetime,obs_type,obs_value,TMAX_F,month,country_code
0,AGE00135039,935,935,935,935,935,935
1,ASN00066062,1110,1110,1110,1110,1110,1110
2,ASN00074128,85,85,85,85,85,85
3,ASN00086071,1153,1153,1153,1153,1153,1153
4,ASN00090015,971,971,971,971,971,971
5,AU000005901,1300,1300,1300,1300,1300,1300
6,BE000006447,1301,1301,1301,1301,1301,1301
7,CA006101872,169,169,169,169,169,169
8,CA006106362,465,465,465,465,465,465
9,CA006110549,540,540,540,540,540,540
10,CA006122845,213,213,213,213,213,213
11,CA006137735,400,400,400,400,400,400
12,CA006139520,338,338,338,338,338,338
13,CA006148100,796,796,796,796,796,796
14,CA006150689,494,494,494,494,494,494
15,CA006153192,477,477,477,477,477,477
16,CA006158350,1317,1317,1317,1317,1317,1317
17,CA006166416,422,422,422,422,422,422
18,EI000003969,207,207,207,207,207,207
19,EIE00101859,1293,1293,1293,1293,1293,1293
20,EZE00100082,1311,1311,1311,1311,1311,1311
21,GM000004204,1313,1313,1313,1313,1313,1313
22,GME00125218,1316,1316,1316,1316,1316,1316
23,ITE00100550,1227,1227,1227,1227,1227,1227
24,ITE00100554,1242,1242,1242,1242,1242,1242
25,SZ000006717,1456,1456,1456,1456,1456,1456
26,UK000047811,1315,1315,1315,1315,1315,1315
27,UK000056225,1299,1299,1299,1299,1299,1299
28,USC00288878,737,737,737,737,737,737
