country_code,station,datetime,obs_type,obs_value,TMAX_F,month
SZ,26,680854,1,-22,-8,2
SZ,26,680853,1,-19,-2,2
USC,29,681021,1,-18,0,7
SZ,26,680900,1,-18,0,3
SZ,26,680864,1,-17,1,2
SZ,26,680901,1,-15,4,3
SZ,26,680894,1,-15,5,3
SZ,26,680895,1,-15,5,3
SZ,26,680863,1,-14,6,2
SZ,26,680899,1,-14,6,3
CA,17,680829,1,-14,7,1
EZE,21,680849,1,-14,7,2
SZ,26,680831,1,-14,7,1
SZ,26,680865,1,-14,8,2
CA,14,680830,1,-13,8,1
GME,23,680857,1,-13,8,2
SZ,26,680830,1,-13,9,1
SZ,26,680896,1,-13,9,3
SZ,26,680897,1,-13,9,3
GM,22,680857,1,-12,10,2
CA,14,680839,1,-12,10,1
CA,14,680838,1,-12,10,1
CA,17,680819,1,-12,10,1
SZ,26,680829,1,-12,10,1
SZ,26,680880,1,-12,10,3
SZ,26,681159,1,-12,10,12
SZ,26,680881,1,-12,11,3
GME,23,680856,1,-12,11,2
CA,17,680855,1,-12,11,2
SZ,26,680852,1,-12,11,2
EZE,21,680850,1,-12,11,2
SZ,26,681161,1,-12,11,12
SZ,26,680828,1,-11,12,1
CA,14,681161,1,-11,12,12
SZ,26,680827,1,-11,13,1
GME,23,680848,1,-11,13,2
SZ,26,680815,1,-11,13,1
CA,14,680829,1,-11,13,1
CA,17,680838,1,-11,13,1
CA,14,680856,1,-11,13,2
GM,22,680848,1,-10,14,2
SZ,26,680849,1,-10,14,2
SZ,26,680874,1,-10,14,3
CA,14,680831,1,-10,14,1
SZ,26,680898,1,-10,14,3
GM,22,680849,1,-10,14,2
SZ,26,680877,1,-10,14,3
SZ,26,680866,1,-10,14,2
SZ,26,680832,1,-10,15,1
GME,23,680849,1,-10,15,2
GM,22,680850,1,-10,15,2
EZE,21,680857,1,-10,15,2
CA,17,680837,1,-9,15,1
CA,17,680830,1,-9,15,1
CA,14,680837,1,-9,15,1
CA,14,681169,1,-9,15,12
CA,17,680854,1,-9,15,2
CA,17,680839,1,-9,15,1
CA,14,681168,1,-9,15,12
CA,14,681162,1,-9,15,12
SZ,26,680902,1,-9,15,3
SZ,26,680850,1,-9,15,2
GM,22,680856,1,-9,15,2
SZ,26,680855,1,-9,16,2
SZ,26,680885,1,-9,16,3
SZ,26,680842,1,-9,16,1
CA,17,680856,1,-9,16,2
CA,17,680831,1,-9,16,1
CA,17,680828,1,-9,16,1
SZ,26,680879,1,-9,16,3
EZE,21,680851,1,-9,16,2
EZE,21,680856,1,-9,16,2
