,country_code,station,datetime,obs_type,obs_value,TMAX_F,month
0,AGE,935,935,935,935,935,935
1,ASN,3319,3319,3319,3319,3319,3319
2,AU,1300,1300,1300,1300,1300,1300
3,BE,1301,1301,1301,1301,1301,1301
4,CA,5631,5631,5631,5631,5631,5631
5,EI,207,207,207,207,207,207
6,EIE,1293,1293,1293,1293,1293,1293
7,EZE,1311,1311,1311,1311,1311,1311
8,GM,1313,1313,1313,1313,1313,1313
9,GME,1316,1316,1316,1316,1316,1316
10,ITE,2469,2469,2469,2469,2469,2469
11,SZ,1456,1456,1456,1456,1456,1456
12,UK,2614,2614,2614,2614,2614,2614
13,USC,737,737,737,737,737,737
