month,station,datetime,obs_type,obs_value,TMAX_F,country_code
1,16,18660107,0,-21,-6,4
1,9,18660108,0,-17,2,4
2,9,18660215,0,-17,2,4
1,9,18660106,0,-16,3,4
1,16,18660114,0,-16,3,4
1,14,18660115,0,-16,3,4
1,14,18660108,0,-16,3,4
2,13,18660216,0,-16,4,4
12,8,18661220,0,-16,4,4
1,14,18660105,0,-16,4,4
1,9,18660105,0,-15,5,4
1,14,18660106,0,-15,5,4
12,8,18661229,0,-15,5,4
11,25,18661120,0,-15,5,11
1,16,18660106,0,-14,6,4
12,8,18661221,0,-14,6,4
2,8,18660216,0,-14,7,4
2,16,18660215,0,-14,7,4
12,14,18661221,0,-13,8,4
1,16,18660108,0,-13,8,4
2,15,18660216,0,-13,8,4
1,28,18660108,0,-13,8,13
12,8,18661215,0,-13,8,4
12,8,18661214,0,-13,9,4
1,9,18660115,0,-13,9,4
12,8,18661228,0,-13,9,4
12,12,18661220,0,-13,9,4
12,17,18661228,0,-13,9,4
12,11,18661220,0,-12,10,4
1,13,18660108,0,-12,10,4
1,9,18660109,0,-12,10,4
2,8,18660207,0,-12,10,4
2,9,18660216,0,-12,11,4
2,13,18660205,0,-12,11,4
1,25,18660110,0,-12,11,11
12,17,18661220,0,-11,12,4
3,16,18660317,0,-11,12,4
12,17,18661221,0,-11,12,4
12,8,18661213,0,-11,12,4
1,13,18660105,0,-11,12,4
12,9,18661220,0,-11,12,4
11,25,18661129,0,-11,13,11
2,16,18660225,0,-11,13,4
2,14,18660216,0,-11,13,4
12,16,18661214,0,-11,13,4
3,25,18660314,0,-10,13,11
11,25,18661121,0,-10,13,11
12,16,18661220,0,-10,14,4
12,14,18661214,0,-10,14,4
2,16,18660204,0,-10,14,4
12,17,18661214,0,-10,14,4
12,8,18661231,0,-10,14,4
2,9,18660205,0,-10,14,4
2,8,18660202,0,-10,14,4
2,8,18660203,0,-10,14,4
12,14,18661215,0,-10,14,4
1,13,18660122,0,-10,14,4
12,13,18661215,0,-9,15,4
2,13,18660203,0,-9,15,4
12,14,18661228,0,-9,15,4
12,13,18661220,0,-9,15,4
1,13,18660109,0,-9,15,4
11,25,18661126,0,-9,15,11
2,8,18660201,0,-9,15,4
1,16,18660105,0,-9,15,4
12,14,18661220,0,-9,15,4
1,16,18660121,0,-9,15,4
11,25,18661130,0,-9,15,11
2,14,18660205,0,-9,15,4
1,15,18660108,0,-9,15,4
11,25,18661128,0,-9,15,11
2,25,18660204,0,-9,15,11
3,25,18660309,0,-9,16,11
2,16,18660216,0,-9,16,4
12,13,18661212,0,-9,16,4
1,14,18660109,0,-9,16,4
2,13,18660206,0,-9,16,4
12,14,18661229,0,-9,16,4
1,13,18660115,0,-9,16,4
3,16,18660325,0,-9,16,4
1,9,18660122,0,-9,16,4
12,13,18661214,0,-9,16,4
12,17,18661215,0,-9,16,4
12,28,18661221,0,-9,16,13
2,16,18660205,0,-9,16,4
1,13,18660106,0,-8,17,4
12,25,18661202,0,-8,17,11
2,9,18660206,0,-8,17,4
2,8,18660206,0,-8,17,4
1,13,18660123,0,-8,17,4
2,14,18660206,0,-8,17,4
12,17,18661229,0,-8,17,4
12,12,18661229,0,-8,17,4
3,25,18660315,0,-8,17,11
12,9,18661214,0,-8,17,4
2,25,18660214,0,-8,17,11
1,25,18660112,0,-8,17,11
2,25,18660227,0,-8,17,11
12,25,18661217,0,-8,17,11
1,25,18660111,0,-8,18,11
11,25,18661127,0,-8,18,11
3,25,18660308,0,-8,18,11
1,25,18660102,0,-8,18,11
1,25,18660101,0,-8,18,11
3,25,18660316,0,-8,18,11
12,13,18661213,0,-8,18,4
12,8,18661217,0,-8,18,4
12,9,18661228,0,-8,18,4
1,16,18660122,0,-8,18,4
12,9,18661230,0,-8,18,4
2,13,18660215,0,-8,18,4
2,16,18660206,0,-8,18,4
2,13,18660202,0,-8,18,4
2,14,18660202,0,-8,18,4
12,25,18661201,0,-8,18,11
2,25,18660215,0,-8,18,11
2,25,18660226,0,-8,18,11
3,25,18660313,0,-7,19,11
12,13,18661228,0,-7,19,4
2,28,18660216,0,-7,19,13
1,15,18660123,0,-7,19,4
2,25,18660218,0,-7,19,11
1,28,18660105,0,-7,19,13
1,25,18660113,0,-7,19,11
2,14,18660203,0,-7,19,4
12,13,18661211,0,-7,19,4
12,9,18661229,0,-7,19,4
1,16,18660109,0,-7,19,4
1,14,18660125,0,-7,19,4
12,15,18661221,0,-7,19,4
1,14,18660127,0,-7,19,4
12,13,18661221,0,-7,19,4
12,12,18661212,0,-7,19,4
1,15,18660106,0,-7,19,4
3,25,18660319,0,-7,19,11
1,25,18660109,0,-7,19,11
3,25,18660301,0,-7,20,11
3,25,18660311,0,-7,20,11
1,15,18660109,0,-7,20,4
3,8,18660309,0,-7,20,4
12,9,18661215,0,-7,20,4
2,15,18660205,0,-7,20,4
2,16,18660203,0,-7,20,4
12,10,18661214,0,-7,20,4
2,28,18660205,0,-7,20,13
3,8,18660307,0,-7,20,4
12,11,18661229,0,-7,20,4
12,12,18661213,0,-7,20,4
12,12,18661227,0,-7,20,4
12,16,18661228,0,-7,20,4
1,28,18660107,0,-7,20,13
2,25,18660203,0,-7,20,11
12,25,18661216,0,-6,20,11
12,25,18661208,0,-6,21,11
3,25,18660324,0,-6,21,11
12,16,18661210,0,-6,21,4
3,25,18660310,0,-6,21,11
2,8,18660208,0,-6,21,4
12,13,18661231,0,-6,21,4
12,10,18661215,0,-6,21,4
4,25,18660403,0,-6,21,11
12,9,18661213,0,-6,21,4
1,14,18660126,0,-6,21,4
4,25,18660404,0,-6,21,11
2,16,18660201,0,-6,21,4
3,13,18660326,0,-6,21,4
12,12,18661211,0,-6,21,4
3,8,18660308,0,-6,21,4
12,16,18661229,0,-6,21,4
12,9,18661216,0,-6,21,4
3,14,18660320,0,-6,21,4
1,14,18660124,0,-6,21,4
12,13,18661229,0,-6,21,4
12,12,18661228,0,-6,21,4
1,14,18660122,0,-6,21,4
12,10,18661212,0,-6,21,4
2,25,18660225,0,-6,21,11
2,25,18660228,0,-6,21,11
3,8,18660319,0,-6,22,4
1,25,18660117,0,-6,22,11
12,17,18661217,0,-6,22,4
1,15,18660122,0,-6,22,4
12,11,18661214,0,-6,22,4
1,16,18660123,0,-6,22,4
12,15,18661215,0,-6,22,4
3,9,18660320,0,-6,22,4
1,13,18660127,0,-6,22,4
12,11,18661215,0,-6,22,4
12,12,18661215,0,-6,22,4
2,16,18660226,0,-6,22,4
12,8,18661218,0,-6,22,4
3,9,18660317,0,-6,22,4
1,28,18660109,0,-6,22,13
12,11,18661211,0,-6,22,4
3,9,18660307,0,-6,22,4
12,16,18661230,0,-6,22,4
2,15,18660203,0,-6,22,4
3,25,18660317,0,-6,22,11
3,25,18660307,0,-6,22,11
3,25,18660326,0,-5,22,11
3,25,18660306,0,-5,22,11
11,25,18661122,0,-5,22,11
3,25,18660318,0,-5,23,11
12,25,18661214,0,-5,23,11
2,9,18660226,0,-5,23,4
12,5,18661221,0,-5,23,2
12,9,18661231,0,-5,23,4
12,14,18661218,0,-5,23,4
12,15,18661214,0,-5,23,4
12,17,18661231,0,-5,23,4
3,14,18660307,0,-5,23,4
1,13,18660124,0,-5,23,4
2,28,18660204,0,-5,23,13
12,9,18661221,0,-5,23,4
1,16,18660126,0,-5,23,4
2,16,18660202,0,-5,23,4
1,28,18660115,0,-5,23,13
3,8,18660320,0,-5,23,4
1,16,18660104,0,-5,23,4
3,16,18660307,0,-5,23,4
12,16,18661212,0,-5,23,4
12,15,18661212,0,-5,23,4
1,13,18660126,0,-5,23,4
12,5,18661222,0,-5,23,2
12,14,18661217,0,-5,23,4
12,16,18661215,0,-5,23,4
3,9,18660308,0,-5,23,4
1,28,18660121,0,-5,23,13
12,9,18661217,0,-5,23,4
12,25,18661228,0,-5,23,11
12,25,18661231,0,-5,23,11
1,25,18660131,0,-5,23,11
2,25,18660211,0,-5,23,11
3,25,18660323,0,-5,24,11
11,25,18661118,0,-5,24,11
3,25,18660302,0,-4,24,11
1,16,18660127,0,-4,24,4
12,8,18661201,0,-4,24,4
12,15,18661229,0,-4,24,4
3,13,18660320,0,-4,24,4
1,9,18660127,0,-4,24,4
1,15,18660115,0,-4,24,4
12,11,18661231,0,-4,24,4
2,8,18660209,0,-4,24,4
3,9,18660319,0,-4,24,4
12,12,18661231,0,-4,24,4
3,13,18660317,0,-4,24,4
3,16,18660309,0,-4,24,4
3,9,18660321,0,-4,24,4
2,9,18660202,0,-4,24,4
12,15,18661213,0,-4,24,4
12,16,18661213,0,-4,24,4
12,17,18661213,0,-4,24,4
1,9,18660110,0,-4,24,4
3,13,18660309,0,-4,24,4
12,12,18661214,0,-4,24,4
1,13,18660104,0,-4,24,4
1,14,18660129,0,-4,24,4
11,25,18661119,0,-4,24,11
1,13,18660125,0,-4,24,4
1,13,18660116,0,-4,24,4
12,11,18661228,0,-4,24,4
12,25,18661229,0,-4,24,11
4,25,18660402,0,-4,24,11
2,25,18660210,0,-4,24,11
11,25,18661117,0,-4,24,11
12,5,18661224,0,-4,25,2
4,25,18660409,0,-4,25,11
1,25,18660124,0,-4,25,11
2,13,18660226,0,-4,25,4
12,10,18661228,0,-4,25,4
2,13,18660220,0,-4,25,4
12,14,18661211,0,-4,25,4
3,8,18660323,0,-4,25,4
11,8,18661124,0,-4,25,4
12,14,18661212,0,-4,25,4
12,10,18661229,0,-4,25,4
3,8,18660321,0,-4,25,4
3,14,18660321,0,-4,25,4
3,13,18660308,0,-4,25,4
1,13,18660102,0,-4,25,4
12,15,18661228,0,-4,25,4
1,14,18660123,0,-4,25,4
11,8,18661122,0,-4,25,4
3,25,18660320,0,-4,25,11
12,25,18661211,0,-4,25,11
1,9,18660129,0,-4,25,4
12,10,18661213,0,-4,25,4
3,25,18660305,0,-4,25,11
12,9,18661210,0,-4,25,4
12,14,18661213,0,-4,25,4
12,15,18661220,0,-4,25,4
12,16,18661231,0,-4,25,4
12,10,18661231,0,-4,25,4
12,17,18661212,0,-4,25,4
2,9,18660203,0,-4,25,4
3,13,18660319,0,-4,25,4
1,13,18660110,0,-4,25,4
2,14,18660209,0,-4,25,4
3,14,18660319,0,-4,25,4
3,13,18660307,0,-4,25,4
1,25,18660105,0,-4,25,11
10,25,18661026,0,-4,26,11
11,25,18661124,0,-4,26,11
2,20,18660222,0,-3,26,7
2,15,18660206,0,-3,26,4
12,8,18661219,0,-3,26,4
12,11,18661213,0,-3,26,4
12,16,18661211,0,-3,26,4
12,14,18661231,0,-3,26,4
12,9,18661212,0,-3,26,4
2,28,18660203,0,-3,26,13
12,8,18661226,0,-3,26,4
2,25,18660213,0,-3,26,11
2,16,18660212,0,-3,26,4
2,8,18660205,0,-3,26,4
12,16,18661227,0,-3,26,4
1,13,18660103,0,-3,26,4
12,11,18661221,0,-3,26,4
12,10,18661211,0,-3,26,4
12,28,18661228,0,-3,26,13
12,13,18661217,0,-3,26,4
3,11,18660309,0,-3,26,4
12,10,18661221,0,-3,26,4
3,16,18660318,0,-3,26,4
1,25,18660104,0,-3,26,11
12,17,18661211,0,-3,26,4
12,11,18661212,0,-3,26,4
2,14,18660208,0,-3,26,4
1,16,18660128,0,-3,26,4
1,28,18660106,0,-3,26,13
3,25,18660325,0,-3,26,11
2,25,18660220,0,-3,26,11
2,22,18660222,0,-3,26,9
12,5,18661219,0,-3,26,2
1,25,18660106,0,-3,26,11
3,25,18660327,0,-3,27,11
12,5,18661225,0,-3,27,2
4,25,18660405,0,-3,27,11
4,25,18660408,0,-3,27,11
4,25,18660415,0,-3,27,11
11,13,18661123,0,-3,27,4
3,13,18660310,0,-3,27,4
2,14,18660227,0,-3,27,4
12,11,18661227,0,-3,27,4
12,20,18661224,0,-3,27,7
3,14,18660306,0,-3,27,4
3,13,18660306,0,-3,27,4
2,14,18660207,0,-3,27,4
3,9,18660326,0,-3,27,4
3,11,18660317,0,-3,27,4
12,13,18661218,0,-3,27,4
12,12,18661221,0,-3,27,4
3,11,18660320,0,-3,27,4
12,16,18661217,0,-3,27,4
3,9,18660306,0,-3,27,4
2,13,18660217,0,-3,27,4
9,25,18660918,0,-3,27,11
1,13,18660117,0,-3,27,4
12,5,18661215,0,-3,27,2
12,8,18661212,0,-3,27,4
1,14,18660113,0,-3,27,4
12,8,18661210,0,-3,27,4
1,14,18660110,0,-3,27,4
3,25,18660304,0,-3,27,11
10,25,18661029,0,-3,27,11
10,25,18661015,0,-3,27,11
2,25,18660221,0,-2,28,11
2,25,18660201,0,-2,28,11
12,5,18661216,0,-2,28,2
12,5,18661223,0,-2,28,2
4,25,18660401,0,-2,28,11
2,25,18660224,0,-2,28,11
2,25,18660223,0,-2,28,11
3,25,18660330,0,-2,28,11
1,25,18660116,0,-2,28,11
2,25,18660205,0,-2,28,11
2,25,18660208,0,-2,28,11
12,25,18661215,0,-2,28,11
12,16,18661216,0,-2,28,4
3,14,18660309,0,-2,28,4
12,11,18661217,0,-2,28,4
1,16,18660124,0,-2,28,4
12,15,18661231,0,-2,28,4
2,9,18660212,0,-2,28,4
12,28,18661230,0,-2,28,13
2,28,18660226,0,-2,28,13
12,12,18661225,0,-2,28,4
12,13,18661226,0,-2,28,4
12,12,18661217,0,-2,28,4
2,8,18660226,0,-2,28,4
2,28,18660207,0,-2,28,13
