SCHOOL_YEAR,ULCS_NO,INCIDENT_TYPE,INCIDENT_COUNT,SCHOOL_ID
2013-2014,5260,5260,1,526
2013-2014,5340,5340,5,534
2013-2014,5350,5350,8,535
2013-2014,5370,5370,0,537
2013-2014,5450,5450,0,545
2013-2014,5480,5480,0,548
2013-2014,5510,5510,1,551
2013-2014,5520,5520,0,552
2013-2014,5530,5530,0,553
2013-2014,6010,6010,1,601
2013-2014,6050,6050,0,605
2013-2014,6210,6210,0,621
2013-2014,6250,6250,0,625
2013-2014,6300,6300,0,630
2013-2014,5320,5320,1,532
2013-2014,1060,1060,0,106
2013-2014,1100,1100,0,110
2013-2014,1130,1130,1,113
2013-2014,1230,1230,1,123
2013-2014,1230,1230,1,123
2013-2014,1330,1330,0,133
2013-2014,1330,1330,0,133
2013-2014,1330,1330,0,133
2013-2014,1360,1360,0,136
2013-2014,1420,1420,2,142
2013-2014,1460,1460,0,146
2013-2014,1470,1470,3,147
2013-2014,2010,2010,1,201
2013-2014,2010,2010,10,201
2013-2014,2020,2020,0,202
2013-2014,2090,2090,0,209
2013-2014,1420,1420,0,142
2013-2014,5330,5330,0,533
2013-2014,5340,5340,0,534
2013-2014,5340,5340,0,534
2013-2014,5430,5430,6,543
2013-2014,5430,5430,2,543
2013-2014,5530,5530,0,553
2013-2014,6060,6060,0,606
2013-2014,6070,6070,0,607
2013-2014,6070,6070,0,607
2013-2014,6260,6260,0,626
2013-2014,6380,6380,1,638
2013-2014,1440,1440,0,144
2013-2014,1460,1460,1,146
2013-2014,1460,1460,0,146
2013-2014,2010,2010,6,201
2013-2014,2130,2130,0,213
2013-2014,2240,2240,0,224
2013-2014,2320,2320,13,232
2013-2014,2320,2320,0,232
2013-2014,2340,2340,2,234
2013-2014,2370,2370,0,237
2013-2014,2510,2510,0,251
2013-2014,2520,2520,3,252
2013-2014,2580,2580,0,258
2013-2014,7400,7400,0,740
2013-2014,7470,7470,4,747
2013-2014,8120,8120,0,812
2013-2014,8250,8250,0,825
2013-2014,8310,8310,0,831
2013-2014,8340,8340,35,834
2013-2014,8360,8360,0,836
2013-2014,8400,8400,0,840
2013-2014,6310,6310,0,631
2013-2014,2720,2720,2,272
2013-2014,7320,7320,0,732
2013-2014,7360,7360,0,736
2013-2014,7390,7390,1,739
