County,r1401,r1402,r1403_x,r1403_y
Adams,NR,NR,NR,NR
Alamosa,NR,NR,NR,NR
Arapahoe,NR,NR,NR,NR
Archuleta,NR,NR,NR,NR
Baca,NR,NR,NR,NR
Bent,NR,NR,NR,NR
Boulder,NR,NR,"$1,396,479","$1,396,479"
Broomfield,NR,NR,NR,NR
Chaffee,NR,NR,NR,NR
Cheyenne,NR,NR,NR,NR
Clear Creek,"$459,640","$445,976","$524,541","$524,541"
Conejos,NR,NR,NR,NR
Costilla,NR,NR,NR,NR
Crowley,NR,NR,NR,NR
Custer,NR,NR,NR,NR
Delta,NR,NR,NR,NR
Denver,"$8,482,593","$8,349,069","$10,746,117","$10,746,117"
Dolores,NR,NR,NR,NR
Douglas,NR,NR,NR,NR
Eagle,NR,NR,NR,NR
El Paso,NR,NR,NR,NR
Elbert,NR,NR,NR,NR
Fremont,NR,NR,NR,NR
Garfield,NR,NR,NR,NR
Gilpin,"$197,379","$113,337","$131,685","$131,685"
Grand,NR,NR,NR,NR
Gunnison,NR,NR,NR,NR
Hinsdale,NR,NR,NR,NR
Huerfano,NR,NR,NR,NR
Jackson,NR,NR,NR,NR
Jefferson,"$853,675","$880,367","$1,056,723","$1,056,723"
Kiowa,NR,NR,NR,NR
