batsman,batsman_runs_x,total_runs_x,total_runs_y,batsman_runs_y,batsman_runs
A Ashish Reddy,0.0,17,15,0,12
A Chandila,0.0,0,0,0,0
A Chopra,0.0,7,0,0,0
A Choudhary,0.0,1,1,0,0
A Dananjaya,0.0,0,0,0,0
A Flintoff,0.0,6,2,0,20
A Hales,0.0,14,6,0,25
A Joseph,0.0,2,0,0,15
A Kumble,0.0,4,0,0,0
A Mishra,0.0,30,5,0,0
A Mithun,0.0,4,1,0,0
A Mukund,0.0,1,0,0,0
A Nehra,0.0,3,1,0,0
A Singh,0.0,0,0,0,0
A Symonds,5.0,75,41,1,27
A Turner,0.0,0,0,0,0
A Uniyal,0.0,0,0,0,0
A Zampa,0.0,1,0,0,0
AA Bilakhia,0.0,5,0,0,0
AA Chavan,0.0,2,0,0,0
AA Jhunjhunwala,1.0,20,5,0,14
AA Noffke,0.0,1,0,0,0
AB Agarkar,0.0,13,5,0,9
AB Barath,0.0,5,1,0,14
AB Dinda,0.0,2,0,0,0
AB McDonald,0.0,9,4,0,13
AB de Villiers,34.0,361,211,3,31
AC Blizzard,1.0,22,2,0,17
AC Gilchrist,12.0,240,92,2,25
AC Thomas,0.0,1,1,0,0
AC Voges,0.0,16,3,0,25
AD Mascarenhas,0.0,5,1,0,0
AD Mathews,1.0,45,29,0,17
AD Nath,0.0,7,2,0,0
AD Russell,10.0,99,119,0,27
AF Milne,0.0,0,0,0,0
AG Murtaza,0.0,1,0,0,0
AG Paunikar,0.0,9,0,0,0
AJ Finch,11.0,179,67,0,23
AJ Tye,0.0,6,4,0,0
AL Menaria,0.0,24,17,0,17
AM Nayar,0.0,57,20,0,13
AM Rahane,29.0,410,74,2,29
AN Ahmed,0.0,4,1,0,0
AN Ghosh,0.0,1,0,0,0
AP Dole,0.0,3,1,0,17
AP Majumdar,0.0,7,2,0,21
AP Tare,1.0,41,11,0,12
AR Bawne,0.0,1,0,0,12
AR Patel,0.0,48,35,0,13
AS Rajpoot,0.0,2,0,0,0
AS Raut,0.0,13,7,0,12
AS Yadav,6.0,111,28,0,28
AT Rayudu,19.0,281,120,1,24
AUK Pathan,0.0,5,2,0,0
Abdur Razzak,0.0,0,0,0,0
Anirudh Singh,0.0,6,1,0,15
Ankit Sharma,0.0,11,9,0,10
Ankit Soni,0.0,0,1,0,0
Anureet Singh,0.0,2,1,0,0
Avesh Khan,0.0,1,0,0,0
Azhar Mahmood,2.0,40,13,0,18
B Akhil,0.0,5,5,0,0
B Chipli,1.0,29,7,0,13
B Kumar,0.0,17,3,0,0
B Laughlin,0.0,0,0,0,0
B Lee,0.0,8,8,0,0
B Stanlake,0.0,1,0,0,0
B Sumanth,0.0,3,0,0,0
BA Bhatt,0.0,0,1,0,0
