,batsman,batsman_runs_x,total_runs_x,total_runs_y,batsman_runs_y,batsman_runs
0,J Bairstow,46.8,50,18,4,1
1,DA Warner,37.626984126984134,462,179,48,4
2,LMP Simmons,37.206896551724135,110,44,12,1
3,CH Gayle,36.774193548387096,383,322,35,7
4,SE Marsh,36.072463768115945,274,77,21,1
5,HM Amla,36.0625,60,21,5,2
6,KL Rahul,34.70689655172413,177,81,17,2
7,ML Hayden,34.59375,124,44,8,0
8,MEK Hussey,34.086206896551715,200,52,16,1
9,R Parag,33.8,18,5,1,0
10,MN van Wyk,33.4,18,1,1,0
11,RR Pant,33.185185185185176,151,95,12,1
12,KS Williamson,32.170731707317074,114,44,10,0
13,V Kohli,32.153846153846146,486,190,42,5
14,CA Lynn,31.902439024390244,127,63,9,0
15,JC Buttler,31.8,141,62,9,0
16,AB de Villiers,31.183098591549296,361,211,34,3
17,SR Tendulkar,29.923076923076927,300,29,14,1
18,Q de Kock,29.78,160,55,10,1
19,N Pooran,29.5,10,14,0,0
20,S Dhawan,29.31645569620253,529,95,32,0
21,F du Plessis,29.28125,165,59,11,0
22,AM Rahane,29.16666666666667,410,74,29,2
23,E Lewis,29.0,36,26,4,0
24,PD Collingwood,29.0,9,13,3,0
25,AS Yadav,28.885714285714286,111,28,6,0
26,SK Raina,28.65079365079365,492,194,38,1
27,SPD Smith,28.430555555555557,183,47,9,1
28,SS Iyer,28.098360655737704,151,67,11,0
29,G Gambhir,27.966887417218548,499,58,34,0
30,KP Pietersen,27.805555555555557,92,40,4,1
31,SR Watson,27.8,345,178,22,4
32,AD Russell,27.788461538461537,99,119,10,0
33,DJ Harris,27.75,11,5,0,0
34,Salman Butt,27.57142857142857,30,2,1,0
35,JP Duminy,27.21333333333333,128,79,14,0
36,DR Smith,27.10227272727273,249,117,15,0
37,A Symonds,27.055555555555557,75,41,5,1
38,RG Sharma,27.0,431,193,32,1
39,N Rana,26.92682926829268,83,60,7,0
40,BB McCullum,26.541284403669724,294,128,15,2
41,R Dravid,26.51219512195122,272,28,11,0
42,MS Dhoni,26.335294117647056,303,207,23,0
43,V Sehwag,26.23076923076923,340,105,17,2
44,RV Uthappa,26.15294117647059,443,156,23,0
45,AC Gilchrist,25.8625,240,92,12,2
46,AC Voges,25.857142857142854,16,3,0,0
47,ST Jayasuriya,25.6,85,38,5,1
48,JH Kallis,25.547368421052628,257,44,17,0
49,GC Smith,25.48275862068965,95,9,4,0
50,SV Samson,25.397727272727273,172,89,13,2
51,M Vijay,25.392156862745093,247,91,13,2
52,A Hales,25.33333333333333,14,6,0,0
53,KC Sangakkara,24.808823529411764,197,26,9,0
54,P Shaw,24.64,72,19,4,1
55,HH Gibbs,24.61111111111111,84,31,5,0
56,DA Miller,24.350649350649352,131,86,11,1
57,RS Bopara,24.13636363636364,39,16,3,0
58,MK Pandey,24.134453781512605,257,76,15,1
59,BJ Rohrer,24.125,22,5,1,0
60,AT Rayudu,24.10144927536232,281,120,19,1
61,SC Ganguly,24.089285714285715,138,41,6,0
62,AJ Finch,23.89041095890411,179,67,11,0
63,RA Tripathi,23.363636363636363,75,28,4,0
64,KK Nair,23.33333333333333,159,39,8,0
65,JJ Roy,23.25,18,8,1,0
66,DPMD Jayawardene,23.179487179487182,201,40,11,1
67,MJ Lumb,23.16666666666667,47,6,1,0
68,TM Dilshan,23.06,139,24,8,0
69,OA Shah,23.0,35,23,4,0
70,KD Karthik,22.765432098765434,358,101,17,1
71,M Vohra,22.577777777777783,98,39,3,0
72,S Gill,22.47826086956522,43,15,4,0
73,SA Asnodkar,22.26315789473684,59,10,1,0
74,BJ Hodge,22.222222222222218,125,43,5,0
75,M Ali,22.214285714285715,20,23,3,0
76,S Badrinath,22.169230769230772,156,28,11,0
77,H Brar,22.0,2,1,0,0
78,PC Valthaty,21.956521739130434,63,20,3,1
79,JR Hopes,21.947368421052627,49,11,4,0
80,Yuvraj Singh,21.944444444444446,218,149,12,0
81,SM Katich,21.90909090909091,26,8,1,0
82,AP Majumdar,21.75,7,2,0,0
83,DJ Hussey,21.672131147540984,90,60,4,0
84,CL White,21.577777777777783,75,38,6,0
85,Ishan Kishan,21.545454545454547,64,34,3,0
86,Kamran Akmal,21.33333333333333,12,8,1,0
87,V Shankar,21.259259259259263,34,24,2,0
88,LJ Wright,21.2,15,3,0,0
89,YK Pathan,21.18300653594771,265,161,15,1
90,UT Khawaja,21.166666666666668,14,3,0,0
91,PA Patel,21.13235294117647,369,49,13,0
92,KA Pollard,21.09090909090909,184,174,13,0
93,GJ Maxwell,20.94029850746269,113,91,6,0
94,MJ Guptill,20.846153846153847,25,14,0,0
95,JD Ryder,20.82758620689655,67,19,4,0
96,A Flintoff,20.666666666666668,6,2,0,0
97,TM Head,20.5,12,8,1,0
98,MS Bisla,20.46153846153846,97,23,4,0
99,MK Tiwary,20.44578313253012,157,40,6,0
100,JEC Franklin,20.4375,25,9,1,0
101,BA Stokes,20.21875,43,25,1,1
102,Niraj Patel,20.166666666666668,15,1,1,0
103,P R Barman,20.0,2,0,0,0
104,SS Tiwary,19.9375,93,45,7,0
105,KH Pandya,19.891304347826086,86,36,1,0
106,SP Fleming,19.6,26,3,0,0
107,MC Henriques,19.38,86,27,5,0
108,MP Stoinis,19.28,35,18,1,0
109,YV Takawale,19.2,27,3,0,0
110,WP Saha,19.139784946236556,161,59,7,1
111,DR Martyn,19.0,1,0,0,0
112,Y Gnaneswara Rao,19.0,3,0,0,0
113,EJG Morgan,18.977777777777774,76,34,4,0
114,Y Venugopal Rao,18.94230769230769,77,37,3,0
115,SN Khan,18.90909090909091,45,12,1,0
116,LA Pomersbach,18.875,27,13,1,0
117,LRPL Taylor,18.83333333333333,68,45,3,0
118,Mandeep Singh,18.63855421686747,161,33,5,0
119,S Hetmyer,18.6,4,7,1,0
120,CJ Anderson,18.55172413793104,40,31,2,0
121,Azhar Mahmood,18.476190476190478,40,13,2,0
122,GJ Bailey,18.416666666666668,60,19,2,0
123,S Sohal,18.4,34,18,2,0
124,SM Pollock,18.375,12,8,0,0
125,HH Pandya,18.327868852459016,74,69,3,0
126,M Klinger,18.25,9,0,0,0
127,RR Sarwan,18.25,6,1,0,0
128,S Vidyut,18.125,22,3,1,0
129,L Livingstone,18.0,6,5,0,0
130,BJ Haddin,18.0,2,1,0,0
