label,x,y
g,2,3
g,2,3
g,1,4
g,2,3
g,1,3
g,1,4
g,2,4
g,1,4
g,1,4
g,1,4
g,1,4
g,2,3
g,1,3
g,1,4
g,1,3
g,1,3
g,2,4
g,1,3
g,2,4
g,2,4
purple,3,4
purple,3,3
purple,3,3
purple,3,3
purple,4,3
purple,4,3
purple,4,3
purple,4,4
purple,3,4
purple,3,3
purple,4,3
purple,4,4
purple,4,4
purple,3,3
purple,4,3
purple,3,4
purple,4,3
purple,3,4
purple,4,4
purple,4,4
b,4,1
b,4,2
b,4,2
b,3,1
b,3,2
b,4,2
b,3,1
b,4,2
b,4,2
b,4,2
b,3,1
b,4,1
b,3,2
b,4,2
b,3,1
b,3,2
b,4,2
b,4,2
b,3,2
b,4,1
r,1,2
r,2,2
r,1,1
r,1,2
r,1,2
r,1,2
r,1,1
r,1,1
r,1,1
r,2,2
