,company,title,location,summary,salary,href,rate,reviews,org_salary_period
0,3Q Digital,1,1,1,1,1,1,1,1
1,AAD Partners,2,2,2,2,2,2,2,2
2,AFI Environmental,1,1,1,1,1,1,1,1
3,"AIS, Inc",1,1,1,1,1,1,1,1
4,Activ8 Recruitment & Solutions,1,1,1,1,1,1,1,1
5,Adecco,2,2,2,2,2,2,2,2
6,"Advanced Biological Marketing, Inc.",2,2,2,2,2,2,2,2
7,Advanced Technology Solutions,1,1,1,1,1,1,1,1
8,AiCure,4,4,4,4,4,4,4,4
9,All-In Analytics,6,6,6,6,6,6,6,6
10,Altius Diagnostics Laboratory,1,1,1,1,1,1,1,1
11,American University,1,1,1,1,1,1,1,1
12,Apex Life Sciences,1,1,1,1,1,1,1,1
13,"Apex Staffing, Inc.",2,2,2,2,2,2,2,2
14,Auto Soss Inc.,1,1,1,1,1,1,1,1
15,Averity,17,17,17,17,17,17,17,17
16,Avlino,1,1,1,1,1,1,1,1
17,Axio Research LLC,65,65,65,65,65,65,65,65
18,BICP,1,1,1,1,1,1,1,1
19,BNSF,1,1,1,1,1,1,1,1
20,BNY Mellon,4,4,4,4,4,4,4,4
21,Barrington James,1,1,1,1,1,1,1,1
22,Basepair,2,2,2,2,2,2,2,2
23,BiSoft,1,1,1,1,1,1,1,1
24,Biotech Partners,1,1,1,1,1,1,1,1
25,Biz League inc,3,3,3,3,3,3,3,3
26,Biz2Credit Inc.,48,48,48,48,48,48,48,48
27,Brielle Technologies,2,2,2,2,2,2,2,2
28,Central Intelligence Agency,2,2,2,2,2,2,2,2
29,"City of Plano, Texas",1,1,1,1,1,1,1,1
30,City of Seattle,1,1,1,1,1,1,1,1
31,"Coastal Risk Consulting, LLC",2,2,2,2,2,2,2,2
32,Columbia University,1,1,1,1,1,1,1,1
33,"Computer Staff, Inc.",1,1,1,1,1,1,1,1
34,Crossover,1,1,1,1,1,1,1,1
35,CyberCoders,1,1,1,1,1,1,1,1
36,"DSoft Technology, Engineering and Analysis, Inc.",1,1,1,1,1,1,1,1
37,DataCamp,2,2,2,2,2,2,2,2
38,Dataspace,1,1,1,1,1,1,1,1
39,Defined Clarity,3,3,3,3,3,3,3,3
40,Delta Dallas,1,1,1,1,1,1,1,1
41,Dept of State Health Services,1,1,1,1,1,1,1,1
42,Direct Client,5,5,5,5,5,5,5,5
43,DiscoverOrg,1,1,1,1,1,1,1,1
44,"East River BioSolutions, Inc.",2,2,2,2,2,2,2,2
45,Encore Fire Protection,1,1,1,1,1,1,1,1
46,Enterprise Peak,5,5,5,5,5,5,5,5
47,Evio Labs,2,2,2,2,2,2,2,2
48,Florida International University,1,1,1,1,1,1,1,1
49,FlowCommand Inc.,13,13,13,13,13,13,13,13
50,Fortira Inc,2,2,2,2,2,2,2,2
51,Fusion Global Solutions,1,1,1,1,1,1,1,1
52,Gene Friend Way,1,1,1,1,1,1,1,1
53,"Global Channel Management, Inc.",1,1,1,1,1,1,1,1
54,Gradient.io,2,2,2,2,2,2,2,2
55,Hamlyn Williams,1,1,1,1,1,1,1,1
56,"Happy Faces Personnel Group, Inc.",1,1,1,1,1,1,1,1
57,Harnham,20,20,20,20,20,20,20,20
58,Health Research Incorporated,2,2,2,2,2,2,2,2
59,HireNetworks,1,1,1,1,1,1,1,1
60,Hirewell,1,1,1,1,1,1,1,1
61,HumanEdge,1,1,1,1,1,1,1,1
62,IDM People,1,1,1,1,1,1,1,1
63,Imbibe,45,45,45,45,45,45,45,45
64,Incedoinc,3,3,3,3,3,3,3,3
65,Insight Global,18,18,18,18,18,18,18,18
66,Interface Financial Group (IFG),2,2,2,2,2,2,2,2
67,Intertel,41,41,41,41,41,41,41,41
68,Invenia Resourcing,1,1,1,1,1,1,1,1
69,JDSAT,2,2,2,2,2,2,2,2
70,Jackson Lewis,1,1,1,1,1,1,1,1
71,Jobs for America's Graduates,1,1,1,1,1,1,1,1
72,Jobspring Partners,8,8,8,8,8,8,8,8
73,K&M Systems,1,1,1,1,1,1,1,1
74,Kaiser Tech Inc,2,2,2,2,2,2,2,2
75,Kasisto,1,1,1,1,1,1,1,1
