Side,WarID,PolityID,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,IsInitiator,Outcome,Deaths,PolityName
A,300,210,1816,8,26,1816,8,30,1,1,13,0
A,300,200,1816,8,26,1816,8,30,1,1,129,1
A,301,640,1816,9,0,1818,9,11,1,1,13500,2
A,302,230,1817,1,9,1818,4,5,0,2,1700,3
A,303,230,1817,4,11,1819,8,10,1,2,3000,3
A,304,230,1817,8,15,1818,1,1,0,1,1000,3
A,305,200,1817,10,0,1818,11,26,0,1,1000,1
A,306,200,1817,11,6,1818,6,3,0,1,2800,1
A,307,640,1820,0,0,1821,6,0,1,1,4000,2
A,308,230,1821,4,28,1822,5,24,0,2,1000,3
A,309,640,1821,8,0,1822,5,0,0,6,1000,2
A,310,200,1823,9,24,1826,2,24,0,1,15000,1
A,311,200,1824,1,20,1826,8,7,0,1,1400,1
A,312,230,1824,2,4,1825,4,2,0,2,2000,3
A,313,210,1825,7,23,1830,3,28,0,1,15000,0
A,314,200,1825,11,23,1826,1,18,0,1,400,1
A,315,140,1826,1,1,1828,10,27,0,2,4000,4
A,316,365,1826,9,28,1828,2,28,0,1,5000,5
A,317,230,1829,7,16,1829,9,11,1,2,1700,3
A,319,220,1830,6,12,1830,7,5,1,1,600,6
A,320,640,1832,6,0,1837,0,0,0,1,0,2
A,321,200,1838,4,17,1838,4,0,1,2,800,1
A,322,200,1839,2,14,1842,10,12,1,2,20000,1
A,323,200,1839,9,4,1842,8,29,1,1,450,1
A,324,220,1839,11,1,1847,12,23,0,1,15000,6
A,325,135,1841,10,19,1841,11,28,0,2,600,7
A,326,200,1843,1,6,1843,6,14,1,1,200,1
A,327,160,1843,2,16,1851,7,18,1,4,1500,8
A,329,200,1843,12,28,1843,12,29,1,1,106,1
A,330,220,1844,8,6,1844,9,10,1,1,200,6
A,331,200,1845,12,13,1846,2,10,0,1,1500,1
A,332,365,1846,2,0,1846,3,3,0,1,0,5
A,332,255,1846,2,0,1846,3,3,0,1,0,9
A,332,300,1846,2,15,1846,3,3,0,1,1000,10
A,333,200,1846,4,16,1847,12,23,1,1,1000,1
A,334,210,1848,4,12,1848,6,21,1,6,300,0
A,335,200,1848,5,18,1849,3,10,1,1,1500,1
A,336,200,1849,10,20,1849,10,22,1,1,0,1
A,337,200,1850,12,24,1852,4,8,1,1,1400,1
A,338,640,1851,4,21,1851,7,9,0,1,0,11
A,339,200,1852,4,5,1852,11,20,1,1,400,1
A,340,220,1854,0,0,1857,7,15,0,6,100,6
A,341,200,1855,0,0,1856,0,0,0,1,0,1
A,342,640,1856,1,22,1856,2,22,0,6,1700,2
A,343,200,1856,10,22,1860,10,24,1,1,200,1
A,343,220,1856,10,22,1860,10,24,1,1,100,6
A,345,220,1856,5,17,1857,12,0,1,1,1000,6
A,347,200,1857,5,10,1859,4,7,0,1,11000,1
A,349,220,1858,8,31,1862,6,5,1,1,1500,6
A,350,210,1859,2,20,1860,1,20,1,1,500,0
A,351,160,1859,5,29,1859,10,23,1,1,500,8
A,352,329,1860,5,11,1860,10,14,0,4,4500,12
A,353,230,1863,4,0,1865,5,3,1,2,28000,3
A,355,200,1863,6,4,1866,1,14,1,1,700,1
A,356,2,1863,6,25,1864,9,7,0,1,5,13
A,356,200,1864,7,5,1864,9,7,0,1,13,1
A,356,210,1864,7,5,1864,9,7,0,1,2,0
A,356,220,1863,6,25,1864,9,7,0,1,6,6
A,357,200,1863,10,20,1863,12,21,1,1,900,1
A,359,365,1864,4,24,1865,6,17,1,1,120,5
A,360,200,1865,1,0,1865,11,11,1,1,100,1
A,361,365,1866,1,12,1866,10,18,1,1,100,5
A,362,200,1867,12,0,1868,4,13,1,1,400,1
A,363,230,1868,10,10,1878,2,11,0,1,100000,3
A,364,651,1869,0,0,1870,0,0,1,2,0,14
A,365,640,1870,11,30,1872,12,30,0,1,4000,2
A,366,220,1871,3,0,1872,1,0,0,1,2686,6
A,367,200,1873,1,0,1874,2,4,0,1,100,1
A,369,220,1873,11,20,1874,0,0,1,3,400,6
A,370,210,1873,3,26,1878,10,13,0,1,12000,0
A,371,365,1875,8,9,1876,2,28,0,1,100,5
A,372,651,1875,9,0,1876,3,9,1,2,4250,14
A,373,640,1876,6,30,1877,4,23,0,4,0,2
A,374,200,1877,8,0,1878,6,0,0,1,200,1
A,375,651,1878,2,0,1879,7,0,1,1,0,14
A,376,365,1878,5,0,1881,1,24,1,1,2000,5
A,377,300,1878,7,29,1878,10,1,1,1,3500,15
A,379,200,1878,11,21,1879,5,26,1,1,10000,1
A,380,200,1879,1,11,1879,7,4,1,1,2500,1
A,381,200,1880,9,0,1881,4,0,1,1,0,1
A,382,200,1880,12,16,1881,4,5,0,2,900,1
A,383,220,1881,6,0,1882,4,4,0,1,3500,6
A,384,651,1881,8,0,1882,9,15,0,2,5000,14
A,384,200,1881,8,0,1885,3,22,0,2,25000,1
