IsInitiator,WarID,PolityID,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Side,Outcome,Deaths,PolityName
1,1500,0,1818,0,0,1824,0,0,1500,1,1500,0
0,1500,0,1818,0,0,1824,0,0,1500,2,6000,1
0,1500,0,1818,0,0,1824,0,0,1500,2,6000,2
0,1500,0,1818,0,0,1824,0,0,1500,2,6000,3
0,1500,0,1818,0,0,1824,0,0,1500,2,6000,4
0,1500,0,1818,0,0,1824,0,0,1500,2,6000,5
1,1501,0,1819,0,0,1828,9,24,1501,1,20000,6
0,1501,0,1819,0,0,1828,9,24,1501,2,40000,7
1,1502,0,1819,0,0,1822,0,0,1502,1,0,8
0,1502,0,1819,0,0,1822,0,0,1502,2,0,9
0,1503,0,1820,1,8,1820,2,23,1503,2,0,10
1,1503,0,1820,1,8,1820,2,23,1503,1,0,11
0,1505,0,1821,9,0,1823,0,0,1505,2,2000,12
0,1505,0,1821,9,0,1823,0,0,1505,2,2000,13
0,1505,0,1821,9,0,1823,0,0,1505,2,2000,14
0,1505,0,1821,9,0,1823,0,0,1505,2,2000,15
1,1505,0,1821,9,0,1823,0,0,1505,1,500,16
1,1506,0,1821,11,0,1821,12,0,1506,1,0,17
0,1506,0,1821,11,0,1821,12,0,1506,2,0,18
0,1508,0,1825,0,0,1828,0,0,1508,2,0,19
1,1508,0,1825,0,0,1828,0,0,1508,1,0,20
0,1509,0,1825,10,25,1827,4,13,1509,3,0,21
1,1509,0,1825,10,25,1827,4,13,1509,3,0,22
0,1510,0,1826,0,0,1829,4,12,1510,2,2000,23
1,1510,0,1826,0,0,1829,4,12,1510,1,1300,24
1,1511,0,1826,0,0,1827,5,15,1511,2,24000,25
0,1511,0,1826,0,0,1827,5,15,1511,1,7000,26
1,1512,0,1828,7,3,1829,2,28,1512,2,3000,27
0,1512,0,1828,7,3,1829,2,28,1512,1,1000,28
1,1513,0,1829,4,26,1831,11,30,1513,2,0,29
0,1513,0,1829,4,26,1831,11,30,1513,1,0,11
1,1514,0,1829,12,18,1830,5,9,1514,1,0,30
0,1514,0,1829,12,18,1830,5,9,1514,2,0,31
1,1515,0,1830,9,0,1831,11,0,1515,1,0,20
0,1515,0,1830,9,0,1831,11,0,1515,2,0,32
0,1516,0,1831,0,0,1834,0,0,1516,1,0,33
0,1516,0,1831,0,0,1834,0,0,1516,1,0,34
1,1516,0,1831,0,0,1834,0,0,1516,2,0,17
1,1518,0,1833,3,16,1834,3,25,1518,1,0,35
0,1518,0,1833,3,16,1834,3,25,1518,2,6000,36
1,1520,0,1835,6,16,1836,2,7,1520,1,0,37
0,1520,0,1835,6,16,1836,2,7,1520,2,0,27
0,1521,0,1836,8,15,1837,11,12,1521,1,350,38
1,1521,0,1836,8,15,1837,11,12,1521,2,3000,39
1,1523,0,1837,11,0,1839,1,20,1523,1,1400,35
1,1523,0,1837,11,0,1839,1,20,1523,1,1400,40
0,1523,0,1837,11,0,1839,1,20,1523,2,1500,41
1,1524,0,1837,11,22,1838,9,9,1524,2,1700,42
0,1524,0,1837,11,22,1838,9,9,1524,1,0,43
0,1525,0,1838,2,6,1838,12,20,1525,1,700,38
1,1525,0,1838,2,6,1838,12,20,1525,2,3000,44
0,1527,0,1839,2,24,1840,12,31,1527,4,500,45
1,1527,0,1839,2,24,1840,12,31,1527,4,2500,46
0,1528,0,1839,3,19,1840,3,21,1528,2,2000,24
1,1528,0,1839,3,19,1840,3,21,1528,1,1700,47
0,1530,0,1841,5,0,1842,10,17,1530,3,1000,48
1,1530,0,1841,5,0,1842,10,17,1530,3,3000,49
1,1531,0,1844,2,27,1845,12,21,1531,6,0,50
0,1531,0,1844,2,27,1845,12,21,1531,6,0,51
1,1533,0,1847,0,0,1848,1,0,1533,2,0,32
0,1533,0,1847,0,0,1848,1,0,1533,1,0,20
0,1534,0,1850,12,1,1860,10,24,1534,4,0,20
1,1534,0,1850,12,1,1860,10,24,1534,4,0,52
0,1535,0,1852,0,0,1854,0,0,1535,2,6000,53
1,1535,0,1852,0,0,1854,0,0,1535,1,4000,54
1,1536,0,1852,0,0,1852,0,0,1536,1,400,55
0,1536,0,1852,0,0,1852,0,0,1536,2,1600,56
1,1537,0,1854,3,25,1860,10,24,1537,4,0,57
0,1537,0,1854,3,25,1860,10,24,1537,4,0,58
1,1538,0,1855,11,0,1856,1,27,1538,2,0,59
0,1538,0,1855,11,0,1856,1,27,1538,1,0,60
1,1539,0,1855,0,0,1858,0,0,1539,6,0,61
0,1539,0,1855,0,0,1858,0,0,1539,6,0,58
1,1540,0,1856,2,26,1857,5,1,1540,1,6700,62
1,1540,0,1856,2,26,1857,5,1,1540,1,6700,63
0,1540,0,1856,2,26,1857,5,1,1540,2,1000,64
1,1540,0,1856,2,26,1857,5,1,1540,1,6700,65
1,1540,0,1856,2,26,1857,5,1,1540,1,6700,66
1,1541,0,1856,5,19,1860,10,24,1541,4,0,67
0,1541,0,1856,5,19,1860,10,24,1541,4,0,58
0,1542,0,1856,12,2,1856,12,2,1542,1,0,68
1,1542,0,1856,12,2,1856,12,2,1542,2,5000,69
0,1543,0,1857,0,0,1857,9,0,1543,1,0,20
1,1543,0,1857,0,0,1857,9,0,1543,2,0,70
1,1543,0,1857,0,0,1857,9,0,1543,2,0,71
0,1544,0,1858,0,0,1858,0,0,1544,6,0,72
1,1544,0,1858,0,0,1858,0,0,1544,6,0,73
1,1545,0,1858,0,0,1861,1,0,1545,2,0,74
0,1545,0,1858,0,0,1861,1,0,1545,1,0,75
1,1546,0,1860,0,0,1862,3,16,1546,1,0,76
0,1546,0,1860,0,0,1862,3,16,1546,2,0,77
0,1548,0,1862,4,0,1864,1,0,1548,1,3000,78
1,1548,0,1862,4,0,1864,1,0,1548,2,3000,79
0,1550,0,1863,1,23,1863,11,15,1550,2,0,80
0,1550,0,1863,1,23,1863,11,15,1550,2,0,65
1,1550,0,1863,1,23,1863,11,15,1550,1,0,66
1,1550,0,1863,1,23,1863,11,15,1550,1,0,64
1,1551,0,1864,12,18,1865,12,18,1551,7,110,81
0,1551,0,1864,12,18,1865,12,18,1551,7,890,82
0,1552,0,1865,6,9,1866,4,3,1552,2,0,72
1,1552,0,1865,6,9,1866,4,3,1552,1,0,83
1,1553,0,1868,4,13,1872,1,21,1553,2,30000,75
0,1553,0,1868,4,13,1872,1,21,1553,1,5000,84
0,1554,0,1870,3,5,1872,4,6,1554,1,0,85
1,1554,0,1870,3,5,1872,4,6,1554,2,0,86
0,1556,0,1883,3,28,1884,6,4,1556,2,0,87
1,1556,0,1883,3,28,1884,6,4,1556,1,0,88
0,1557,0,1883,10,0,1884,0,0,1557,1,0,89
1,1557,0,1883,10,0,1884,0,0,1557,2,0,90
0,1558,0,1884,8,0,1894,11,16,1558,7,8900,82
1,1558,0,1884,8,0,1894,11,16,1558,7,1100,81
1,1559,0,1885,5,0,1889,3,12,1559,2,15000,75
0,1559,0,1885,5,0,1889,3,12,1559,1,15000,91
1,1560,0,1888,9,0,1889,5,0,1560,2,0,92
0,1560,0,1888,9,0,1889,5,0,1560,1,0,93
1,1560,0,1888,9,0,1889,5,0,1560,2,0,94
1,1561,0,1893,0,0,1893,0,0,1561,1,0,95
0,1561,0,1893,0,0,1893,0,0,1561,2,0,96
0,1567,0,1919,5,25,1919,5,25,1567,2,4000,97
1,1567,0,1919,5,25,1919,5,25,1567,1,0,98
0,1568,0,1924,9,4,1925,12,23,1568,2,0,97
1,1568,0,1924,9,4,1925,12,23,1568,1,0,98
1,1570,0,1946,8,16,1947,8,1,1570,1,0,99
0,1570,0,1946,8,16,1947,8,1,1570,2,0,100
0,1570,0,1946,8,16,1947,8,1,1570,2,0,101
0,1571,0,1947,8,15,1948,9,12,1571,4,0,102
1,1571,0,1947,8,15,1948,9,12,1571,4,0,103
0,1572,0,1947,11,29,1948,5,14,1572,4,991,94
1,1572,0,1947,11,29,1948,5,14,1572,4,895,104
1,1573,0,1948,4,3,1949,5,0,1573,2,17000,105
1,1573,0,1948,4,3,1949,5,0,1573,2,17000,106
0,1573,0,1948,4,3,1949,5,0,1573,1,0,107
1,1574,0,1959,10,19,1962,7,1,1574,1,0,108
0,1574,0,1959,10,19,1962,7,1,1574,2,0,109
0,1577,0,1968,9,0,1971,10,6,1577,6,0,89
1,1577,0,1968,9,0,1971,10,6,1577,6,0,110
0,1581,0,1974,10,15,1975,10,22,1581,4,0,111
0,1581,0,1974,10,15,1975,10,22,1581,4,0,112
1,1581,0,1974,10,15,1975,10,22,1581,4,0,113
0,1582,0,1975,8,11,1975,10,15,1582,4,0,114
0,1582,0,1975,8,11,1975,10,15,1582,4,0,115
1,1582,0,1975,8,11,1975,10,15,1582,4,0,116
1,1594,0,1999,6,0,2005,3,0,1594,6,0,117
0,1594,0,1999,6,0,2005,3,0,1594,6,0,118
0,500,365,1818,6,10,1822,0,0,500,1,5000,0
1,500,0,1818,6,10,1822,0,0,500,2,6000,1
1,501,0,1820,6,0,1821,7,21,501,2,0,2
0,501,0,1820,6,0,1821,7,21,501,1,0,3
1,502,0,1820,7,2,1821,3,23,502,2,0,4
0,502,300,1821,3,0,1821,3,23,502,1,0,5
0,502,329,1820,7,2,1821,3,23,502,1,0,6
0,503,230,1821,12,1,1823,4,6,503,4,0,7
1,503,0,1821,12,1,1823,4,6,503,4,0,8
0,505,300,1821,3,10,1821,5,8,505,1,0,5
0,505,325,1821,3,10,1821,5,8,505,1,0,9
1,505,0,1821,3,10,1821,5,8,505,2,0,10
0,506,365,1827,10,20,1828,4,25,506,4,60,0
0,506,220,1827,10,20,1827,10,27,506,4,40,11
0,506,200,1827,10,20,1827,10,27,506,4,80,12
