,WarNum,TransTo
0,1,0
1,4,0
2,7,0
3,10,0
4,13,0
5,16,0
6,19,0
7,22,0
8,25,0
9,28,0
10,31,0
11,34,0
12,37,0
13,40,2
14,43,0
15,46,0
16,49,0
17,52,0
18,55,0
19,58,0
20,60,0
21,61,0
22,64,0
23,65,0
24,67,0
25,70,0
26,73,0
27,76,0
28,79,0
29,82,0
30,83,0
31,85,0
32,88,0
33,91,0
34,94,0
35,97,0
36,100,0
37,103,0
38,106,0
39,107,0
40,108,0
41,109,0
42,112,0
43,115,0
44,116,0
45,117,0
46,118,0
47,121,0
48,124,0
49,125,0
50,127,0
51,130,0
52,133,0
53,136,0
54,139,0
55,142,0
56,145,0
57,147,0
58,148,0
59,151,0
60,153,0
61,155,0
62,156,0
63,158,0
64,159,0
65,160,0
66,163,0
67,166,0
68,169,0
69,170,0
70,172,0
71,175,0
72,176,4
73,178,0
74,181,0
75,184,0
76,186,4
77,187,3
78,189,2
79,190,0
80,193,0
81,199,0
82,202,0
83,205,0
84,207,0
85,208,0
86,211,0
87,215,3
88,216,0
89,217,0
90,219,0
91,221,0
92,223,0
93,225,6
94,227,4
95,300,0
96,301,0
97,302,0
98,303,0
99,304,0
100,305,0
101,306,0
102,307,0
103,308,0
104,309,0
105,310,0
106,311,0
107,312,0
108,313,0
109,314,0
110,315,0
111,316,0
112,317,0
113,319,0
114,320,0
115,321,0
116,322,0
117,323,0
118,324,0
119,325,0
120,326,0
121,327,3
122,329,0
123,330,0
124,331,0
125,332,0
126,333,0
127,334,0
128,335,0
129,336,0
130,337,0
131,338,0
132,339,0
133,340,0
134,341,0
135,342,0
136,343,0
137,345,0
138,347,0
139,349,0
140,350,0
141,351,0
142,352,1
143,353,0
144,355,0
145,356,0
146,357,0
147,359,0
148,360,0
149,361,0
150,362,0
151,363,0
152,364,0
153,365,0
154,366,0
155,367,0
156,369,0
157,370,0
158,371,0
159,372,0
160,373,1
161,374,0
162,375,0
163,376,0
164,377,0
165,379,0
166,380,0
167,381,0
168,382,0
169,383,0
170,384,0
171,385,2
172,386,0
173,387,0
174,389,0
175,390,0
176,391,0
177,392,0
178,393,0
179,394,0
180,395,0
181,396,0
182,397,0
183,398,0
184,399,0
185,400,0
186,401,0
187,402,0
188,403,0
189,404,1
190,405,0
191,406,0
192,407,0
193,409,0
194,410,1
195,411,0
196,412,0
197,413,0
198,414,0
199,415,0
200,416,0
201,417,0
202,419,0
203,420,0
204,421,0
205,422,0
206,423,0
207,424,0
208,425,0
209,426,0
210,427,0
211,429,0
212,430,0
213,431,0
214,432,0
215,433,0
216,434,0
217,435,0
218,436,0
219,437,0
220,440,0
221,441,0
222,442,0
223,443,0
224,444,0
225,445,0
226,446,0
227,447,0
228,449,0
229,450,0
230,451,0
231,452,0
232,453,0
233,454,0
234,455,0
235,456,0
236,457,0
237,459,0
238,460,0
239,461,0
240,462,0
241,463,0
242,464,0
243,465,0
244,466,0
245,467,0
246,469,1
247,471,0
248,472,1
249,473,0
250,474,0
251,475,2
252,476,2
253,477,0
254,479,0
255,480,0
256,481,0
257,482,0
258,500,0
259,501,0
260,502,0
261,503,1
262,505,0
263,506,4
264,507,0
265,508,0
266,510,0
267,511,0
268,512,0
269,513,0
270,515,0
271,516,0
272,517,0
273,518,0
274,520,0
275,521,0
276,522,0
277,523,0
278,525,0
279,526,0
280,527,0
281,528,0
282,530,0
283,531,0
284,532,0
285,533,0
286,535,0
287,536,0
288,537,0
289,538,0
290,540,0
291,541,0
292,542,0
293,543,0
294,545,1
295,546,0
296,547,0
297,548,0
298,550,0
299,551,1
300,552,0
301,553,0
302,554,0
303,555,0
304,556,0
305,557,0
306,558,0
307,560,0
308,561,0
309,562,0
310,563,0
311,565,0
312,566,0
313,567,0
314,568,0
315,570,0
316,571,0
317,572,0
318,573,0
319,575,0
320,576,0
321,577,0
322,578,0
323,580,0
324,581,0
325,582,0
326,583,0
327,585,0
328,586,0
329,587,0
330,588,0
331,590,0
332,591,0
333,592,0
334,593,0
335,595,0
336,596,0
337,597,0
338,598,0
339,600,0
340,601,1
341,602,0
342,603,0
343,605,0
344,607,0
345,608,0
346,610,0
347,611,0
348,612,0
349,613,0
350,616,0
351,617,0
352,618,0
353,620,0
354,621,0
355,623,0
356,625,0
357,626,0
358,627,0
359,628,0
360,630,0
361,631,1
362,632,0
363,633,0
364,635,0
365,636,0
366,638,0
367,640,0
368,641,0
369,642,0
370,643,0
371,645,0
372,646,0
373,647,0
374,648,0
375,650,1
376,651,0
377,652,0
378,656,0
379,657,0
380,658,0
381,670,0
382,671,0
383,672,0
384,673,0
385,675,0
386,676,0
387,677,0
388,680,0
389,681,1
390,682,0
391,683,0
392,685,0
393,686,0
394,687,0
395,688,0
396,690,0
397,691,0
398,692,0
399,693,0
400,695,0
401,696,0
402,697,0
403,698,0
404,700,0
405,701,0
406,702,0
407,703,0
408,705,0
409,706,0
410,707,0
411,708,0
412,710,0
413,711,0
414,712,0
415,713,0
416,715,0
417,716,0
418,717,0
419,718,0
420,720,0
421,721,0
422,722,0
423,723,0
424,725,0
425,726,0
426,727,0
427,728,0
428,730,0
429,731,0
430,732,0
431,733,0
432,735,0
433,737,0
434,738,0
435,740,0
436,741,0
437,742,0
438,743,0
439,745,0
440,746,0
441,747,0
442,748,2
443,750,0
444,1500,0
445,1501,0
446,1502,0
447,1503,0
448,1505,0
449,1506,0
450,1508,0
451,1509,0
452,1510,0
453,1511,0
454,1512,0
455,1513,0
456,1514,0
457,1515,0
458,1516,0
459,1518,0
460,1520,0
461,1521,0
462,1523,0
463,1524,0
464,1525,0
465,1527,1
466,1528,0
467,1530,0
468,1531,0
469,1533,0
470,1534,1
471,1535,0
472,1536,0
473,1537,1
474,1538,0
475,1539,0
476,1540,0
477,1541,1
478,1542,0
479,1543,0
480,1544,0
481,1545,0
482,1546,0
483,1548,0
484,1550,0
485,1551,0
486,1552,0
487,1553,0
488,1554,0
489,1556,0
490,1557,0
491,1558,0
492,1559,0
493,1560,0
494,1561,0
495,1567,0
496,1568,0
497,1570,0
498,1571,1
499,1572,1
500,1573,0
501,1574,0
502,1577,0
503,1581,1
504,1582,1
505,1594,0
