Departamento,N.°,Municipio,Población cabecera,Población resto,Población Total
La Guajira,33,0,8989,181095,190084
La Guajira,34,0,118889,66183,185072
Santander,35,0,150483,32476,182959
Boyacá,36,0,171461,7802,179263
Casanare,37,0,152421,25267,177688
Caquetá,38,0,152536,20475,173011
Santander,39,0,152582,19322,171904
Valle del Cauca,40,0,130114,37033,167147
Cundinamarca,41,0,145080,10898,155978
Cundinamarca,42,0,132633,21510,154143
Cundinamarca,43,0,148715,1950,150665
Cundinamarca,44,0,124309,25261,149570
Cundinamarca,45,0,121962,24390,146352
Antioquia,46,0,90256,52739,142995
Bolívar,47,0,96380,43776,140156
Atlántico,48,0,130135,9431,139566
Valle del Cauca,49,0,132653,4649,137302
Boyacá,50,0,116031,15074,131105
Chocó,51,0,112380,18445,130825
Antioquia,52,0,52453,77738,130191
Norte de Santander,53,0,116232,13076,129308
Valle del Cauca,54,0,109753,19192,128945
Huila,55,0,75434,53196,128630
Antioquia,56,0,107271,20473,127744
Cundinamarca,57,0,120823,6315,127138
Boyacá,58,0,112308,14362,126670
Magdalena,59,0,110303,14036,124339
Cesar,60,0,103209,15443,118652
Nariño,61,0,77042,38794,115836
Córdoba,62,0,54430,61031,115461
Bolívar,63,0,103755,9685,113440
Cauca,64,0,52684,60317,113001
Norte de Santander,65,0,107991,3263,111254
Córdoba,66,0,53973,56260,110233
Valle del Cauca,67,0,95072,14997,110069
Cundinamarca,68,0,105896,3896,109792
Córdoba,69,0,60220,48189,108409
Cundinamarca,70,0,103270,1816,105086
Atlántico,71,0,74713,25336,100049
Cundinamarca,1,0,7715778,28177,7743955
Antioquia,2,0,2490164,43260,2533424
Valle del Cauca,3,0,2205680,46936,2252616
Atlántico,4,0,1273646,604,1274250
Bolívar,5,0,914552,114184,1028736
Norte de Santander,6,0,748948,28158,777106
Cundinamarca,7,0,749034,4514,753548
Atlántico,8,0,664141,880,665021
Santander,9,0,597316,10112,607428
Antioquia,10,0,536427,15727,552154
Meta,11,0,502047,43255,545302
Tolima,12,0,501991,39110,541101
Magdalena,13,0,484025,54587,538612
Cesar,14,0,468165,64791,532956
Córdoba,15,0,395184,110150,505334
Risaralda,16,0,399283,77744,477027
Caldas,17,0,420933,25227,446160
Nariño,18,0,305360,87229,392589
Huila,19,0,340512,23896,364408
Valle del Cauca,20,0,279465,74820,354285
Cauca,21,0,267389,58088,325477
Valle del Cauca,22,0,238648,73179,311827
Santander,23,0,295724,12172,307896
Quindío,24,0,297052,7712,304764
Sucre,25,0,259435,34516,293951
Antioquia,26,0,265527,24467,289994
Nariño,27,0,86614,170438,257052
Antioquia,28,0,234143,8054,242197
Risaralda,29,0,213520,10262,223782
Valle del Cauca,30,0,178030,40782,218812
Santander,31,0,183730,26999,210729
La Guajira,32,0,147244,54595,201839
Norte de Santander,72,0,94847,2373,97220
Arauca,73,0,83256,13558,96814
Antioquia,74,0,84654,10773,95427
Córdoba,75,0,43553,51624,95177
Valle del Cauca,76,0,23940,70271,94211
La Guajira,77,0,11284,82147,93431
Cundinamarca,78,0,64093,28874,92967
Meta,79,0,69715,22114,91829
Antioquia,80,0,77424,10557,87981
Córdoba,81,0,63689,22196,85885
Antioquia,82,0,67400,16023,83423
Antioquia,83,0,66981,14839,81820
Risaralda,84,0,66571,12801,79372
Vichada,85,0,3373,75490,78863
Antioquia,86,0,65582,9935,75517
Quindío,87,0,58426,16464,74890
Huila,88,0,39544,34592,74136
Caldas,89,0,64742,9264,74006
Magdalena,90,0,4676,69257,73933
Bolívar,91,0,57700,16030,73730
Bolívar,92,0,52792,19803,72595
Tolima,93,0,51211,19804,71015
Sucre,94,0,53468,17385,70853
Meta,95,0,59213,11364,70577
Magdalena,96,0,59828,10663,70491
Magdalena,97,0,42521,27180,69701
Antioquia,98,0,59630,8695,68325
Antioquia,99,0,48258,19635,67893
Caldas,100,0,59390,8039,67429
Putumayo,101,0,40549,26662,67211
Atlántico,102,0,55697,11353,67050
Atlántico,103,0,62159,4862,67021
Córdoba,104,0,41267,23509,64776
Cesar,105,0,50642,14034,64676
Magdalena,106,0,49028,14989,64017
Arauca,107,0,47597,15407,63004
Antioquia,108,0,37196,25385,62581
Huila,109,0,26183,36197,62380
Sucre,110,0,33366,27200,60566
Córdoba,111,0,22365,38156,60521
Antioquia,112,0,50581,9255,59836
Santander,113,0,51874,7796,59670
Putumayo,114,0,40689,18249,58938
Norte de Santander,115,0,21488,37233,58721
Antioquia,116,0,19745,38414,58159
