,Departamento,N.°,Municipio,Población cabecera,Población resto,Población Total
0,Amazonas,1,1,1,1,1
1,Antioquia,81,81,81,81,81
2,Arauca,5,5,5,5,5
3,Atlántico,22,22,22,22,22
4,Bolívar,35,35,35,35,35
5,Boyacá,17,17,17,17,17
6,Caldas,18,18,18,18,18
7,Caquetá,10,10,10,10,10
8,Casanare,11,11,11,11,11
9,Cauca,35,35,35,35,35
10,Cesar,23,23,23,23,23
11,Chocó,15,15,15,15,15
12,Cundinamarca,55,55,55,55,55
13,Córdoba,30,30,30,30,30
14,Guainía,1,1,1,1,1
15,Guaviare,2,2,2,2,2
16,Huila,22,22,22,22,22
17,La Guajira,13,13,13,13,13
18,Magdalena,27,27,27,27,27
19,Meta,16,16,16,16,16
20,Nariño,32,32,32,32,32
21,Norte de Santander,19,19,19,19,19
22,Putumayo,10,10,10,10,10
23,Quindío,7,7,7,7,7
24,Risaralda,12,12,12,12,12
25,San Andrés y Providencia,1,1,1,1,1
26,Santander,23,23,23,23,23
27,Sucre,22,22,22,22,22
28,Tolima,26,26,26,26,26
29,Valle del Cauca,36,36,36,36,36
30,Vaupés,1,1,1,1,1
31,Vichada,2,2,2,2,2
