Year,Category,Nominee,Movie,Winner
2010 (83rd),Actress -- Supporting Role,Amy Adams,The Fighter {'Charlene Fleming'},NO
2010 (83rd),Actress -- Supporting Role,Helena Bonham Carter,The King's Speech {'Queen Elizabeth'},NO
2010 (83rd),Actress -- Supporting Role,Hailee Steinfeld,True Grit {'Mattie Ross'},NO
2010 (83rd),Actress -- Supporting Role,Jacki Weaver,Animal Kingdom {'Janine 'Smurf' Cody'},NO
2009 (82nd),Actress -- Supporting Role,Penélope Cruz,Nine {'Carla'},NO
2009 (82nd),Actress -- Supporting Role,Vera Farmiga,Up in the Air {'Alex Goran'},NO
2009 (82nd),Actress -- Supporting Role,Maggie Gyllenhaal,Crazy Heart {'Jean Craddock'},NO
2009 (82nd),Actress -- Supporting Role,Anna Kendrick,Up in the Air {'Natalie Keener'},NO
2008 (81st),Actress -- Supporting Role,Amy Adams,Doubt {'Sister James'},NO
2008 (81st),Actress -- Supporting Role,Viola Davis,Doubt {'Mrs. Miller'},NO
2008 (81st),Actress -- Supporting Role,Taraji P. Henson,The Curious Case of Benjamin Button {'Queenie'},NO
2008 (81st),Actress -- Supporting Role,Marisa Tomei,The Wrestler {'Cassidy'},NO
2007 (80th),Actress -- Supporting Role,Cate Blanchett,I'm Not There {'Jude'},NO
2007 (80th),Actress -- Supporting Role,Ruby Dee,American Gangster {'Mama Lucas'},NO
2007 (80th),Actress -- Supporting Role,Saoirse Ronan,"Atonement {'Briony Tallis, aged 13'}",NO
2007 (80th),Actress -- Supporting Role,Amy Ryan,Gone Baby Gone {'Helene McCready'},NO
2006 (79th),Actress -- Supporting Role,Adriana Barraza,Babel {'Amelia'},NO
2006 (79th),Actress -- Supporting Role,Cate Blanchett,Notes on a Scandal {'Sheba Hart'},NO
2006 (79th),Actress -- Supporting Role,Abigail Breslin,Little Miss Sunshine {'Olive'},NO
2006 (79th),Actress -- Supporting Role,Rinko Kikuchi,Babel {'Chieko'},NO
2005 (78th),Actress -- Supporting Role,Amy Adams,Junebug {'Ashley'},NO
2005 (78th),Actress -- Supporting Role,Catherine Keener,Capote {'Nelle Harper Lee'},NO
2005 (78th),Actress -- Supporting Role,Frances McDormand,North Country {'Glory'},NO
2005 (78th),Actress -- Supporting Role,Michelle Williams,Brokeback Mountain {'Alma'},NO
2004 (77th),Actress -- Supporting Role,Laura Linney,Kinsey {'Clara McMillen'},NO
2004 (77th),Actress -- Supporting Role,Virginia Madsen,Sideways {'Maya'},NO
2004 (77th),Actress -- Supporting Role,Sophie Okonedo,Hotel Rwanda {'Tatiana Rusesabagina'},NO
2004 (77th),Actress -- Supporting Role,Natalie Portman,Closer {'Alice'},NO
2003 (76th),Actress -- Supporting Role,Shohreh Aghdashloo,House of Sand and Fog {'Nadi'},NO
2003 (76th),Actress -- Supporting Role,Patricia Clarkson,Pieces of April {'Joy Burns'},NO
2003 (76th),Actress -- Supporting Role,Marcia Gay Harden,Mystic River {'Celeste Boyle'},NO
2003 (76th),Actress -- Supporting Role,Holly Hunter,Thirteen {'Melanie'},NO
2002 (75th),Actress -- Supporting Role,Kathy Bates,About Schmidt {'Roberta Hertzel'},NO
2002 (75th),Actress -- Supporting Role,Julianne Moore,The Hours {'Laura Brown'},NO
2002 (75th),Actress -- Supporting Role,Queen Latifah,Chicago {'Matron Mama Morton'},NO
2002 (75th),Actress -- Supporting Role,Meryl Streep,Adaptation {'Susan Orlean'},NO
2001 (74th),Actress -- Supporting Role,Helen Mirren,Gosford Park {'Mrs. Wilson'},NO
2001 (74th),Actress -- Supporting Role,Maggie Smith,"Gosford Park {'Constance, Countess of Trentham'}",NO
2001 (74th),Actress -- Supporting Role,Marisa Tomei,In the Bedroom {'Natalie Strout'},NO
2001 (74th),Actress -- Supporting Role,Kate Winslet,Iris {'Young Iris Murdoch'},NO
2000 (73rd),Actress -- Supporting Role,Judi Dench,Chocolat {'Armande Voizin'},NO
2000 (73rd),Actress -- Supporting Role,Kate Hudson,Almost Famous {'Penny Lane'},NO
2000 (73rd),Actress -- Supporting Role,Frances McDormand,Almost Famous {'Elaine Miller'},NO
2000 (73rd),Actress -- Supporting Role,Julie Walters,Billy Elliot {'Mrs. Wilkinson'},NO
1999 (72nd),Actress -- Supporting Role,Toni Collette,The Sixth Sense {'Lynn Sear'},NO
1999 (72nd),Actress -- Supporting Role,Catherine Keener,Being John Malkovich {'Maxine'},NO
1999 (72nd),Actress -- Supporting Role,Samantha Morton,Sweet and Lowdown {'Hattie'},NO
1999 (72nd),Actress -- Supporting Role,Chloë Sevigny,Boys Don't Cry {'Lana Tisdel'},NO
1998 (71st),Actress -- Supporting Role,Kathy Bates,Primary Colors {'Libby'},NO
1998 (71st),Actress -- Supporting Role,Brenda Blethyn,Little Voice {'Mari'},NO
1998 (71st),Actress -- Supporting Role,Rachel Griffiths,Hilary and Jackie {'Hilary du Pré'},NO
1998 (71st),Actress -- Supporting Role,Lynn Redgrave,Gods and Monsters {'Hanna'},NO
1997 (70th),Actress -- Supporting Role,Joan Cusack,In & Out {'Emily Montgomery'},NO
