,Year,Category,Nominee,Movie,Winner
40,2010 (83rd),Directing,The King's Speech,Tom Hooper,YES
176,2009 (82nd),Directing,The Hurt Locker,Kathryn Bigelow,YES
317,2008 (81st),Directing,Slumdog Millionaire,Danny Boyle,YES
434,2007 (80th),Directing,No Country for Old Men,Joel Coen and Ethan Coen,YES
559,2006 (79th),Directing,The Departed,Martin Scorsese,YES
688,2005 (78th),Directing,Brokeback Mountain,Ang Lee,YES
818,2004 (77th),Directing,Million Dollar Baby,Clint Eastwood,YES
947,2003 (76th),Directing,The Lord of the Rings: The Return of the King,Peter Jackson,YES
1073,2002 (75th),Directing,The Pianist,Roman Polanski,YES
1195,2001 (74th),Directing,A Beautiful Mind,Ron Howard,YES
1333,2000 (73rd),Directing,Traffic,Steven Soderbergh,YES
1458,1999 (72nd),Directing,American Beauty,Sam Mendes,YES
1585,1998 (71st),Directing,Saving Private Ryan,Steven Spielberg,YES
1738,1997 (70th),Directing,Titanic,James Cameron,YES
1871,1996 (69th),Directing,The English Patient,Anthony Minghella,YES
2004,1995 (68th),Directing,Braveheart,Mel Gibson,YES
2144,1994 (67th),Directing,Forrest Gump,Robert Zemeckis,YES
2284,1993 (66th),Directing,Schindler's List,Steven Spielberg,YES
2404,1992 (65th),Directing,Unforgiven,Clint Eastwood,YES
2529,1991 (64th),Directing,The Silence of the Lambs,Jonathan Demme,YES
2651,1990 (63rd),Directing,Dances With Wolves,Kevin Costner,YES
2780,1989 (62nd),Directing,Born on the Fourth of July,Oliver Stone,YES
2898,1988 (61st),Directing,Rain Man,Barry Levinson,YES
3020,1987 (60th),Directing,The Last Emperor,Bernardo Bertolucci,YES
3140,1986 (59th),Directing,Platoon,Oliver Stone,YES
3261,1985 (58th),Directing,Out of Africa,Sydney Pollack,YES
3376,1984 (57th),Directing,Amadeus,Milos Forman,YES
3501,1983 (56th),Directing,Terms of Endearment,James L. Brooks,YES
3615,1982 (55th),Directing,Gandhi,Richard Attenborough,YES
3740,1981 (54th),Directing,Reds,Warren Beatty,YES
3857,1980 (53rd),Directing,Ordinary People,Robert Redford,YES
3972,1979 (52nd),Directing,Kramer vs. Kramer,Robert Benton,YES
4095,1978 (51st),Directing,The Deer Hunter,Michael Cimino,YES
4214,1977 (50th),Directing,Annie Hall,Woody Allen,YES
4342,1976 (49th),Directing,Rocky,John G. Avildsen,YES
4456,1975 (48th),Directing,One Flew over the Cuckoo's Nest,Milos Forman,YES
4572,1974 (47th),Directing,The Godfather Part II,Francis Ford Coppola,YES
4689,1973 (46th),Directing,The Sting,George Roy Hill,YES
4794,1972 (45th),Directing,Cabaret,Bob Fosse,YES
4910,1971 (44th),Directing,The French Connection,William Friedkin,YES
5021,1970 (43rd),Directing,Patton,Franklin J. Schaffner,YES
5132,1969 (42nd),Directing,Midnight Cowboy,John Schlesinger,YES
3,2010 (83rd),Actor -- Leading Role,Colin Firth,The King's Speech {'King George VI'},YES
135,2009 (82nd),Actor -- Leading Role,Jeff Bridges,Crazy Heart {'Bad Blake'},YES
277,2008 (81st),Actor -- Leading Role,Sean Penn,Milk {'Harvey Milk'},YES
394,2007 (80th),Actor -- Leading Role,Daniel Day-Lewis,There Will Be Blood {'Daniel Plainview'},YES
524,2006 (79th),Actor -- Leading Role,Forest Whitaker,The Last King of Scotland {'Idi Amin'},YES
650,2005 (78th),Actor -- Leading Role,Philip Seymour Hoffman,Capote {'Truman Capote'},YES
783,2004 (77th),Actor -- Leading Role,Jamie Foxx,Ray {'Ray Charles'},YES
912,2003 (76th),Actor -- Leading Role,Sean Penn,Mystic River {'Jimmy Markum'},YES
1030,2002 (75th),Actor -- Leading Role,Adrien Brody,The Pianist {'Wladyslaw Szpilman'},YES
1160,2001 (74th),Actor -- Leading Role,Denzel Washington,Training Day {'Alonzo'},YES
1295,2000 (73rd),Actor -- Leading Role,Russell Crowe,Gladiator {'Maximus Decimus Meridius'},YES
1426,1999 (72nd),Actor -- Leading Role,Kevin Spacey,American Beauty {'Lester Burnham'},YES
1549,1998 (71st),Actor -- Leading Role,Roberto Benigni,Life Is Beautiful {'Guido'},YES
1703,1997 (70th),Actor -- Leading Role,Jack Nicholson,As Good as It Gets {'Melvin Udall'},YES
1839,1996 (69th),Actor -- Leading Role,Geoffrey Rush,Shine {'David Helfgott'},YES
1967,1995 (68th),Actor -- Leading Role,Nicolas Cage,Leaving Las Vegas {'Ben Sanderson'},YES
2109,1994 (67th),Actor -- Leading Role,Tom Hanks,Forrest Gump {'Forrest Gump'},YES
2248,1993 (66th),Actor -- Leading Role,Tom Hanks,Philadelphia {'Andrew Beckett'},YES
2367,1992 (65th),Actor -- Leading Role,Al Pacino,Scent of a Woman {'Lt. Col. Frank Slade'},YES
2493,1991 (64th),Actor -- Leading Role,Anthony Hopkins,The Silence of the Lambs {'Dr. Hannibal Lecter'},YES
2620,1990 (63rd),Actor -- Leading Role,Jeremy Irons,Reversal of Fortune {'Claus Von Bulow'},YES
2747,1989 (62nd),Actor -- Leading Role,Daniel Day Lewis,My Left Foot {'Christy Brown'},YES
2861,1988 (61st),Actor -- Leading Role,Dustin Hoffman,Rain Man {'Raymond Babbitt'},YES
2983,1987 (60th),Actor -- Leading Role,Michael Douglas,Wall Street {'Gordon Gekko'},YES
3105,1986 (59th),Actor -- Leading Role,Paul Newman,The Color of Money {'Eddie Felson'},YES
3227,1985 (58th),Actor -- Leading Role,William Hurt,Kiss of the Spider Woman {'Luis Molina'},YES
3341,1984 (57th),Actor -- Leading Role,F. Murray Abraham,Amadeus {'Antonio Salieri'},YES
3465,1983 (56th),Actor -- Leading Role,Robert Duvall,Tender Mercies {'Mac Sledge'},YES
3579,1982 (55th),Actor -- Leading Role,Ben Kingsley,Gandhi {'Mahatma Gandhi'},YES
3702,1981 (54th),Actor -- Leading Role,Henry Fonda,"On Golden Pond {'Norman Thayer, Jr.'}",YES
3821,1980 (53rd),Actor -- Leading Role,Robert De Niro,Raging Bull {'Jake LaMotta'},YES
3934,1979 (52nd),Actor -- Leading Role,Dustin Hoffman,Kramer vs. Kramer {'Ted Kramer'},YES
4063,1978 (51st),Actor -- Leading Role,Jon Voight,Coming Home {'Luke Martin'},YES
4181,1977 (50th),Actor -- Leading Role,Richard Dreyfuss,The Goodbye Girl {'Elliot Garfield'},YES
4305,1976 (49th),Actor -- Leading Role,Peter Finch,Network {'Howard Beale'},YES
4418,1975 (48th),Actor -- Leading Role,Jack Nicholson,One Flew over the Cuckoo's Nest {'Randle Patrick McMurphy'},YES
4535,1974 (47th),Actor -- Leading Role,Art Carney,Harry and Tonto {'Harry'},YES
4651,1973 (46th),Actor -- Leading Role,Jack Lemmon,Save the Tiger {'Harry Stoner'},YES
4759,1972 (45th),Actor -- Leading Role,Marlon Brando,The Godfather {'Don Vito Corleone'},YES
4874,1971 (44th),Actor -- Leading Role,Gene Hackman,The French Connection {'Jimmy 'Popeye' Doyle'},YES
4987,1970 (43rd),Actor -- Leading Role,George C. Scott,"Patton {'General George S. Patton, Jr.'}",YES
5099,1969 (42nd),Actor -- Leading Role,John Wayne,True Grit {'Rooster Cogburn'},YES
5211,1968 (41st),Actor -- Leading Role,Cliff Robertson,Charly {'Charly Gordon'},YES
5330,1967 (40th),Actor -- Leading Role,Rod Steiger,In the Heat of the Night {'Police Chief Bill Gillespie'},YES
5444,1966 (39th),Actor -- Leading Role,Paul Scofield,A Man for All Seasons {'Sir Thomas More'},YES
5570,1965 (38th),Actor -- Leading Role,Lee Marvin,Cat Ballou {'Kid Shelleen/Tim Strawn'},YES
5697,1964 (37th),Actor -- Leading Role,Rex Harrison,My Fair Lady {'Professor Henry Higgins'},YES
5832,1963 (36th),Actor -- Leading Role,Sidney Poitier,Lilies of the Field {'Homer Smith'},YES
5957,1962 (35th),Actor -- Leading Role,Gregory Peck,To Kill a Mockingbird {'Atticus Finch'},YES
6079,1961 (34th),Actor -- Leading Role,Maximilian Schell,Judgment at Nuremberg {'Hans Rolfe'},YES
6207,1960 (33rd),Actor -- Leading Role,Burt Lancaster,Elmer Gantry {'Elmer Gantry'},YES
6334,1959 (32nd),Actor -- Leading Role,Charlton Heston,Ben-Hur {'Judah Ben-Hur'},YES
6461,1958 (31st),Actor -- Leading Role,David Niven,Separate Tables {'Major Pollock'},YES
6576,1957 (30th),Actor -- Leading Role,Alec Guinness,The Bridge on the River Kwai {'Colonel Nicholson'},YES
6680,1956 (29th),Actor -- Leading Role,Yul Brynner,The King and I {'The King'},YES
6814,1955 (28th),Actor -- Leading Role,Ernest Borgnine,Marty {'Marty Pilletti'},YES
6947,1954 (27th),Actor -- Leading Role,Marlon Brando,On the Waterfront {'Terry Malloy'},YES
7090,1953 (26th),Actor -- Leading Role,William Holden,Stalag 17 {'Sefton'},YES
7223,1952 (25th),Actor -- Leading Role,Gary Cooper,High Noon {'Will Kane'},YES
7360,1951 (24th),Actor -- Leading Role,Humphrey Bogart,The African Queen {'Charlie Allnut'},YES
7488,1950 (23rd),Actor -- Leading Role,José Ferrer,Cyrano de Bergerac {'Cyrano de Bergerac'},YES
7603,1949 (22nd),Actor -- Leading Role,Broderick Crawford,All the King's Men {'Willie Stark'},YES
7728,1948 (21st),Actor -- Leading Role,Laurence Olivier,Hamlet {'Hamlet'},YES
7840,1947 (20th),Actor -- Leading Role,Ronald Colman,A Double Life {'Anthony John'},YES
7954,1946 (19th),Actor -- Leading Role,Fredric March,The Best Years of Our Lives {'Al Stephenson'},YES
8071,1945 (18th),Actor -- Leading Role,Ray Milland,The Lost Weekend {'Don Birnam'},YES
8233,1944 (17th),Actor -- Leading Role,Bing Crosby,Going My Way {'Father O'Malley'},YES
8415,1943 (16th),Actor -- Leading Role,Paul Lukas,Watch on the Rhine {'Kurt Muller'},YES
8601,1942 (15th),Actor -- Leading Role,James Cagney,Yankee Doodle Dandy {'George M. Cohan'},YES
8791,1941 (14th),Actor -- Leading Role,Gary Cooper,Sergeant York {'Alvin C. York'},YES
8987,1940 (13th),Actor -- Leading Role,James Stewart,The Philadelphia Story {'Mike Connor'},YES
9145,1939 (12th),Actor -- Leading Role,Robert Donat,"Goodbye, Mr. Chips {'Mr. Chips'}",YES
