Batsman on strike,overs,runs scored,extras
T Kohli,0.1,0,0
T Kohli,0.2,0,0
T Kohli,0.3,0,0
T Kohli,0.4,0,1
T Kohli,0.5,0,0
T Kohli,0.6,6,0
T Kohli,0.7,0,0
YK Pathan,1.1,1,0
T Kohli,1.2,0,0
T Kohli,1.3,0,0
T Kohli,1.4,1,0
YK Pathan,1.5,4,0
YK Pathan,1.6,4,0
T Kohli,2.1,0,0
T Kohli,2.2,0,0
T Kohli,2.3,0,0
SR Watson,2.4,0,0
SR Watson,2.5,0,0
SR Watson,2.6,0,0
YK Pathan,3.1,1,0
SR Watson,3.2,4,0
SR Watson,3.3,4,0
SR Watson,3.4,1,0
YK Pathan,3.5,0,0
SR Watson,3.6,4,0
M Kaif,4.1,0,0
M Kaif,4.2,0,0
M Kaif,4.3,1,0
SR Watson,4.4,4,0
SR Watson,4.5,0,0
SR Watson,4.6,1,0
SR Watson,5.1,0,0
SR Watson,5.2,1,0
M Kaif,5.3,0,0
M Kaif,5.4,0,1
SR Watson,5.5,1,0
M Kaif,5.6,0,0
SR Watson,6.1,0,0
SR Watson,6.2,1,0
M Kaif,6.3,2,0
M Kaif,6.4,0,0
M Kaif,6.5,0,0
M Kaif,6.6,1,0
M Kaif,7.1,0,1
DS Lehmann,7.2,1,0
M Kaif,7.3,1,0
DS Lehmann,7.4,0,0
RA Jadeja,7.5,0,0
RA Jadeja,7.6,1,0
RA Jadeja,8.1,0,0
RA Jadeja,8.2,0,0
RA Jadeja,8.3,0,1
M Kaif,8.4,1,0
RA Jadeja,8.5,0,0
RA Jadeja,8.6,1,0
RA Jadeja,9.1,0,1
M Kaif,9.2,1,0
RA Jadeja,9.3,1,0
M Kaif,9.4,1,0
RA Jadeja,9.5,1,0
M Kaif,9.6,1,0
