user_id,year_school,floor,party,libcon,fav_music
1,GRT / Other,f282.2,TYPEa,TYPEf,TYPEd
2,Freshman,f282.4,TYPEd,TYPEf,TYPEa
3,Sophomore,f282.4,TYPEa,TYPEe,TYPEg
4,Sophomore,f282.1,TYPEa,TYPEf,TYPEa
5,Freshman,f282.3,TYPEc,TYPEe,TYPEk
6,Sophomore,f282.3,TYPEa,TYPEg,TYPEf
7,Junior,f282.1,TYPEa,TYPEf,TYPEa
8,Freshman,f282.4,TYPEa,TYPEd,TYPEk
9,Sophomore,f290.4,TYPEd,TYPEg,TYPEb
10,Sophomore,f290.4,TYPEa,TYPEf,TYPEi
11,Senior,f282.1,TYPEa,TYPEd,TYPEc
12,Senior,,TYPEc,TYPEe,TYPEb
13,Senior,f282.4,TYPEc,TYPEe,TYPEa
14,Sophomore,f282.3,TYPEc,TYPEd,TYPEj
15,GRT / Other,f290.2,TYPEd,TYPEd,TYPEa
16,Junior,f282.2,TYPEa,TYPEf,TYPEc
17,Freshman,f282.3,TYPEc,TYPEc,TYPEb
18,Junior,f290.3,TYPEa,TYPEf,TYPEa
19,Senior,f290.3,TYPEa,TYPEf,TYPEb
20,Sophomore,f282.3,TYPEa,TYPEf,TYPEf
21,Sophomore,f282.1,TYPEb,TYPEc,TYPEj
22,Senior,f290.3,TYPEb,TYPEa,TYPEc
23,Sophomore,f282.4,TYPEc,TYPEe,TYPEf
24,Senior,,TYPEa,TYPEf,TYPEd
25,Sophomore,f282.4,TYPEc,TYPEe,TYPEh
26,Junior,f290.3,TYPEa,TYPEg,TYPEd
27,Sophomore,f282.1,TYPEc,TYPEf,TYPEk
28,GRT / Other,f282.3,TYPEc,TYPEf,TYPEb
29,Senior,f290.3,TYPEc,TYPEd,TYPEg
30,Sophomore,f282.3,TYPEa,TYPEf,TYPEc
31,Junior,f282.1,TYPEa,TYPEe,TYPEb
32,Freshman,f290.3,TYPEa,TYPEd,TYPEf
33,Senior,f282.1,TYPEa,TYPEf,TYPEk
34,Senior,f282.4,TYPEc,TYPEe,TYPEb
35,Freshman,f290.4,TYPEa,TYPEe,TYPEk
36,Sophomore,f282.3,TYPEb,TYPEb,TYPEf
37,GRT / Other,f290.4,TYPEa,TYPEg,TYPEf
38,Freshman,f282.4,TYPEc,TYPEc,TYPEa
39,Senior,f282.3,TYPEa,TYPEe,TYPEf
40,Freshman,f290.3,TYPEa,TYPEf,TYPEa
41,Freshman,f282.4,TYPEa,TYPEf,TYPEa
42,Sophomore,f282.3,TYPEc,TYPEd,TYPEb
55,,,TYPEc,TYPEc,TYPEf
72,,,TYPEa,TYPEf,TYPEb
63,,,TYPEb,TYPEc,TYPEc
59,,,TYPEc,TYPEe,TYPEh
47,,,TYPEc,TYPEd,TYPEh
51,,,TYPEc,TYPEd,TYPEd
52,,,TYPEa,TYPEd,TYPEb
50,,,TYPEc,TYPEf,TYPEa
69,,,TYPEa,TYPEf,TYPEg
44,,,TYPEa,TYPEf,TYPEa
66,,,TYPEa,TYPEg,TYPEj
67,,,TYPEa,TYPEg,TYPEf
64,,,TYPEa,TYPEg,TYPEi
71,,,TYPEa,TYPEf,TYPEj
46,,,TYPEa,TYPEg,TYPEf
53,,,TYPEd,TYPEf,TYPEf
61,,,TYPEa,TYPEf,TYPEa
60,,,TYPEb,TYPEc,TYPEg
48,,,TYPEa,TYPEf,TYPEf
65,,,TYPEa,TYPEf,TYPEa
54,,,TYPEc,TYPEe,TYPEk
56,,,TYPEa,TYPEg,TYPEf
57,,,TYPEa,TYPEf,TYPEf
58,,,TYPEa,TYPEf,TYPEk
62,,,TYPEa,TYPEf,TYPEa
68,,,TYPEa,TYPEg,TYPEk
45,,,TYPEc,TYPEf,TYPEb
70,,,TYPEa,TYPEf,TYPEg
43,,,TYPEc,TYPEg,TYPEb
49,,,,TYPEf,TYPEb
74,,,TYPEa,TYPEf,TYPEb
0,,,,,TYPEf
73,,,,,TYPEb
75,,,,,TYPEb
76,,,,,TYPEh
77,,,,,TYPEa
78,,,,,TYPEh
79,,,,,TYPEf
80,,,,,TYPEb
81,,,,,TYPEb
82,,,,,TYPEb
