,user_id,year_school,floor,party,libcon,fav_music
0,1,GRT / Other,f282.2,TYPEa,TYPEf,TYPEd
1,2,Freshman,f282.4,TYPEd,TYPEf,TYPEa
2,3,Sophomore,f282.4,TYPEa,TYPEe,TYPEg
3,4,Sophomore,f282.1,TYPEa,TYPEf,TYPEa
4,5,Freshman,f282.3,TYPEc,TYPEe,TYPEk
5,6,Sophomore,f282.3,TYPEa,TYPEg,TYPEf
6,7,Junior,f282.1,TYPEa,TYPEf,TYPEa
7,8,Freshman,f282.4,TYPEa,TYPEd,TYPEk
8,9,Sophomore,f290.4,TYPEd,TYPEg,TYPEb
9,10,Sophomore,f290.4,TYPEa,TYPEf,TYPEi
10,11,Senior,f282.1,TYPEa,TYPEd,TYPEc
11,12,Senior,,TYPEc,TYPEe,TYPEb
12,13,Senior,f282.4,TYPEc,TYPEe,TYPEa
13,14,Sophomore,f282.3,TYPEc,TYPEd,TYPEj
14,15,GRT / Other,f290.2,TYPEd,TYPEd,TYPEa
15,16,Junior,f282.2,TYPEa,TYPEf,TYPEc
16,17,Freshman,f282.3,TYPEc,TYPEc,TYPEb
17,18,Junior,f290.3,TYPEa,TYPEf,TYPEa
18,19,Senior,f290.3,TYPEa,TYPEf,TYPEb
19,20,Sophomore,f282.3,TYPEa,TYPEf,TYPEf
20,21,Sophomore,f282.1,TYPEb,TYPEc,TYPEj
21,22,Senior,f290.3,TYPEb,TYPEa,TYPEc
22,23,Sophomore,f282.4,TYPEc,TYPEe,TYPEf
23,24,Senior,,TYPEa,TYPEf,TYPEd
24,25,Sophomore,f282.4,TYPEc,TYPEe,TYPEh
25,26,Junior,f290.3,TYPEa,TYPEg,TYPEd
26,27,Sophomore,f282.1,TYPEc,TYPEf,TYPEk
27,28,GRT / Other,f282.3,TYPEc,TYPEf,TYPEb
28,29,Senior,f290.3,TYPEc,TYPEd,TYPEg
29,30,Sophomore,f282.3,TYPEa,TYPEf,TYPEc
30,31,Junior,f282.1,TYPEa,TYPEe,TYPEb
31,32,Freshman,f290.3,TYPEa,TYPEd,TYPEf
32,33,Senior,f282.1,TYPEa,TYPEf,TYPEk
33,34,Senior,f282.4,TYPEc,TYPEe,TYPEb
34,35,Freshman,f290.4,TYPEa,TYPEe,TYPEk
35,36,Sophomore,f282.3,TYPEb,TYPEb,TYPEf
36,37,GRT / Other,f290.4,TYPEa,TYPEg,TYPEf
37,38,Freshman,f282.4,TYPEc,TYPEc,TYPEa
38,39,Senior,f282.3,TYPEa,TYPEe,TYPEf
39,40,Freshman,f290.3,TYPEa,TYPEf,TYPEa
40,41,Freshman,f282.4,TYPEa,TYPEf,TYPEa
41,42,Sophomore,f282.3,TYPEc,TYPEd,TYPEb
