city,a,b
Amandaburgh,23.072,15
Barajasview,28.754375,16
Carriemouth,27.25047619047619,21
Christopherfurt,22.585714285714285,21
Deanville,24.868,15
East Kaylahaven,22.619999999999997,20
Erikaland,22.52111111111111,9
Grahamburgh,22.935555555555553,18
Huntermouth,28.8445,20
Hurleymouth,26.385217391304348,23
Jerryton,26.126470588235293,17
Johnton,28.416875,16
Joneschester,20.874375,16
Justinberg,24.674347826086954,23
Karenberg,28.571538461538463,13
Karenside,29.10809523809524,21
Lake Danielberg,23.593529411764706,17
Lake Jonathanshire,22.166153846153847,13
Lake Scottton,21.268571428571427,14
Leahton,18.824117647058824,17
Liumouth,25.375238095238096,21
Loganberg,23.125,20
Martinezhaven,21.192777777777778,18
New Jacobville,27.265,12
New Kimberlyborough,20.631666666666668,24
New Paulton,25.767999999999997,15
New Paulville,19.243333333333332,15
North Barbara,25.208235294117646,17
North Jasmine,27.622499999999995,20
North Jason,20.51090909090909,22
North Madeline,23.145263157894735,19
North Markport,30.95,10
Pattyland,24.205882352941178,17
Port Angela,24.93875,16
Port David,25.385555555555555,18
Port Frank,28.731739130434786,23
Port Johnbury,24.442666666666664,15
Port Samanthamouth,27.5015,20
Raymondhaven,18.923333333333332,18
Reynoldsfurt,22.45846153846154,13
Richardfort,23.923750000000002,16
Roberthaven,22.351,20
Robertport,23.521333333333335,15
Rodneyfort,28.29090909090909,22
Rogerston,23.806875,16
Royland,20.73,24
Simpsonburgh,22.121111111111112,18
South Evanton,28.181428571428576,21
South Jack,22.034615384615385,13
South Karenland,28.3044,25
South Latoya,19.521875,16
South Michelleport,23.88095238095238,21
South Phillip,29.77208333333333,24
Valentineton,21.28,14
West Angela,25.677241379310345,29
West Anthony,24.422800000000002,25
West Christopherberg,26.24421052631579,19
West Ericstad,21.573333333333334,12
West Gabriel,20.9475,12
West Heidi,24.36318181818182,22
West Josephberg,21.294285714285714,21
West Patrickchester,29.086363636363636,11
West Robert,22.530434782608697,23
West Samuelburgh,23.450555555555557,18
Williamsstad,25.21421052631579,19
Williamsview,27.196923076923078,13
