,city,a,b
0,Amandaburgh,23.072,180
1,Barajasview,28.754375,416
2,Carriemouth,27.25047619047619,1092
3,Christopherfurt,22.585714285714285,861
4,Deanville,24.868,735
5,East Kaylahaven,22.62,1300
6,Erikaland,22.52111111111111,333
7,Grahamburgh,22.935555555555556,1098
8,Huntermouth,28.8445,740
9,Hurleymouth,26.385217391304344,828
10,Jerryton,26.126470588235296,1088
11,Johnton,28.416874999999997,432
12,Joneschester,20.874375000000004,624
13,Justinberg,24.67434782608695,897
14,Karenberg,28.571538461538463,286
15,Karenside,29.10809523809524,105
16,Lake Danielberg,23.593529411764706,323
17,Lake Jonathanshire,22.166153846153847,65
18,Lake Scottton,21.268571428571427,812
19,Leahton,18.824117647058824,289
20,Liumouth,25.375238095238096,1449
21,Loganberg,23.125000000000004,460
22,Martinezhaven,21.192777777777778,450
23,New Jacobville,27.265,600
24,New Kimberlyborough,20.631666666666664,792
25,New Paulton,25.768000000000004,660
26,New Paulville,19.243333333333332,660
27,North Barbara,25.208235294117646,306
28,North Jasmine,27.622499999999995,660
29,North Jason,20.510909090909095,132
30,North Madeline,23.145263157894735,361
31,North Markport,30.950000000000006,220
32,Pattyland,24.205882352941174,1003
33,Port Angela,24.93875,1072
34,Port David,25.385555555555555,126
35,Port Frank,28.73173913043479,529
36,Port Johnbury,24.44266666666667,45
37,Port Samanthamouth,27.501500000000004,1140
38,Raymondhaven,18.923333333333332,198
39,Reynoldsfurt,22.458461538461542,871
40,Richardfort,23.923750000000002,608
41,Roberthaven,22.351,940
42,Robertport,23.521333333333335,180
43,Rodneyfort,28.29090909090909,748
44,Rogerston,23.806875,400
45,Royland,20.73,1536
46,Simpsonburgh,22.121111111111112,378
47,South Evanton,28.18142857142857,231
48,South Jack,22.034615384615385,598
49,South Karenland,28.3044,100
50,South Latoya,19.521875000000005,160
51,South Michelleport,23.880952380952387,1512
52,South Phillip,29.772083333333327,912
53,Valentineton,21.28,630
54,West Angela,25.67724137931035,1392
55,West Anthony,24.4228,1750
56,West Christopherberg,26.24421052631579,608
57,West Ericstad,21.573333333333334,300
58,West Gabriel,20.9475,684
59,West Heidi,24.36318181818182,616
60,West Josephberg,21.294285714285714,945
61,West Patrickchester,29.086363636363636,275
62,West Robert,22.530434782608697,897
63,West Samuelburgh,23.450555555555557,1314
64,Williamsstad,25.214210526315792,1121
65,Williamsview,27.196923076923078,598
