City,Average Fare ($),Number of Rides,Number of Drivers,City Type
Alvarezhaven,25.430909090909093,22.0,21,Urban
Alyssaberg,21.716363636363635,22.0,67,Urban
Antoniomouth,20.294285714285714,14.0,21,Urban
Aprilchester,21.473636363636363,11.0,49,Urban
Arnoldview,25.4652,25.0,41,Urban
Carrollfort,25.919999999999998,23.0,55,Urban
Davidtown,23.142631578947366,19.0,73,Urban
Davistown,19.51904761904762,21.0,25,Urban
East Douglas,25.848235294117647,17.0,12,Urban
East Erin,24.895263157894735,19.0,43,Urban
Edwardsbury,26.46952380952381,21.0,11,Urban
Eriktown,24.910714285714285,14.0,15,Urban
Fosterside,18.764666666666667,15.0,69,Urban
Jacobfort,24.386800000000004,25.0,52,Urban
Kellershire,22.870714285714286,14.0,51,Urban
Kelseyland,20.487142857142857,21.0,63,Urban
Kimberlychester,23.91611111111111,18.0,13,Urban
Lake Jeffreyland,26.013125,16.0,15,Urban
Lake Jennaton,26.018125,16.0,65,Urban
Lake Sarashire,24.962,15.0,8,Urban
Lake Stevenbury,22.89625,16.0,63,Urban
Lisatown,24.05,16.0,47,Urban
Lisaville,24.293,20.0,66,Urban
Maryside,25.24866666666667,15.0,20,Urban
Mooreview,29.685333333333336,15.0,34,Urban
New Aaron,22.49,12.0,60,Urban
New Andreamouth,25.21764705882353,17.0,42,Urban
New Christine,23.59294117647059,17.0,22,Urban
New David,27.36571428571429,21.0,31,Urban
New Jeffrey,23.609473684210524,19.0,58,Urban
New Maryport,28.91923076923077,13.0,26,Urban
Nguyenbury,25.92736842105263,19.0,8,Urban
Pamelahaven,24.576666666666668,9.0,30,Urban
Pearsonberg,24.061818181818182,11.0,43,Urban
Port Johnstad,24.379583333333333,24.0,22,Urban
Port Josephfurt,22.860666666666667,15.0,28,Urban
Port Martinberg,22.276153846153843,13.0,44,Urban
Port Samantha,28.082105263157892,19.0,55,Urban
Prattfurt,22.739047619047618,21.0,43,Urban
Rodriguezburgh,15.926153846153845,13.0,52,Urban
Russellport,24.447142857142858,14.0,9,Urban
Sandymouth,23.847727272727273,22.0,11,Urban
Sarabury,23.592380952380953,21.0,46,Urban
Smithhaven,23.743809523809524,21.0,67,Urban
South Bryanstad,25.17625,16.0,73,Urban
South Josephville,26.528499999999998,20.0,4,Urban
South Louis,28.155416666666667,24.0,12,Urban
South Roy,23.702857142857145,14.0,35,Urban
Spencertown,25.721739130434784,23.0,68,Urban
Stewartview,21.593478260869563,23.0,49,Urban
Swansonbury,27.706666666666667,27.0,64,Urban
Torresshire,26.083684210526314,19.0,70,Urban
Travisville,26.04625,16.0,37,Urban
Vickimouth,23.719,10.0,13,Urban
West Alexis,21.450666666666667,15.0,47,Urban
West Brandy,23.404782608695655,23.0,12,Urban
West Brittanyton,24.258,15.0,9,Urban
West Dawnfurt,22.877916666666668,24.0,34,Urban
West Jefferyfurt,19.949375,16.0,65,Urban
West Oscar,24.395,20.0,11,Urban
West Peter,25.05333333333333,24.0,61,Urban
West Sydneyhaven,20.892307692307693,13.0,70,Urban
Williamshire,26.016,25.0,70,Urban
Wiseborough,23.55625,16.0,55,Urban
Yolandafurt,26.68357142857143,14.0,7,Urban
Zimmermanmouth,29.437894736842107,19.0,45,Urban
