,City,Average Fare ($),Number of Rides,Number of Drivers,City Type
0,Alvarezhaven,25.430909090909097,5707099781305.0,21,Urban
1,Alyssaberg,21.716363636363635,3749969388939.227,67,Urban
2,Antoniomouth,20.294285714285714,4400080524921.929,21,Urban
3,Aprilchester,21.473636363636363,4582680156893.091,49,Urban
4,Arnoldview,25.465200000000003,5050505879114.32,41,Urban
5,Carrollfort,25.920000000000005,4432925305610.305,55,Urban
6,Davidtown,23.14263157894737,5614692295515.842,73,Urban
7,Davistown,19.51904761904762,3981212997611.143,25,Urban
8,East Douglas,25.84823529411765,4975654639664.412,12,Urban
9,East Erin,24.895263157894735,5098623882649.368,43,Urban
10,Edwardsbury,26.46952380952381,5626796092711.096,11,Urban
11,Eriktown,24.91071428571429,3230531213377.857,15,Urban
12,Fosterside,18.764666666666663,5196906182569.866,69,Urban
13,Jacobfort,24.386800000000004,3948900880921.4,52,Urban
14,Kellershire,22.870714285714282,6936770816363.071,51,Urban
15,Kelseyland,20.487142857142857,4735524517222.571,63,Urban
16,Kimberlychester,23.91611111111111,6068312517276.5,13,Urban
17,Lake Jeffreyland,26.013125,5443247321738.0625,15,Urban
18,Lake Jennaton,26.018124999999998,5218247266223.625,65,Urban
19,Lake Sarashire,24.962,4090261536767.3335,8,Urban
20,Lake Stevenbury,22.89625,4403148361051.8125,63,Urban
21,Lisatown,24.05,5829819139380.75,47,Urban
22,Lisaville,24.293,5182889168923.95,66,Urban
23,Maryside,25.248666666666672,4808142702826.2,20,Urban
24,Mooreview,29.685333333333332,6161888578848.8,34,Urban
25,New Aaron,22.49,4625157002795.667,60,Urban
26,New Andreamouth,25.21764705882353,5333682798890.059,42,Urban
27,New Christine,23.592941176470585,3996703267290.1763,22,Urban
28,New David,27.36571428571429,5406592327296.81,31,Urban
29,New Jeffrey,23.609473684210524,4147601847608.8423,58,Urban
30,New Maryport,28.919230769230758,4066960917922.077,26,Urban
31,Nguyenbury,25.92736842105263,3897833694896.3687,8,Urban
32,Pamelahaven,24.576666666666664,4995462459714.223,30,Urban
33,Pearsonberg,24.061818181818182,3686756448103.0,43,Urban
34,Port Johnstad,24.37958333333334,5231248487014.667,22,Urban
35,Port Josephfurt,22.860666666666663,4681610016361.4,28,Urban
36,Port Martinberg,22.276153846153843,4162486667625.6924,44,Urban
37,Port Samantha,28.082105263157892,5761155895749.0,55,Urban
38,Prattfurt,22.73904761904762,4945658411863.667,43,Urban
39,Rodriguezburgh,15.926153846153843,6403066499199.77,52,Urban
40,Russellport,24.447142857142858,3632519641984.2144,9,Urban
41,Sandymouth,23.847727272727273,4423371414373.546,11,Urban
42,Sarabury,23.59238095238095,5802442632561.571,46,Urban
43,Smithhaven,23.743809523809524,6098953555777.523,67,Urban
44,South Bryanstad,25.17625,5332336156387.6875,73,Urban
45,South Josephville,26.5285,4419416410717.4,4,Urban
46,South Louis,28.155416666666667,5996985044656.417,12,Urban
47,South Roy,23.702857142857145,5009598105372.643,35,Urban
48,Spencertown,25.721739130434777,4934431018323.869,68,Urban
49,Stewartview,21.593478260869563,4917926038163.521,49,Urban
50,Swansonbury,27.706666666666663,4006987776696.407,64,Urban
51,Torresshire,26.083684210526318,4522721012118.368,70,Urban
52,Travisville,26.04625,2826490592868.9375,37,Urban
53,Vickimouth,23.719,3620100282729.6,13,Urban
54,West Alexis,21.45066666666667,4926545512040.8,47,Urban
55,West Brandy,23.404782608695655,4994939424519.087,12,Urban
56,West Brittanyton,24.258,5995155121225.267,9,Urban
57,West Dawnfurt,22.877916666666664,4990118286146.667,34,Urban
58,West Jefferyfurt,19.949375,2936588216858.5625,65,Urban
59,West Oscar,24.395000000000003,4878562678023.6,11,Urban
60,West Peter,25.053333333333338,4419022822052.458,61,Urban
61,West Sydneyhaven,20.89230769230769,4306979642687.846,70,Urban
62,Williamshire,26.015999999999995,4900581808917.56,70,Urban
63,Wiseborough,23.55625,5474382477719.5625,55,Urban
64,Yolandafurt,26.68357142857143,5125535089162.5,7,Urban
65,Zimmermanmouth,29.4378947368421,4373141037335.421,45,Urban
