,Gender,Purchase ID,SN,Age,Item ID,Item Name,Price
0,Male,0,78,20,108,58721609,4
1,Male,1,38,40,143,859696632,2
2,Male,2,48,24,92,226206874,5
3,Male,3,86,24,100,947929584,3
4,Male,4,90,23,131,132203229,1
5,Male,5,81,22,81,955415492,4
6,Male,6,73,36,169,267111123,2
7,Male,7,81,20,162,744019941,3
8,Male,8,33,22,21,830766806,1
9,Other / Non-Disclosed,9,48,35,136,750884342,4
10,Male,10,55,23,95,724824345,5
11,Male,11,60,23,162,744019941,3
12,Male,12,52,21,116,991439063,4
13,Male,13,73,22,4,152567713,2
14,Male,14,94,35,165,685827608,5
15,Female,15,64,21,98,518868787,3
16,Male,16,25,20,40,622173025,3
17,Male,17,81,21,161,99248079,2
18,Female,18,60,22,82,73523342,5
19,Male,19,71,30,89,438112022,5
20,Male,20,29,20,57,328948986,5
21,Male,21,40,20,168,87897696,1
22,Other / Non-Disclosed,22,38,38,24,447519760,4
23,Male,23,71,40,151,347637432,3
24,Male,24,43,30,141,450267576,3
25,Male,25,87,29,178,373085275,4
26,Male,26,84,11,71,797386557,2
27,Male,27,44,7,96,191240424,3
28,Male,28,59,21,119,351522768,4
29,Male,29,79,24,37,822429865,3
30,Male,30,61,19,140,585294313,3
31,Male,31,86,37,179,351753395,4
32,Male,32,27,10,133,413481376,4
33,Male,33,51,7,44,903529426,2
34,Male,34,73,19,160,427688508,4
35,Male,35,68,22,53,600868667,2
36,Male,36,85,30,76,584636828,3
37,Male,37,89,8,73,36565733,2
38,Female,38,52,10,116,991439063,4
39,Male,39,62,21,172,554040562,3
40,Male,40,45,20,143,859696632,2
41,Female,41,88,20,7,601090968,1
42,Male,42,39,18,72,739225162,4
43,Male,43,27,24,116,991439063,4
44,Male,44,53,24,9,997685855,3
45,Male,45,37,23,181,711602024,2
46,Male,46,92,27,102,983676883,3
47,Male,47,25,20,170,52469638,4
48,Male,48,96,20,138,329192965,5
49,Male,49,74,33,110,525016351,1
50,Male,50,52,21,22,826520930,2
51,Male,51,34,22,15,574671402,3
52,Male,52,32,20,60,835908400,4
53,Male,53,35,32,176,839659619,3
54,Male,54,83,10,25,878359439,4
55,Female,55,26,25,84,927034587,4
56,Male,56,92,12,108,58721609,4
57,Male,57,91,21,80,458895739,3
58,Male,58,83,23,152,789564432,2
59,Male,59,88,19,105,811211885,3
60,Male,60,52,34,44,903529426,2
61,Male,61,77,17,178,373085275,4
62,Male,62,40,30,178,373085275,4
63,Male,63,38,20,125,673206776,1
64,Male,64,87,20,56,287533090,3
65,Male,65,83,25,34,462627133,2
66,Female,66,67,21,6,298319719,4
67,Male,67,78,20,138,329192965,5
68,Male,68,95,15,27,142158779,3
69,Male,69,61,24,37,822429865,3
70,Male,70,94,29,143,859696632,2
71,Female,71,50,20,29,667176105,2
72,Female,72,69,25,178,373085275,4
73,Male,73,42,21,68,758889815,4
74,Male,74,93,25,89,438112022,5
75,Male,75,43,33,124,950882900,1
76,Female,76,26,13,88,945290596,4
77,Male,77,63,34,20,974652061,3
78,Male,78,51,7,50,773491350,5
79,Male,79,56,26,15,574671402,3
80,Male,80,29,23,165,685827608,5
81,Female,81,45,8,174,803087096,3
82,Other / Non-Disclosed,82,41,16,160,427688508,4
83,Male,83,42,25,12,555879766,1
84,Female,84,60,21,34,462627133,2
85,Female,85,85,32,33,232265856,1
86,Male,86,82,33,129,120444451,2
87,Male,87,32,20,151,347637432,3
88,Male,88,55,30,82,73523342,5
89,Male,89,26,22,17,518511827,2
90,Male,90,34,21,60,835908400,4
91,Male,91,44,20,59,53356484,4
92,Female,92,75,21,39,795881413,4
93,Male,93,43,22,88,945290596,4
94,Male,94,43,19,96,191240424,3
95,Male,95,39,18,164,75593083,2
96,Male,96,98,16,56,287533090,3
97,Male,97,76,20,134,463638111,4
98,Male,98,89,23,141,450267576,3
99,Male,99,60,23,101,226206874,4
100,Male,100,84,30,12,555879766,1
101,Male,101,59,21,174,803087096,3
102,Male,102,28,24,109,663651380,5
103,Male,103,77,24,7,601090968,1
104,Male,104,62,24,53,600868667,2
105,Male,105,88,27,10,785789836,2
106,Male,106,73,22,54,260025598,2
107,Male,107,73,36,99,341439248,2
108,Male,108,58,19,85,275162706,2
109,Male,109,39,22,33,232265856,1
110,Male,110,86,25,139,741828942,5
111,Other / Non-Disclosed,111,98,21,41,744646939,5
112,Female,112,81,21,7,601090968,1
113,Female,113,88,15,140,585294313,3
114,Male,114,66,22,150,448010002,3
115,Male,115,58,28,13,2015962,1
116,Male,116,30,21,139,741828942,5
117,Female,117,61,21,117,453011450,2
118,Male,118,84,30,78,920879661,4
119,Female,119,58,15,87,219401326,4
120,Male,120,93,25,24,447519760,4
121,Male,121,37,23,1,414428959,3
122,Male,122,27,16,174,803087096,3
123,Male,123,38,27,81,955415492,4
124,Male,124,53,21,150,448010002,3
125,Female,125,82,20,62,226383638,2
126,Male,126,77,24,75,242308425,2
127,Male,127,98,37,102,983676883,3
128,Male,128,74,21,58,142537056,4
129,Male,129,87,19,74,636053212,4
130,Male,130,31,25,120,748001860,3
131,Male,131,76,22,62,226383638,2
132,Male,132,55,23,145,687536116,5
133,Male,133,87,20,0,306810568,1
134,Female,134,88,15,2,697541220,2
135,Male,135,85,30,146,746016556,3
136,Male,136,45,22,105,811211885,3
137,Male,137,67,20,179,351753395,4
138,Male,138,90,33,136,750884342,4
139,Male,139,93,13,158,826138437,2
140,Female,140,50,20,8,216975499,4
141,Male,141,83,10,60,835908400,4
142,Female,142,33,35,175,838682992,4
143,Male,143,89,34,124,950882900,1
144,Male,144,43,18,22,826520930,2
145,Male,145,53,23,46,610029256,1
146,Male,146,39,18,133,413481376,4
147,Male,147,89,35,24,447519760,4
148,Male,148,95,20,148,341112214,4
149,Male,149,90,17,161,99248079,2
150,Male,150,31,17,0,306810568,1
151,Male,151,48,25,105,811211885,3
152,Male,152,87,20,110,525016351,1
153,Male,153,89,21,164,75593083,2
154,Male,154,61,20,59,53356484,4
155,Female,155,83,10,98,518868787,3
156,Male,156,71,40,117,453011450,2
157,Female,157,30,18,108,58721609,4
158,Male,158,27,31,111,42068344,5
159,Male,159,29,25,39,795881413,4
160,Male,160,73,24,44,903529426,2
161,Male,161,67,20,3,89851459,2
162,Male,162,40,17,181,711602024,2
163,Male,163,51,11,65,982009714,4
164,Male,164,38,22,96,191240424,3
165,Male,165,52,15,183,902347688,1
166,Female,166,68,22,30,680113175,2
167,Male,167,97,23,157,735796697,5
168,Male,168,81,20,85,275162706,2
169,Female,169,52,16,123,464437588,2
170,Male,170,58,22,75,242308425,2
171,Male,171,82,30,102,983676883,3
172,Male,172,79,21,65,982009714,4
173,Male,173,91,30,5,565353081,4
174,Male,174,63,30,144,141959555,2
175,Male,175,77,17,103,364719454,4
176,Male,176,73,17,157,735796697,5
177,Female,177,73,30,135,478198030,1
178,Female,178,94,20,57,328948986,5
179,Male,179,32,24,59,53356484,4
180,Male,180,74,24,95,724824345,5
181,Male,181,50,16,51,449920883,5
182,Male,182,79,38,154,890135075,4
183,Male,183,34,21,15,574671402,3
184,Male,184,51,28,32,467191434,1
185,Male,185,55,20,150,448010002,3
186,Male,186,79,30,77,205085349,4
187,Male,187,29,8,11,19401320,4
188,Male,188,62,18,88,945290596,4
189,Male,189,33,23,63,164214274,5
190,Male,190,44,27,69,80808704,2
191,Male,191,31,23,87,219401326,4
192,Male,192,84,25,98,518868787,3
193,Male,193,66,27,62,226383638,2
194,Male,194,28,20,73,36565733,2
195,Male,195,31,39,113,825913036,4
196,Female,196,90,35,9,997685855,3
197,Male,197,30,24,37,822429865,3
198,Male,198,44,20,153,444295861,4
199,Female,199,29,15,138,329192965,5
200,Male,200,25,23,114,149197197,4
201,Male,201,60,31,2,697541220,2
202,Male,202,51,37,82,73523342,5
203,Male,203,59,33,3,89851459,2
204,Male,204,85,16,0,306810568,1
205,Male,205,77,17,149,822114229,2
206,Female,206,41,20,78,920879661,4
207,Male,207,82,24,145,687536116,5
208,Male,208,65,37,105,811211885,3
209,Male,209,89,22,162,744019941,3
210,Female,210,85,32,136,750884342,4
211,Male,211,62,17,120,748001860,3
212,Male,212,32,23,159,405425383,3
213,Male,213,49,29,2,697541220,2
214,Male,214,44,23,137,804468808,3
215,Female,215,29,15,40,622173025,3
216,Male,216,90,21,136,750884342,4
217,Male,217,58,38,25,878359439,4
218,Male,218,39,23,76,584636828,3
219,Male,219,53,19,57,328948986,5
220,Male,220,85,40,46,610029256,1
221,Male,221,88,30,175,838682992,4
222,Female,222,73,22,178,373085275,4
223,Male,223,66,22,142,274247534,3
224,Male,224,93,25,157,735796697,5
225,Female,225,87,24,154,890135075,4
226,Male,226,85,25,54,260025598,2
227,Male,227,46,18,24,447519760,4
228,Other / Non-Disclosed,228,77,20,80,458895739,3
229,Male,229,27,17,72,739225162,4
230,Male,230,44,24,102,983676883,3
231,Male,231,62,26,139,741828942,5
232,Male,232,27,31,114,149197197,4
233,Female,233,92,19,66,491675963,4
234,Male,234,85,16,97,693661180,2
235,Male,235,89,24,163,124736099,3
236,Male,236,46,16,107,229439373,2
237,Other / Non-Disclosed,237,51,20,16,669513167,4
238,Male,238,54,21,42,868120105,2
239,Male,239,27,30,19,633068368,1
240,Male,240,29,16,82,73523342,5
241,Male,241,50,22,10,785789836,2
242,Other / Non-Disclosed,242,60,16,39,795881413,4
243,Male,243,58,24,83,913210267,3
244,Male,244,60,24,37,822429865,3
245,Male,245,78,20,85,275162706,2
