Rank,Code,Description_x,Description_y
1,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International","Atlanta, GA: Hartsfield-Jackson Atlanta International"
2,13930,"Chicago, IL: Chicago O'Hare International","Chicago, IL: Chicago O'Hare International"
3,11292,"Denver, CO: Denver International","Denver, CO: Denver International"
4,13487,"Minneapolis, MN: Minneapolis-St Paul International","Minneapolis, MN: Minneapolis-St Paul International"
5,12266,"Houston, TX: George Bush Intercontinental/Houston","Houston, TX: George Bush Intercontinental/Houston"
6,11298,"Dallas/Fort Worth, TX: Dallas/Fort Worth International","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
7,11433,"Detroit, MI: Detroit Metro Wayne County","Detroit, MI: Detroit Metro Wayne County"
8,14107,"Phoenix, AZ: Phoenix Sky Harbor International","Phoenix, AZ: Phoenix Sky Harbor International"
9,14869,"Salt Lake City, UT: Salt Lake City International","Salt Lake City, UT: Salt Lake City International"
10,11618,"Newark, NJ: Newark Liberty International","Newark, NJ: Newark Liberty International"
