,Code,Rank,Description_x,Description_y
0,10397,1,"Atlanta, GA: Hartsfield-Jackson Atlanta International","Atlanta, GA: Hartsfield-Jackson Atlanta International"
1,13930,2,"Chicago, IL: Chicago O'Hare International","Chicago, IL: Chicago O'Hare International"
2,11292,3,"Denver, CO: Denver International","Denver, CO: Denver International"
3,13487,4,"Minneapolis, MN: Minneapolis-St Paul International","Minneapolis, MN: Minneapolis-St Paul International"
4,12266,5,"Houston, TX: George Bush Intercontinental/Houston","Houston, TX: George Bush Intercontinental/Houston"
5,11298,6,"Dallas/Fort Worth, TX: Dallas/Fort Worth International","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
6,11433,7,"Detroit, MI: Detroit Metro Wayne County","Detroit, MI: Detroit Metro Wayne County"
7,14107,8,"Phoenix, AZ: Phoenix Sky Harbor International","Phoenix, AZ: Phoenix Sky Harbor International"
8,14869,9,"Salt Lake City, UT: Salt Lake City International","Salt Lake City, UT: Salt Lake City International"
9,11618,10,"Newark, NJ: Newark Liberty International","Newark, NJ: Newark Liberty International"
