hero,disadvantage,winrate,matches
Huskar,4.86,43.0,38998
Techies,2.75,44.45,56784
Oracle,2.48,46.72,26957
Monkey King,2.4,46.87,86554
Lifestealer,2.17,45.13,56574
Morphling,2.14,45.92,80408
Slark,2.04,43.91,130927
Troll Warlord,1.88,43.84,56359
Juggernaut,1.77,43.1,169562
Necrophos,1.62,41.87,67056
Meepo,1.59,47.05,18662
Venomancer,1.58,43.0,68817
Silencer,1.49,44.96,60460
Shadow Fiend,1.4,45.63,99698
Lone Druid,1.31,42.62,27863
Dazzle,1.26,44.8,54608
Underlord,1.19,39.15,51183
Enchantress,1.18,49.53,29980
Grimstroke,1.12,48.55,58972
Viper,1.11,45.21,65416
Sven,1.05,43.61,83769
Drow Ranger,0.99,45.08,76048
Doom,0.94,45.87,53724
Legion Commander,0.89,44.56,120760
Weaver,0.88,45.77,50587
Outworld Devourer,0.87,49.61,31992
Nature's Prophet,0.85,52.12,83322
Ursa,0.79,44.88,96256
Dragon Knight,0.75,46.24,49099
Abaddon,0.64,44.0,31526
Chen,0.58,51.61,7136
Snapfire,0.57,47.26,41969
Dark Willow,0.52,45.7,43339
Brewmaster,0.43,46.87,14763
Earth Spirit,0.4,48.27,35882
Omniknight,0.39,44.59,16635
Invoker,0.38,46.6,135071
Puck,0.37,49.37,48917
Alchemist,0.35,45.08,41743
Tinker,0.35,50.59,44754
Crystal Maiden,0.31,43.49,103045
Treant Protector,0.29,44.34,47880
Io,0.27,54.18,22730
Shadow Shaman,0.25,45.55,74682
Clinkz,0.2,41.94,67042
Ogre Magi,0.19,42.37,157617
Magnus,0.18,45.45,56287
Death Prophet,0.13,48.02,21622
Faceless Void,0.11,44.63,127006
Phoenix,0.07,44.86,48068
Bane,0.02,44.43,37986
Disruptor,-0.03,45.87,75188
Night Stalker,-0.1,43.57,45282
Gyrocopter,-0.11,50.28,29599
Storm Spirit,-0.15,48.41,72751
Sniper,-0.19,47.24,146251
Riki,-0.22,44.25,53843
Lich,-0.25,45.38,72893
Winter Wyvern,-0.25,48.89,44217
Techies,4.12,46.46,52101
Faceless Void,3.78,44.56,103751
Riki,2.19,45.23,46801
Morphling,1.87,49.54,57875
Nature's Prophet,1.86,54.34,65640
Drow Ranger,1.82,47.64,73123
Clinkz,1.75,43.87,53282
Zeus,1.69,42.44,88346
Bounty Hunter,1.67,47.67,53617
Bloodseeker,1.62,49.21,48292
Rubick,1.53,50.98,74605
Naga Siren,1.53,48.49,15906
Io,1.49,56.13,18378
Nyx Assassin,1.37,47.34,24006
Meepo,1.34,50.64,16061
Mars,1.27,51.7,33080
Shadow Shaman,1.26,47.92,58576
Void Spirit,1.25,48.92,42259
Legion Commander,1.21,47.65,98588
Dragon Knight,1.2,49.15,37900
Bristleback,1.19,49.17,69194
Luna,1.12,48.31,47691
Axe,1.11,47.43,74051
Medusa,1.07,48.94,45711
Earthshaker,0.96,49.15,80449
Shadow Fiend,0.96,49.44,65713
Lion,0.95,50.07,121458
Puck,0.94,52.06,29798
Silencer,0.91,48.92,45711
Ogre Magi,0.84,45.21,116092
Skywrath Mage,0.76,47.91,57245
Mirana,0.7,47.28,82237
Chen,0.6,54.84,5667
Troll Warlord,0.59,48.52,48117
Tiny,0.54,53.13,44687
Gyrocopter,0.52,52.92,23292
Anti-Mage,0.51,46.32,93670
Disruptor,0.5,48.73,48838
Crystal Maiden,0.48,46.75,79302
Phantom Lancer,0.48,51.47,40872
Underlord,0.45,43.48,33841
Necrophos,0.42,46.53,49855
Terrorblade,0.39,51.3,29536
Bane,0.34,47.53,27156
Monkey King,0.33,52.24,66117
Broodmother,0.28,48.35,13403
Tidehunter,0.28,47.93,37521
Wraith King,0.28,44.1,91598
Sand King,0.23,48.77,34704
Spirit Breaker,0.18,48.75,52265
Storm Spirit,0.12,51.47,48742
Vengeful Spirit,0.08,48.43,32969
Enigma,0.08,47.58,22733
Keeper of the Light,0.02,52.3,32554
Magnus,-0.17,49.21,36679
Slark,-0.18,49.4,97019
Slardar,-0.2,47.95,53549
Abaddon,-0.23,48.29,24690
Tinker,-0.24,54.43,35440
Alchemist,-0.26,49.06,34573
Phantom Assassin,-0.28,50.82,109987
Centaur Warrunner,-0.43,48.57,30915
Queen of Pain,-0.48,50.11,95832
Oracle,-0.49,53.06,19147
Pangolier,-0.5,52.54,36727
Clockwerk,-0.52,47.16,36106
Spectre,-0.54,43.58,70754
Doom,-0.55,50.74,33567
Night Stalker,-0.57,47.5,31618
Warlock,-0.61,47.94,36548
Winter Wyvern,-0.67,52.62,32503
Outworld Devourer,-0.68,54.43,18767
Earth Spirit,-0.7,52.7,24910
Tusk,-0.77,52.1,37892
Dazzle,-0.77,50.2,46012
Dark Willow,-0.79,50.4,31458
Elder Titan,-0.8,48.83,13200
Templar Assassin,-0.86,54.36,29638
Leshrac,-0.86,55.72,12533
Chaos Knight,-0.86,51.32,25438
Kunkka,-0.87,52.84,48271
Enchantress,-0.89,54.93,25332
Grimstroke,-0.95,53.9,42104
Witch Doctor,-0.97,50.15,88846
Ember Spirit,-0.98,54.23,50587
Jakiro,-1.02,48.48,69800
Invoker,-1.07,51.34,95009
Lina,-1.12,53.72,70385
Lycan,-1.13,56.45,8937
Beastmaster,-1.17,52.17,13062
Lich,-1.22,49.74,53634
Arc Warden,-1.29,48.03,17776
Sven,-1.3,49.33,62647
Pugna,-1.32,51.93,35331
Huskar,-1.34,52.66,34805
Snapfire,-1.35,52.53,30755
Timbersaw,-1.36,54.39,27989
Shadow Demon,-1.39,55.24,17499
Sniper,-1.44,51.71,126500
Venomancer,-1.44,49.44,51503
Windranger,-1.47,49.55,113513
Treant Protector,-1.53,49.58,34917
Omniknight,-1.54,49.95,14125
Ursa,-1.55,50.56,69619
Visage,-1.56,54.45,6465
Lifestealer,-1.6,52.24,46492
Dark Seer,-1.61,47.62,14989
Pudge,-1.62,51.13,166303
Undying,-1.87,49.54,34063
Juggernaut,-1.9,49.9,127623
Lone Druid,-2.02,49.42,22608
Ancient Apparition,-2.02,50.52,42936
Brewmaster,-2.16,52.88,10579
Viper,-2.18,51.82,60721
Phoenix,-2.19,50.53,37364
Razor,-2.37,53.13,24077
Death Prophet,-2.49,54.03,17974
Batrider,-2.67,57.53,15292
Io,3.77,56.9,50434
Nature's Prophet,2.95,56.28,182556
Chen,2.84,55.17,14097
Morphling,2.81,50.83,183909
Ursa,2.37,48.54,237748
Windranger,2.18,47.8,321116
Visage,2.16,53.03,17318
Broodmother,2.05,48.31,36329
Weaver,1.92,50.1,127623
Riki,1.89,47.07,134089
Lion,1.87,51.43,385671
Void Spirit,1.74,50.49,132776
Bane,1.68,47.84,80257
Skywrath Mage,1.66,48.82,173631
Storm Spirit,1.65,52.3,151439
Death Prophet,1.6,52.14,51567
Razor,1.55,51.3,66478
Winter Wyvern,1.54,52.76,95142
Legion Commander,1.49,49.23,295845
Templar Assassin,1.47,54.73,92745
Shadow Shaman,1.4,49.7,180698
Faceless Void,1.21,48.72,333023
Shadow Demon,1.2,55.32,52155
Slark,1.2,50.06,342371
Omniknight,1.19,48.94,40493
Anti-Mage,1.19,47.15,315852
Techies,1.17,51.58,163714
Meepo,1.15,53.24,40852
Lina,1.03,54.21,212586
Puck,0.95,54.7,94437
Doom,0.92,51.4,109456
Monkey King,0.87,54.3,191592
Night Stalker,0.79,47.67,100860
Abaddon,0.77,49.04,74393
Axe,0.76,49.62,223669
Enchantress,0.76,56.11,71784
Pudge,0.73,51.11,483829
Disruptor,0.72,50.5,169166
Rubick,0.7,54.34,248240
Tiny,0.68,55.81,146325
Sniper,0.68,51.96,347513
Oracle,0.63,54.44,55788
Spirit Breaker,0.63,50.25,152910
Mars,0.57,55.11,106351
Clinkz,0.56,46.37,158170
Invoker,0.55,52.0,303989
Drow Ranger,0.55,50.94,200605
Outworld Devourer,0.51,56.01,60688
Dazzle,0.51,50.95,129060
Mirana,0.51,49.23,253108
Necrophos,0.5,48.04,147980
Leshrac,0.47,57.3,35716
Lone Druid,0.46,48.58,65895
Dragon Knight,0.44,52.13,115785
Vengeful Spirit,0.42,49.97,96318
Silencer,0.39,51.56,141959
Timbersaw,0.39,55.3,86161
Ancient Apparition,0.38,50.01,129491
Snapfire,0.37,53.18,96950
Huskar,0.36,53.32,91493
Tusk,0.36,53.38,122062
Phantom Lancer,0.34,54.2,133956
Tinker,0.32,56.79,107528
Troll Warlord,0.29,50.82,143574
Luna,0.25,51.26,144742
Pugna,0.24,52.64,106897
Bounty Hunter,0.21,51.17,147107
Earth Spirit,0.19,54.33,76273
Phantom Assassin,0.16,52.74,357881
Beastmaster,0.07,53.24,38545
Lycan,0.04,58.28,24005
Medusa,-0.01,52.24,133931
Chaos Knight,-0.02,52.75,75364
Lich,-0.03,50.48,162283
Grimstroke,-0.05,55.73,133050
Witch Doctor,-0.06,51.33,263780
Queen of Pain,-0.18,51.96,301880
Batrider,-0.19,58.05,44982
Brewmaster,-0.25,53.24,32017
Magnus,-0.28,51.36,121007
Lifestealer,-0.32,53.34,150098
Keeper of the Light,-0.34,55.37,104026
Bristleback,-0.39,53.0,204676
Shadow Fiend,-0.43,53.09,205437
Terrorblade,-0.43,54.72,98421
Earthshaker,-0.47,52.78,267286
Warlock,-0.53,49.62,110421
Sven,-0.61,50.53,217277
Pangolier,-0.63,55.29,116368
Gyrocopter,-0.67,57.08,70409
Arc Warden,-0.69,49.06,56573
Ogre Magi,-0.75,48.22,371382
Ember Spirit,-0.76,56.9,169562
Dark Willow,-0.92,52.75,97385
Dark Seer,-1.0,48.56,44358
Enigma,-1.09,50.64,65845
Bloodseeker,-1.19,54.48,117156
Alchemist,-1.24,52.15,107700
Undying,-1.35,50.92,98000
Kunkka,-1.48,56.16,151208
Crystal Maiden,-1.54,50.51,241877
Clockwerk,-1.54,49.88,123928
Sand King,-1.62,52.8,111130
Naga Siren,-1.64,54.11,46335
Phoenix,-1.69,52.09,122710
Jakiro,-1.73,51.06,233311
Wraith King,-1.75,47.32,281812
Treant Protector,-1.83,51.89,110218
Nyx Assassin,-1.87,52.77,73184
Zeus,-1.87,47.1,280756
Slardar,-1.89,51.58,163454
Elder Titan,-2.0,52.09,38042
Tidehunter,-2.11,52.38,119021
Venomancer,-2.19,52.23,159001
Viper,-2.24,54.22,165554
Centaur Warrunner,-2.29,52.52,97094
Spectre,-2.63,46.58,276436
Underlord,-4.29,49.68,113883
Meepo,3.74,50.4,28967
Chen,3.73,54.09,10727
Visage,3.62,51.39,12297
Broodmother,3.48,47.04,24088
Lycan,3.0,54.69,16598
Io,2.89,57.42,35320
Naga Siren,2.53,49.59,30170
Phantom Lancer,1.86,52.39,80614
Shadow Demon,1.84,54.44,37540
Earth Spirit,1.68,52.64,55692
Techies,1.64,51.11,100856
Bounty Hunter,1.62,49.82,108720
Oracle,1.45,53.48,40882
Terrorblade,1.36,52.65,66105
Puck,1.35,54.14,69212
Outworld Devourer,1.3,54.95,43310
Templar Assassin,1.28,54.69,61620
Leshrac,1.25,56.13,25100
Beastmaster,1.24,51.97,27727
Tiny,1.22,55.0,105092
Bloodseeker,1.18,51.89,76613
Nature's Prophet,1.08,57.81,124865
Rubick,1.06,53.85,181611
Nyx Assassin,1.04,49.75,50449
Lone Druid,1.0,48.33,44671
Ember Spirit,1.0,54.8,120282
Void Spirit,0.95,51.42,91846
Batrider,0.89,56.5,31531
Dark Seer,0.78,47.02,31062
Axe,0.77,49.82,142471
Winter Wyvern,0.72,53.59,68821
Chaos Knight,0.72,51.93,45742
Tinker,0.71,56.04,72514
Huskar,0.71,52.86,57459
Omniknight,0.7,49.72,27122
Keeper of the Light,0.69,54.04,68614
Tidehunter,0.68,49.57,80495
Enchantress,0.66,55.86,46566
Disruptor,0.63,50.74,113491
Abaddon,0.62,49.46,49813
Kunkka,0.59,53.76,99092
Bane,0.56,49.33,57213
Underlord,0.53,45.04,78267
Mars,0.5,54.95,70624
Timbersaw,0.49,54.98,57477
Treant Protector,0.49,49.59,76514
Enigma,0.46,49.2,45319
Necrophos,0.44,48.46,103062
Snapfire,0.4,53.09,66630
Luna,0.38,51.22,91847
Dragon Knight,0.38,52.21,74877
Riki,0.37,49.06,85630
Venomancer,0.35,49.72,106792
Storm Spirit,0.34,53.6,99976
Legion Commander,0.33,50.59,188048
Elder Titan,0.3,49.75,26324
Tusk,0.28,53.39,83250
Zeus,0.27,45.49,196956
Pudge,0.27,51.64,327517
Vengeful Spirit,0.26,50.35,67903
Brewmaster,0.21,52.71,21762
Doom,0.19,52.24,77656
Arc Warden,0.19,48.46,36972
Silencer,0.17,51.86,93698
Shadow Fiend,0.17,52.47,139920
Lina,0.15,54.93,141733
Bristleback,0.14,52.42,126909
Earthshaker,0.13,52.2,190877
Warlock,0.11,49.22,75613
Razor,0.09,52.9,43278
Slardar,0.07,49.72,111729
Magnus,0.06,51.13,86272
Centaur Warrunner,0.05,50.16,65610
Gyrocopter,0.05,55.94,46267
Spirit Breaker,0.04,51.04,98832
Ogre Magi,0.0,47.89,256220
Dark Willow,-0.01,51.82,66347
Dazzle,-0.02,51.62,87432
Pugna,-0.03,52.92,74049
Alchemist,-0.03,50.96,68678
Morphling,-0.05,53.79,119962
Wraith King,-0.07,46.19,176141
Spectre,-0.07,44.74,166544
Pangolier,-0.07,54.55,83077
Sand King,-0.07,51.22,75811
Skywrath Mage,-0.08,50.85,111425
Crystal Maiden,-0.09,49.29,164130
Clinkz,-0.17,47.64,101290
Grimstroke,-0.18,55.65,93927
Queen of Pain,-0.18,52.04,218030
Shadow Shaman,-0.22,51.55,120935
Undying,-0.26,49.96,64071
Viper,-0.26,52.13,105486
Sven,-0.29,50.42,129199
Lifestealer,-0.3,53.21,86100
Invoker,-0.31,52.88,206605
Lion,-0.34,53.58,264292
Troll Warlord,-0.34,51.6,86330
Death Prophet,-0.38,54.22,33261
Ursa,-0.42,51.62,141874
Night Stalker,-0.44,49.34,68844
Phantom Assassin,-0.44,53.26,207868
Weaver,-0.47,52.72,82071
Anti-Mage,-0.48,49.24,191374
Jakiro,-0.48,49.99,160117
Faceless Void,-0.49,50.68,194941
Windranger,-0.52,50.75,221313
Phoenix,-0.53,50.97,79360
Drow Ranger,-0.56,52.18,121560
Juggernaut,-0.58,50.77,252515
Witch Doctor,-0.6,51.98,177800
Ancient Apparition,-0.61,51.25,87766
Lich,-0.66,51.31,110383
Sniper,-0.75,53.38,228169
Medusa,-0.84,53.13,85560
Monkey King,-0.85,55.85,118255
Slark,-0.92,52.3,201375
Clockwerk,-1.64,50.28,83329
Meepo,10.92,43.87,42478
Io,5.49,56.01,38108
Legion Commander,4.92,47.3,240844
Templar Assassin,4.33,52.92,80706
Troll Warlord,4.24,48.08,113692
Phantom Assassin,4.16,50.09,277249
Broodmother,4.1,47.59,28606
Lone Druid,4.06,46.25,52782
Slardar,3.96,46.91,119573
Chen,3.77,55.32,10918
Huskar,3.42,51.34,71284
Monkey King,2.96,53.33,145597
Kunkka,2.89,52.71,113647
Puck,2.76,54.0,77795
Axe,2.65,49.16,158639
Ursa,2.63,49.79,171636
Magnus,2.48,49.85,92760
Enchantress,2.39,55.32,48319
Riki,2.37,48.19,103025
Visage,2.16,54.26,13154
Drow Ranger,2.14,50.69,144615
Shadow Fiend,2.1,51.79,155652
Bloodseeker,2.09,52.32,104871
Nature's Prophet,2.08,58.19,139177
Lina,1.99,54.4,159004
Tiny,1.95,55.52,104936
Beastmaster,1.9,52.54,29276
Lycan,1.84,57.33,18495
Slark,1.72,50.99,247119
Earthshaker,1.71,51.88,188774
Terrorblade,1.7,53.71,84376
Clinkz,1.54,47.04,122308
Spirit Breaker,1.48,50.81,103279
Alchemist,1.4,50.73,81019
Shadow Demon,1.33,56.4,43669
Shadow Shaman,1.31,51.25,137458
Night Stalker,1.25,48.79,74842
Earth Spirit,1.22,54.43,57800
Outworld Devourer,1.2,56.33,43758
Bounty Hunter,1.17,51.55,107169
Disruptor,1.14,51.49,123949
Dazzle,1.09,51.75,99753
Luna,1.09,51.77,101427
Ember Spirit,1.07,56.06,128175
Sven,1.0,50.35,147777
Keeper of the Light,1.0,55.03,72795
Pangolier,0.93,54.83,89493
Centaur Warrunner,0.93,50.49,71049
Invoker,0.88,53.0,226451
Elder Titan,0.88,50.39,27166
Silencer,0.86,52.45,107073
Nyx Assassin,0.85,51.22,52214
Batrider,0.84,57.86,32056
Tusk,0.82,54.11,85751
Naga Siren,0.74,52.81,34748
Snapfire,0.72,54.05,70072
Lion,0.7,53.9,292543
Venomancer,0.7,50.61,109116
Crystal Maiden,0.61,49.83,183843
Grimstroke,0.6,56.19,103063
Oracle,0.56,55.79,45955
Rubick,0.56,55.67,188516
Leshrac,0.56,58.19,26101
Lifestealer,0.55,53.66,102428
Mirana,0.5,50.76,191756
Dragon Knight,0.32,53.58,83716
Jakiro,0.23,50.53,166899
Tidehunter,0.22,51.31,83020
Viper,0.13,53.01,114738
Timbersaw,0.08,56.72,61079
Witch Doctor,0.05,52.61,198816
Faceless Void,0.04,51.45,266750
Dark Willow,0.02,53.08,72108
Vengeful Spirit,-0.02,51.91,72913
Phantom Lancer,-0.03,55.73,94387
Doom,-0.04,53.81,85914
Warlock,-0.05,50.64,82424
Weaver,-0.13,53.68,93670
Windranger,-0.26,51.76,248079
Mars,-0.31,57.14,76619
Treant Protector,-0.31,51.69,78840
Gyrocopter,-0.31,57.65,48561
Chaos Knight,-0.42,54.46,52667
Phoenix,-0.56,52.28,80216
Void Spirit,-0.82,54.59,102235
Omniknight,-0.89,52.69,28768
Abaddon,-0.89,52.33,53078
Bane,-0.93,52.18,66861
Pudge,-0.95,54.05,341793
Techies,-1.1,55.28,115720
Enigma,-1.22,52.26,49750
Winter Wyvern,-1.33,57.11,76174
Ogre Magi,-1.38,50.44,279120
Queen of Pain,-1.39,54.53,235136
Juggernaut,-1.41,52.85,315852
Brewmaster,-1.43,55.8,23799
Lich,-1.44,53.41,126070
Razor,-1.68,56.08,46162
Sniper,-1.72,55.64,242379
Sand King,-1.77,54.31,82010
Morphling,-1.86,57.01,133305
Undying,-1.91,52.97,67635
Arc Warden,-2.04,52.1,40167
Skywrath Mage,-2.05,54.2,137013
Underlord,-2.08,49.01,81779
Dark Seer,-2.3,51.57,33460
Death Prophet,-2.38,57.7,37222
Ancient Apparition,-2.93,54.98,99230
Pugna,-2.99,57.34,77565
Bristleback,-3.02,56.97,140087
Necrophos,-3.23,53.53,108145
Clockwerk,-3.24,53.22,87888
Tinker,-3.41,61.7,75539
Storm Spirit,-3.92,59.25,89970
Wraith King,-4.18,51.49,207063
Spectre,-4.77,50.65,196707
Zeus,-5.45,52.43,207234
Medusa,-6.0,59.87,94292
