Drug,Timepoint,Mean of Tumor Volume (mm3),Mouse ID,SEM of Tumor Volume (mm3),Metastatic Sites
Capomulin,0,45.0,20,0,0
Capomulin,0,45.0,25,0,0
Capomulin,0,45.0,62,0,0
Capomulin,0,45.0,65,0,0
Capomulin,0,45.0,67,0,0
Capomulin,0,45.0,82,0,0
Capomulin,0,45.0,85,0,0
Capomulin,0,45.0,87,0,0
Capomulin,0,45.0,89,0,0
Capomulin,0,45.0,110,0,0
Capomulin,0,45.0,117,0,0
Capomulin,0,45.0,123,0,0
Capomulin,0,45.0,126,0,0
Capomulin,0,45.0,164,0,0
Capomulin,0,45.0,165,0,0
Capomulin,0,45.0,171,0,0
Capomulin,0,45.0,176,0,0
Capomulin,0,45.0,182,0,0
Capomulin,0,45.0,185,0,0
Capomulin,0,45.0,194,0,0
Capomulin,0,45.0,206,0,0
Capomulin,0,45.0,210,0,0
Capomulin,0,45.0,222,0,0
Capomulin,0,45.0,228,0,0
Capomulin,0,45.0,241,0,0
Capomulin,5,45.6513313083,20,0,0
Capomulin,5,41.5340970177,25,0,0
Capomulin,5,38.7964737318,62,0,0
Capomulin,5,45.839399762700005,65,0,0
Capomulin,5,44.0227524565,67,0,0
Capomulin,5,42.2616652999,82,0,0
Capomulin,5,45.5956852699,85,0,0
Capomulin,5,45.8389978688,87,0,0
Capomulin,5,45.6414378763,89,0,0
Capomulin,5,45.8511928534,110,0,0
Capomulin,5,45.4622432673,117,0,0
Capomulin,5,41.408591450100005,123,0,1
Capomulin,5,45.6223814897,126,0,1
Capomulin,5,45.5970635931,164,0,0
Capomulin,5,45.781745793,165,0,1
Capomulin,5,45.7371448423,171,0,0
Capomulin,5,43.8784956861,176,0,0
Capomulin,5,43.1809773956,182,0,0
Capomulin,5,45.8956472045,185,0,0
Capomulin,5,45.7608864728,194,0,1
Capomulin,5,45.7044343138,206,0,0
Capomulin,5,39.2021289432,210,0,0
Capomulin,5,45.893720323900006,222,0,0
Capomulin,5,45.4737530157,228,0,0
Capomulin,5,41.0199131497,241,0,0
Capomulin,10,43.2708519028,20,0,0
Capomulin,10,41.9992281339,25,0,0
Capomulin,10,35.6244026972,62,0,0
Capomulin,10,46.3040025385,65,0,1
Capomulin,10,44.5020424625,67,0,0
Capomulin,10,42.9920765835,82,0,0
Capomulin,10,43.4210141409,85,0,0
Capomulin,10,46.4253655078,87,0,0
Capomulin,10,46.4083612964,89,0,0
Capomulin,10,46.7590736347,110,0,0
Capomulin,10,46.1547372137,117,0,0
Capomulin,10,36.8253666359,123,0,1
Capomulin,10,46.4145177047,126,0,1
Capomulin,10,46.059608267,164,0,0
Capomulin,10,39.0054934991,165,0,2
Capomulin,10,46.5442920172,171,0,0
Capomulin,10,37.6149476787,176,0,0
Capomulin,10,43.6880262658,182,0,0
Capomulin,10,46.7490055228,185,0,0
Capomulin,10,46.5684171913,194,0,2
Capomulin,10,39.8482232849,206,0,0
Capomulin,10,39.9523466857,210,0,0
Capomulin,10,43.2319627458,222,0,0
Capomulin,10,39.1138906788,228,0,0
Capomulin,10,41.6300102575,241,0,1
Capomulin,15,43.7848934296,20,0,0
Capomulin,15,39.5248430117,25,0,0
Capomulin,15,32.6230025264,62,0,0
Capomulin,15,42.1723007862,65,0,1
Capomulin,15,45.21674299439999,67,0,0
Capomulin,15,43.5298757037,82,0,0
Capomulin,15,37.978777818000005,85,0,0
Capomulin,15,47.3229842798,87,0,0
Capomulin,15,43.3126541493,89,0,0
Capomulin,15,47.4885993127,110,0,1
Capomulin,15,44.0615213987,117,0,0
Capomulin,15,35.464611749,123,0,1
Capomulin,15,39.8044534147,126,0,1
Capomulin,15,46.539206172,164,0,0
Capomulin,15,35.4637576272,165,0,2
Capomulin,15,47.37342325109999,171,0,0
Capomulin,15,38.1772319541,176,0,0
Capomulin,15,41.8452353628,182,0,0
Capomulin,15,44.4409486086,185,0,0
Capomulin,15,47.212199924,194,0,2
Capomulin,15,40.4579887681,206,0,0
Capomulin,15,43.6884489266,222,0,0
Capomulin,15,39.7762500318,228,0,0
Capomulin,15,42.283665123,241,0,1
Capomulin,20,42.7315519999,20,0,0
Capomulin,20,37.950355464,25,0,0
Capomulin,20,30.4859848438,62,0,0
Capomulin,20,36.0155885796,165,0,2
Capomulin,20,40.3439481218,194,0,2
Ceftamin,0,45.0,4,0,0
Ceftamin,0,45.0,22,0,0
Ceftamin,0,45.0,23,0,0
Ceftamin,0,45.0,26,0,0
Ceftamin,0,45.0,59,0,0
Ceftamin,0,45.0,77,0,0
Ceftamin,0,45.0,90,0,0
Ceftamin,0,45.0,96,0,0
Ceftamin,0,45.0,108,0,0
Ceftamin,0,45.0,109,0,0
Ceftamin,0,45.0,111,0,0
Ceftamin,0,45.0,112,0,0
Ceftamin,0,45.0,115,0,0
Ceftamin,0,45.0,136,0,0
Ceftamin,0,45.0,152,0,0
Ceftamin,0,45.0,156,0,0
Ceftamin,0,45.0,186,0,0
Ceftamin,0,45.0,190,0,0
Ceftamin,0,45.0,191,0,0
Ceftamin,0,45.0,211,0,0
Ceftamin,0,45.0,225,0,0
Ceftamin,0,45.0,230,0,0
Ceftamin,0,45.0,233,0,0
Ceftamin,0,45.0,240,0,0
Ceftamin,0,45.0,242,0,0
Ceftamin,5,46.795257280600005,4,0,0
Ceftamin,5,46.2139773932,23,0,0
Ceftamin,5,48.0091904896,26,0,0
Ceftamin,5,46.3707975921,59,0,1
Ceftamin,5,47.78468180350001,77,0,0
Ceftamin,5,46.7992559073,90,0,1
Ceftamin,5,47.918997705600006,96,0,0
Ceftamin,5,46.2518720377,108,0,0
Ceftamin,5,45.6125391753,109,0,1
Ceftamin,5,45.8090888162,111,0,0
Ceftamin,5,46.2687990432,112,0,0
Ceftamin,5,46.1742262682,115,0,0
Ceftamin,5,45.5868036213,136,0,0
Ceftamin,5,46.82793417680001,152,0,0
Ceftamin,5,46.7768162388,156,0,1
Ceftamin,5,45.7920679201,190,0,0
Ceftamin,5,45.5460759472,211,0,1
