,Drug,Timepoint,Mean of Tumor Volume (mm3),Mouse ID,SEM of Tumor Volume (mm3),Metastatic Sites
0,Capomulin,0,45.0,25,25,25
1,Capomulin,5,44.26608641544399,25,25,25
2,Capomulin,10,43.08429058188399,25,25,25
3,Capomulin,15,42.06431734681251,24,24,24
4,Capomulin,20,37.50548580182,5,5,5
5,Ceftamin,0,45.0,25,25,25
6,Ceftamin,5,46.503050958038095,21,21,21
7,Ceftamin,10,48.285125215944994,20,20,20
8,Ceftamin,15,50.09405489174737,19,19,19
9,Infubinol,0,45.0,25,25,25
10,Infubinol,5,47.062001033088,25,25,25
11,Infubinol,10,49.40390857087143,21,21,21
12,Infubinol,15,51.29639655633334,21,21,21
13,Infubinol,20,53.154063090187506,8,8,8
14,Ketapril,0,45.0,25,25,25
15,Ketapril,5,47.38917452114348,23,23,23
16,Ketapril,10,49.582268974622714,22,22,22
17,Ketapril,15,52.39997374321578,19,19,19
18,Naftisol,0,45.0,25,25,25
19,Naftisol,5,46.796098098491306,23,23,23
20,Naftisol,10,48.69420960404762,21,21,21
21,Naftisol,15,50.9330182760762,21,21,21
22,Placebo,0,45.0,25,25,25
23,Placebo,5,47.125589188437495,24,24,24
24,Placebo,10,49.42332947868749,24,24,24
25,Placebo,15,51.35974169802999,20,20,20
26,Placebo,20,55.81136941392501,4,4,4
27,Propriva,0,45.0,26,26,26
28,Propriva,5,47.24896703293199,25,25,25
29,Propriva,10,49.10154084291304,23,23,23
30,Propriva,15,51.06731847400589,17,17,17
31,Propriva,20,52.38065747294,10,10,10
32,Ramicane,0,45.0,25,25,25
33,Ramicane,5,43.944859399664004,25,25,25
34,Ramicane,10,42.53195729572084,24,24,24
35,Ramicane,15,41.4950609236625,24,24,24
36,Stelasyn,0,45.0,26,26,26
37,Stelasyn,5,47.52745167414801,25,25,25
38,Stelasyn,10,49.46384376145653,23,23,23
39,Stelasyn,15,51.52940872284348,23,23,23
40,Zoniferol,0,45.0,25,25,25
41,Zoniferol,5,46.851818267095844,24,24,24
42,Zoniferol,10,48.689881434709086,22,22,22
43,Zoniferol,15,50.77905904982857,21,21,21
44,Zoniferol,20,51.826638253,1,1,1
