Drug,Timepoint,Mean of Metastatic Sites,Mouse ID,Tumor Volume (mm3),SEM of Metastatic Sites
Capomulin,0,0.0,20,45,45
Capomulin,5,0.0,20,45,45
Capomulin,10,0.0,20,43,43
Capomulin,15,0.0,20,43,43
Capomulin,20,0.0,20,42,42
Ketapril,0,0.0,61,45,45
Ketapril,0,0.0,64,45,45
Ketapril,5,0.0,64,48,48
Ketapril,10,0.0,64,53,53
Ketapril,15,0.0,64,58,58
Ketapril,0,0.0,9,45,45
Ketapril,5,0.0,9,47,47
Ketapril,10,0.0,9,49,49
Ketapril,0,0.0,40,45,45
Ketapril,5,1.0,40,45,45
Ketapril,10,1.0,40,46,46
Ketapril,15,1.0,40,48,48
Ketapril,0,0.0,74,45,45
Ketapril,5,0.0,74,49,49
Ketapril,10,1.0,74,51,51
Ketapril,15,1.0,74,56,56
Ketapril,0,0.0,149,45,45
Ketapril,5,1.0,149,49,49
Ketapril,10,2.0,149,51,51
Ketapril,15,2.0,149,53,53
Ketapril,0,0.0,134,45,45
Ketapril,5,0.0,134,45,45
Ketapril,10,1.0,134,48,48
Ketapril,15,1.0,134,51,51
Ketapril,0,0.0,154,45,45
Ketapril,5,0.0,154,47,47
Ketapril,10,0.0,154,51,51
Naftisol,0,0.0,63,45,45
Naftisol,5,0.0,63,46,46
Naftisol,10,0.0,63,48,48
Naftisol,15,1.0,63,49,49
Naftisol,0,0.0,243,45,45
Naftisol,5,1.0,243,46,46
Naftisol,0,0.0,24,45,45
Naftisol,5,0.0,24,47,47
Naftisol,10,0.0,24,48,48
Naftisol,15,0.0,24,51,51
Ketapril,0,0.0,236,45,45
Ketapril,5,0.0,236,46,46
Ketapril,10,1.0,236,48,48
Ketapril,15,2.0,236,50,50
Naftisol,0,0.0,234,45,45
Naftisol,5,0.0,234,46,46
Naftisol,10,0.0,234,50,50
Naftisol,15,0.0,234,51,51
Naftisol,0,0.0,141,45,45
Naftisol,5,0.0,141,46,46
Naftisol,10,0.0,141,48,48
Naftisol,15,1.0,141,50,50
Naftisol,0,0.0,249,45,45
Naftisol,5,0.0,249,49,49
Naftisol,10,1.0,249,52,52
Naftisol,15,2.0,249,54,54
Naftisol,0,0.0,205,45,45
Naftisol,5,0.0,205,47,47
Naftisol,10,0.0,205,48,48
Naftisol,15,1.0,205,50,50
Naftisol,0,0.0,166,45,45
Naftisol,5,1.0,166,47,47
Naftisol,10,1.0,166,48,48
Naftisol,15,1.0,166,51,51
Naftisol,0,0.0,127,45,45
Naftisol,5,0.0,127,46,46
Naftisol,10,0.0,127,47,47
Naftisol,15,0.0,127,48,48
Naftisol,0,0.0,113,45,45
Naftisol,5,0.0,113,45,45
Naftisol,10,1.0,113,47,47
Naftisol,15,1.0,113,49,49
Naftisol,0,0.0,227,45,45
Naftisol,0,0.0,114,45,45
Naftisol,5,1.0,114,48,48
Naftisol,10,2.0,114,50,50
Naftisol,15,2.0,114,54,54
Naftisol,0,0.0,118,45,45
Naftisol,5,0.0,118,46,46
Naftisol,10,0.0,118,47,47
Naftisol,15,1.0,118,48,48
Naftisol,0,0.0,198,45,45
Naftisol,5,1.0,198,46,46
Naftisol,10,2.0,198,47,47
Naftisol,15,2.0,198,50,50
Naftisol,0,0.0,17,45,45
Naftisol,5,0.0,17,45,45
Naftisol,10,0.0,17,49,49
Naftisol,15,0.0,17,51,51
Naftisol,0,0.0,239,45,45
Naftisol,5,1.0,239,48,48
Naftisol,0,0.0,188,45,45
Naftisol,5,0.0,188,46,46
Naftisol,10,0.0,188,50,50
Naftisol,15,0.0,188,55,55
Ketapril,0,0.0,97,45,45
Ketapril,5,1.0,97,46,46
Ketapril,10,1.0,97,50,50
Ketapril,15,1.0,97,54,54
Ketapril,0,0.0,215,45,45
Ketapril,5,0.0,215,48,48
Ketapril,10,0.0,215,49,49
Ketapril,15,0.0,215,52,52
Infubinol,0,0.0,32,45,45
Infubinol,5,0.0,32,49,49
Infubinol,0,0.0,28,45,45
Infubinol,5,0.0,28,48,48
Infubinol,10,0.0,28,49,49
Infubinol,15,0.0,28,51,51
Infubinol,0,0.0,199,45,45
Infubinol,5,0.0,199,46,46
Infubinol,0,0.0,12,45,45
Infubinol,5,1.0,12,46,46
Infubinol,10,1.0,12,49,49
