,Drug,Timepoint,Mean of Metastatic Sites,Mouse ID,Tumor Volume (mm3),SEM of Metastatic Sites
0,Capomulin,0,0.0,25,25,25
1,Capomulin,5,0.16,25,25,25
2,Capomulin,10,0.32,25,25,25
3,Capomulin,15,0.375,24,24,24
4,Capomulin,20,0.8,5,5,5
5,Ceftamin,0,0.0,25,25,25
6,Ceftamin,5,0.38095238095238093,21,21,21
7,Ceftamin,10,0.6,20,20,20
8,Ceftamin,15,0.7894736842105263,19,19,19
9,Infubinol,0,0.0,25,25,25
10,Infubinol,5,0.28,25,25,25
11,Infubinol,10,0.6666666666666666,21,21,21
12,Infubinol,15,0.9047619047619048,21,21,21
13,Infubinol,20,1.625,8,8,8
14,Ketapril,0,0.0,25,25,25
15,Ketapril,5,0.30434782608695654,23,23,23
16,Ketapril,10,0.5909090909090909,22,22,22
17,Ketapril,15,0.8421052631578947,19,19,19
18,Naftisol,0,0.0,25,25,25
19,Naftisol,5,0.2608695652173913,23,23,23
20,Naftisol,10,0.5238095238095238,21,21,21
21,Naftisol,15,0.8571428571428571,21,21,21
22,Placebo,0,0.0,25,25,25
23,Placebo,5,0.375,24,24,24
24,Placebo,10,0.8333333333333334,24,24,24
25,Placebo,15,1.25,20,20,20
26,Placebo,20,2.0,4,4,4
27,Propriva,0,0.0,26,26,26
28,Propriva,5,0.32,25,25,25
29,Propriva,10,0.5652173913043478,23,23,23
30,Propriva,15,0.7647058823529411,17,17,17
31,Propriva,20,0.9,10,10,10
32,Ramicane,0,0.0,25,25,25
33,Ramicane,5,0.12,25,25,25
34,Ramicane,10,0.25,24,24,24
35,Ramicane,15,0.3333333333333333,24,24,24
36,Stelasyn,0,0.0,26,26,26
37,Stelasyn,5,0.24,25,25,25
38,Stelasyn,10,0.4782608695652174,23,23,23
39,Stelasyn,15,0.782608695652174,23,23,23
40,Zoniferol,0,0.0,25,25,25
41,Zoniferol,5,0.16666666666666666,24,24,24
42,Zoniferol,10,0.5,22,22,22
43,Zoniferol,15,0.8095238095238095,21,21,21
44,Zoniferol,20,2.0,1,1,1
