Institution,(Fall 2011),(Fall 2012),(Fall 2013),(Fall 2014),persist 2014,persist 2015,persist 2016,Cohort 2014,Cohort 2015,Cohort 2016
Angelo State University,,,,,798,889,949,1285,1336,1452
Lamar University,,,,,828,963,931,1411,1505,1457
Midwestern State University,,,,,573,571,477,834,818,728
Prairie View A&M University,0.669,0.638,0.666,0.662,1060,1118,1296,1602,1614,1834
Sam Houston State University,,,,,1940,1917,2036,2449,2514,2667
Stephen F. Austin State University,,,,,1540,1603,1671,2164,2243,2328
Sul Ross State University,,,,,194,188,202,328,313,349
Tarleton State University,0.673,0.676,0.683,0.659,1326,1295,1372,2013,1831,2043
Texas A&M International University,0.722,0.741,0.755,0.762,739,735,831,970,963,1096
Texas A&M University,0.917,0.914,0.904,0.896,8050,7735,7790,8989,8493,8513
Texas A&M University at Galveston,0.442,0.546,0.581,0.589,294,303,236,499,535,439
Texas A&M University-Central Texas,0.0,0.0,0.0,0.0,,,,,,
Texas A&M University-Commerce,,,,,712,648,701,991,1006,1011
Texas A&M University-Corpus Christi,,,,,1527,1300,1336,2511,2231,2384
Texas A&M University-Kingsville,,,,,748,900,815,1088,1263,1200
Texas A&M University-San Antonio,,,,,,,336,,,482
Texas A&M University-Texarkana,,,,,80,57,104,165,135,202
Texas Southern University,,,,,649,719,711,1446,1417,1246
Texas State University,,,,,4093,4267,4331,5234,5536,5573
Texas Tech University,,,,,4448,4248,3939,5518,5084,4687
Texas Woman's University,,,,,873,920,1002,1152,1163,1292
The University of Texas Pan American,0.753,0.75,0.761,0.0,,,,,,
The University of Texas Rio Grande Valley,,,,,,2994,2851,,3774,3616
The University of Texas at Arlington,0.713,0.702,0.68,0.702,1884,1874,2044,2684,2712,2898
The University of Texas at Austin,0.926,0.935,0.93,0.935,6577,7038,8081,7031,7562,8566
The University of Texas at Brownsville,0.555,0.651,0.711,0.0,,,,833,,
The University of Texas at Dallas,0.848,0.88,0.864,0.826,2049,2300,2716,2480,2656,3137
The University of Texas at El Paso,0.717,0.699,0.676,0.718,2088,2190,2221,2908,2950,3004
The University of Texas at San Antonio,0.622,0.643,0.634,0.676,3344,3461,3168,4948,4898,4306
The University of Texas at Tyler,0.627,0.664,0.606,0.618,419,437,507,678,767,815
The University of Texas of the Permian Basin,0.648,0.663,0.691,0.678,278,327,295,410,478,452
The University of Texas-Pan American,,,,,,,,3155,,
University of Houston,0.831,0.846,0.85,0.863,3373,3393,3595,3909,4010,4263
University of Houston-Clear Lake,0.833,0.5,0.0,0.698,141,173,166,202,228,227
University of Houston-Downtown,0.667,0.625,0.657,0.658,601,521,593,914,790,829
University of Houston-Victoria,0.518,0.474,0.534,0.607,202,176,175,333,285,313
University of North Texas,,,,,3168,3401,3404,4085,4326,4454
University of North Texas at Dallas,,,,,77,138,197,115,215,257
West Texas A&M University,,,,,835,894,830,1323,1382,1304
