,Institution,(Fall 2011),(Fall 2012),(Fall 2013),(Fall 2014),persist 2014,persist 2015,persist 2016,Cohort 2014,Cohort 2015,Cohort 2016
0,The University of Texas at Arlington,0.713,0.702,0.68,0.702,1884,1874,2044,2684,2712,2898
1,The University of Texas at Austin,0.926,0.935,0.93,0.935,6577,7038,8081,7031,7562,8566
2,The University of Texas at Dallas,0.848,0.88,0.864,0.826,2049,2300,2716,2480,2656,3137
3,The University of Texas at El Paso,0.717,0.699,0.676,0.718,2088,2190,2221,2908,2950,3004
4,The University of Texas at San Antonio,0.622,0.643,0.634,0.676,3344,3461,3168,4948,4898,4306
5,The University of Texas at Tyler,0.627,0.664,0.606,0.618,419,437,507,678,767,815
6,The University of Texas of the Permian Basin,0.648,0.663,0.691,0.678,278,327,295,410,478,452
7,University of Houston,0.831,0.846,0.85,0.863,3373,3393,3595,3909,4010,4263
8,University of Houston-Clear Lake,0.833,0.5,0.0,0.698,141,173,166,202,228,227
9,University of Houston-Downtown,0.667,0.625,0.657,0.658,601,521,593,914,790,829
10,University of Houston-Victoria,0.518,0.474,0.534,0.607,202,176,175,333,285,313
11,Prairie View A&M University,0.669,0.638,0.666,0.662,1060,1118,1296,1602,1614,1834
12,Tarleton State University,0.673,0.676,0.683,0.659,1326,1295,1372,2013,1831,2043
13,Texas A&M International University,0.722,0.741,0.755,0.762,739,735,831,970,963,1096
14,Texas A&M University,0.917,0.914,0.904,0.896,8050,7735,7790,8989,8493,8513
15,Texas A&M University at Galveston,0.442,0.546,0.581,0.589,294,303,236,499,535,439
