city,driver_count,type,average_fare
Kelseyland,63,Urban,20.487142857142857
Nguyenbury,8,Urban,25.92736842105263
East Douglas,12,Urban,25.848235294117647
West Dawnfurt,34,Urban,22.877916666666668
Rodriguezburgh,52,Urban,15.926153846153845
South Josephville,4,Urban,26.528499999999998
West Sydneyhaven,70,Urban,20.892307692307693
Travisville,37,Urban,26.04625
Torresshire,70,Urban,26.083684210526314
Lisaville,66,Urban,24.293
Mooreview,34,Urban,29.685333333333336
Smithhaven,67,Urban,23.743809523809524
Carrollfort,55,Urban,25.919999999999998
Port Josephfurt,28,Urban,22.860666666666667
Lake Jeffreyland,15,Urban,26.013125
South Louis,12,Urban,28.155416666666667
West Peter,61,Urban,25.05333333333333
Kimberlychester,13,Urban,23.91611111111111
Alyssaberg,67,Urban,21.716363636363635
Sarabury,46,Urban,23.592380952380953
Yolandafurt,7,Urban,26.68357142857143
Edwardsbury,11,Urban,26.46952380952381
New Andreamouth,42,Urban,25.21764705882353
New David,31,Urban,27.36571428571429
Arnoldview,41,Urban,25.4652
Williamshire,70,Urban,26.016
Lisatown,47,Urban,24.05
New Aaron,60,Urban,22.49
Swansonbury,64,Urban,27.706666666666667
Fosterside,69,Urban,18.764666666666667
New Jeffrey,58,Urban,23.609473684210524
West Brittanyton,9,Urban,24.258
Wiseborough,55,Urban,23.55625
New Maryport,26,Urban,28.91923076923077
Lake Stevenbury,63,Urban,22.89625
New Christine,22,Urban,23.59294117647059
Spencertown,68,Urban,25.721739130434784
Russellport,9,Urban,24.447142857142858
Maryside,20,Urban,25.24866666666667
West Alexis,47,Urban,21.450666666666667
Port Samantha,55,Urban,28.082105263157892
Eriktown,15,Urban,24.910714285714285
Pamelahaven,30,Urban,24.576666666666668
Aprilchester,49,Urban,21.473636363636363
South Roy,35,Urban,23.702857142857145
Pearsonberg,43,Urban,24.061818181818182
Sandymouth,11,Urban,23.847727272727273
East Erin,43,Urban,24.895263157894735
Port Johnstad,22,Urban,24.379583333333333
Vickimouth,13,Urban,23.719
Jacobfort,52,Urban,24.386800000000004
South Bryanstad,73,Urban,25.17625
West Oscar,11,Urban,24.395
Antoniomouth,21,Urban,20.294285714285714
Stewartview,49,Urban,21.593478260869563
West Brandy,12,Urban,23.404782608695655
Davidtown,73,Urban,23.142631578947366
Kellershire,51,Urban,22.870714285714286
Zimmermanmouth,45,Urban,29.437894736842107
Port Martinberg,44,Urban,22.276153846153843
Lake Sarashire,8,Urban,24.962
Prattfurt,43,Urban,22.739047619047618
Davistown,25,Urban,19.51904761904762
West Jefferyfurt,65,Urban,19.949375
Lake Jennaton,65,Urban,26.018125
Alvarezhaven,21,Urban,25.430909090909093
