,city,driver_count,type,average_fare
0,Kelseyland,63,Urban,20.487142857142857
1,Nguyenbury,8,Urban,25.92736842105263
2,East Douglas,12,Urban,25.84823529411765
3,West Dawnfurt,34,Urban,22.877916666666664
4,Rodriguezburgh,52,Urban,15.926153846153843
5,South Josephville,4,Urban,26.5285
6,West Sydneyhaven,70,Urban,20.89230769230769
7,Travisville,37,Urban,26.04625
8,Torresshire,70,Urban,26.083684210526318
9,Lisaville,66,Urban,24.293
10,Mooreview,34,Urban,29.685333333333332
11,Smithhaven,67,Urban,23.743809523809524
12,Carrollfort,55,Urban,25.920000000000005
13,Port Josephfurt,28,Urban,22.860666666666663
14,Lake Jeffreyland,15,Urban,26.013125
15,South Louis,12,Urban,28.155416666666667
16,West Peter,61,Urban,25.053333333333338
17,Kimberlychester,13,Urban,23.91611111111111
18,Alyssaberg,67,Urban,21.716363636363635
19,Sarabury,46,Urban,23.59238095238095
20,Yolandafurt,7,Urban,26.68357142857143
21,Edwardsbury,11,Urban,26.46952380952381
22,New Andreamouth,42,Urban,25.21764705882353
23,New David,31,Urban,27.36571428571429
24,Arnoldview,41,Urban,25.465200000000003
25,Williamshire,70,Urban,26.015999999999995
26,Lisatown,47,Urban,24.05
27,New Aaron,60,Urban,22.49
28,Swansonbury,64,Urban,27.706666666666663
29,Fosterside,69,Urban,18.764666666666663
30,New Jeffrey,58,Urban,23.609473684210524
31,West Brittanyton,9,Urban,24.258
32,Wiseborough,55,Urban,23.55625
33,New Maryport,26,Urban,28.919230769230758
34,Lake Stevenbury,63,Urban,22.89625
35,New Christine,22,Urban,23.592941176470585
36,Spencertown,68,Urban,25.721739130434777
37,Russellport,9,Urban,24.447142857142858
38,Maryside,20,Urban,25.248666666666672
39,West Alexis,47,Urban,21.45066666666667
40,Port Samantha,55,Urban,28.082105263157892
41,Eriktown,15,Urban,24.91071428571429
42,Pamelahaven,30,Urban,24.576666666666664
43,Aprilchester,49,Urban,21.473636363636363
44,South Roy,35,Urban,23.702857142857145
45,Pearsonberg,43,Urban,24.061818181818182
46,Sandymouth,11,Urban,23.847727272727273
47,East Erin,43,Urban,24.895263157894735
48,Port Johnstad,22,Urban,24.37958333333334
49,Vickimouth,13,Urban,23.719
50,Jacobfort,52,Urban,24.386800000000004
51,South Bryanstad,73,Urban,25.17625
52,West Oscar,11,Urban,24.395000000000003
53,Antoniomouth,21,Urban,20.294285714285714
54,Stewartview,49,Urban,21.593478260869563
55,West Brandy,12,Urban,23.404782608695655
56,Davidtown,73,Urban,23.14263157894737
57,Kellershire,51,Urban,22.870714285714282
58,Zimmermanmouth,45,Urban,29.4378947368421
59,Port Martinberg,44,Urban,22.276153846153843
60,Lake Sarashire,8,Urban,24.962
61,Prattfurt,43,Urban,22.73904761904762
62,Davistown,25,Urban,19.51904761904762
63,West Jefferyfurt,65,Urban,19.949375
64,Lake Jennaton,65,Urban,26.018124999999998
65,Alvarezhaven,21,Urban,25.430909090909097
