Split,SubjectId,Subject,PA,AB,H,TB,BB,SF,HBP
vs LHP,112526,112526,1,1,0,0,0,0,0
vs RHP,112526,112526,6,5,0,0,0,0,0
vs LHP,120074,120074,14,12,6,10,2,0,0
vs RHP,120074,120074,55,47,13,27,6,1,1
vs LHP,134181,134181,5,5,2,3,0,0,0
vs RHP,134181,134181,44,40,13,23,3,0,1
vs LHP,136860,136860,1,1,0,0,0,0,0
vs RHP,136860,136860,46,44,13,22,2,0,0
vs LHP,150029,150029,8,7,1,4,1,0,0
vs RHP,150029,150029,44,38,9,11,5,0,1
vs RHP,285064,285064,6,6,1,1,0,0,0
vs LHP,400085,400085,4,4,2,2,0,0,0
vs RHP,400085,400085,20,20,1,1,0,0,0
vs LHP,400121,400121,11,7,2,5,4,0,0
vs RHP,400121,400121,38,33,8,14,3,0,2
vs LHP,400284,400284,15,13,2,3,2,0,0
vs RHP,400284,400284,36,32,11,21,3,0,1
vs LHP,405395,405395,16,16,4,7,0,0,0
vs RHP,405395,405395,36,32,13,19,4,0,0
vs RHP,407793,407793,7,6,0,0,0,0,0
vs LHP,407812,407812,1,1,1,4,0,0,0
vs RHP,407812,407812,1,1,1,1,0,0,0
vs RHP,407822,407822,1,1,0,0,0,0,0
vs LHP,407893,407893,15,11,3,6,4,0,0
vs RHP,407893,407893,25,23,6,14,1,1,0
vs LHP,408045,408045,5,5,0,0,0,0,0
vs RHP,408045,408045,14,10,0,0,4,0,0
vs LHP,408047,408047,6,5,2,5,0,1,0
vs RHP,408047,408047,29,26,7,8,3,0,0
vs LHP,408234,408234,15,14,2,3,1,0,0
vs RHP,408234,408234,56,46,20,38,9,0,1
vs LHP,408236,408236,22,21,5,6,1,0,0
vs RHP,408236,408236,34,28,8,13,5,1,0
vs LHP,408252,408252,10,10,2,3,0,0,0
vs RHP,408252,408252,37,35,11,17,0,2,0
vs LHP,408314,408314,6,6,2,3,0,0,0
vs RHP,408314,408314,63,56,13,23,7,0,0
vs LHP,424325,424325,1,1,0,0,0,0,0
vs RHP,424325,424325,10,9,2,5,1,0,0
vs LHP,424825,424825,11,8,1,1,2,0,0
vs RHP,424825,424825,29,24,5,9,4,0,0
vs LHP,425509,425509,17,16,2,3,0,0,1
vs RHP,425509,425509,41,37,16,22,4,0,0
vs LHP,425766,425766,4,4,1,2,0,0,0
vs RHP,425766,425766,31,29,9,17,1,0,1
vs RHP,425772,425772,9,8,1,1,0,0,1
vs LHP,425783,425783,2,2,0,0,0,0,0
vs RHP,425783,425783,10,10,2,2,0,0,0
vs LHP,425784,425784,5,5,1,1,0,0,0
vs RHP,425784,425784,27,25,5,8,1,0,1
vs LHP,425794,425794,2,1,1,2,0,0,0
vs RHP,425794,425794,7,7,1,1,0,0,0
vs LHP,425796,425796,2,2,0,0,0,0,0
vs RHP,425796,425796,10,8,0,0,2,0,0
vs LHP,425834,425834,11,9,2,2,1,1,0
vs RHP,425834,425834,11,9,0,0,2,0,0
vs RHP,425844,425844,4,4,0,0,0,0,0
vs LHP,425877,425877,15,14,5,6,1,0,0
vs RHP,425877,425877,49,44,21,28,2,1,2
vs LHP,425900,425900,6,5,1,1,1,0,0
vs RHP,425900,425900,5,5,1,1,0,0,0
vs LHP,429664,429664,19,18,5,7,0,0,1
vs RHP,429664,429664,53,47,14,35,5,1,0
vs LHP,429665,429665,10,6,3,6,4,0,0
vs RHP,429665,429665,68,58,13,22,9,1,0
vs LHP,429666,429666,14,12,5,7,1,1,0
vs RHP,429666,429666,51,47,12,14,2,1,0
vs LHP,429667,429667,3,2,0,0,0,0,1
vs RHP,429667,429667,31,26,7,20,5,0,0
vs LHP,429711,429711,14,13,2,2,1,0,0
vs RHP,429711,429711,2,2,0,0,0,0,0
vs RHP,429719,429719,7,7,1,1,0,0,0
vs LHP,429722,429722,1,1,0,0,0,0,0
vs RHP,429722,429722,2,1,0,0,0,0,0
vs LHP,430001,430001,2,2,0,0,0,0,0
vs RHP,430001,430001,2,2,0,0,0,0,0
vs LHP,430605,430605,3,3,1,4,0,0,0
vs RHP,430605,430605,2,2,0,0,0,0,0
vs LHP,430637,430637,1,1,0,0,0,0,0
vs RHP,430637,430637,17,15,4,5,2,0,0
vs LHP,430832,430832,9,7,2,3,2,0,0
vs RHP,430832,430832,66,52,15,29,13,0,1
vs RHP,430910,430910,3,3,0,0,0,0,0
vs LHP,430945,430945,19,15,3,3,4,0,0
