Subject,SubjectId,Split,PA,AB,H,TB,BB,SF,HBP
PitcherId,112526,vs LHH,48,45,13,22,2,0,0
PitcherId,112526,vs RHH,37,37,9,13,0,0,0
PitcherId,150274,vs LHH,3,3,0,0,0,0,0
PitcherId,150274,vs RHH,2,2,0,0,0,0,0
PitcherId,276351,vs LHH,16,13,4,11,3,0,0
PitcherId,276351,vs RHH,16,14,6,13,2,0,0
PitcherId,276542,vs LHH,11,10,3,4,1,0,0
PitcherId,276542,vs RHH,8,8,1,1,0,0,0
PitcherId,279571,vs LHH,3,3,1,1,0,0,0
PitcherId,279571,vs RHH,8,8,1,2,0,0,0
PitcherId,282332,vs LHH,18,17,3,3,1,0,0
PitcherId,282332,vs RHH,60,53,13,21,7,0,0
PitcherId,285064,vs LHH,36,27,9,18,9,0,0
PitcherId,285064,vs RHH,50,44,8,9,3,0,1
PitcherId,285079,vs LHH,9,7,1,1,0,1,0
PitcherId,285079,vs RHH,17,16,6,7,1,0,0
PitcherId,407793,vs LHH,23,21,6,10,2,0,0
PitcherId,407793,vs RHH,55,50,13,21,4,0,0
PitcherId,407822,vs LHH,9,8,2,5,1,0,0
PitcherId,407822,vs RHH,17,12,5,10,2,0,2
PitcherId,407845,vs LHH,13,9,2,2,2,1,0
PitcherId,407845,vs RHH,14,13,4,5,1,0,0
PitcherId,407890,vs LHH,27,23,6,10,3,0,1
PitcherId,407890,vs RHH,36,32,9,17,4,0,0
PitcherId,408061,vs LHH,9,9,2,5,0,0,0
PitcherId,408061,vs RHH,8,7,2,3,1,0,0
PitcherId,408241,vs LHH,2,2,1,2,0,0,0
PitcherId,408241,vs RHH,3,2,0,0,1,0,0
PitcherId,424144,vs LHH,8,7,2,2,1,0,0
PitcherId,424144,vs RHH,3,3,0,0,0,0,0
PitcherId,425492,vs LHH,16,15,6,7,1,0,0
PitcherId,425492,vs RHH,12,8,3,3,3,0,1
PitcherId,425532,vs LHH,3,3,0,0,0,0,0
PitcherId,425532,vs RHH,5,5,2,2,0,0,0
PitcherId,425657,vs LHH,6,5,1,1,0,0,1
PitcherId,425657,vs RHH,1,1,1,1,0,0,0
PitcherId,425794,vs LHH,58,50,17,34,8,0,0
PitcherId,425794,vs RHH,49,44,15,20,2,2,0
PitcherId,425844,vs LHH,34,28,3,4,6,0,0
PitcherId,425844,vs RHH,15,13,3,8,2,0,0
PitcherId,429719,vs LHH,36,29,6,10,7,0,0
PitcherId,429719,vs RHH,40,37,14,32,2,0,0
PitcherId,429722,vs LHH,42,36,7,10,4,1,1
PitcherId,429722,vs RHH,32,29,6,8,3,0,0
PitcherId,430599,vs LHH,11,11,5,5,0,0,0
PitcherId,430599,vs RHH,15,12,2,2,3,0,0
PitcherId,430634,vs LHH,5,5,1,4,0,0,0
PitcherId,430634,vs RHH,6,5,1,2,1,0,0
PitcherId,430641,vs LHH,8,7,2,5,1,0,0
PitcherId,430641,vs RHH,9,9,3,3,0,0,0
PitcherId,430661,vs LHH,12,11,5,8,1,0,0
PitcherId,430661,vs RHH,16,15,2,2,1,0,0
PitcherId,430912,vs LHH,1,1,0,0,0,0,0
PitcherId,430912,vs RHH,10,9,4,5,0,1,0
PitcherId,430935,vs LHH,9,7,1,1,2,0,0
PitcherId,430935,vs RHH,72,68,20,34,3,1,0
PitcherId,431148,vs LHH,2,2,2,2,0,0,0
PitcherId,431148,vs RHH,2,2,0,0,0,0,0
PitcherId,432934,vs LHH,11,9,2,5,2,0,0
PitcherId,432934,vs RHH,10,10,3,3,0,0,0
PitcherId,433586,vs LHH,2,2,0,0,0,0,0
PitcherId,433586,vs RHH,10,9,1,1,1,0,0
PitcherId,433587,vs LHH,28,23,6,13,3,0,1
PitcherId,433587,vs RHH,64,59,19,27,5,0,0
PitcherId,433589,vs LHH,3,2,0,0,1,0,0
PitcherId,433589,vs RHH,12,11,6,11,1,0,0
PitcherId,434378,vs LHH,65,55,5,8,7,1,1
PitcherId,434378,vs RHH,39,38,10,13,1,0,0
PitcherId,434442,vs LHH,8,7,1,2,0,0,1
PitcherId,434442,vs RHH,5,5,3,3,0,0,0
PitcherId,434538,vs LHH,15,14,3,3,1,0,0
PitcherId,434538,vs RHH,60,56,12,16,4,0,0
PitcherId,434622,vs LHH,26,23,4,5,2,0,0
PitcherId,434622,vs RHH,48,42,8,14,5,0,0
PitcherId,434628,vs LHH,18,15,2,4,2,0,1
PitcherId,434628,vs RHH,23,23,8,15,0,0,0
PitcherId,434671,vs LHH,13,13,3,7,0,0,0
PitcherId,434671,vs RHH,14,13,3,9,1,0,0
PitcherId,434672,vs LHH,6,3,0,0,3,0,0
PitcherId,434672,vs RHH,15,13,1,2,2,0,0
PitcherId,435043,vs LHH,13,12,2,3,1,0,0
PitcherId,435043,vs RHH,13,11,3,3,2,0,0
PitcherId,435221,vs LHH,17,14,4,5,1,1,0
PitcherId,435221,vs RHH,9,8,5,7,1,0,0
PitcherId,435400,vs LHH,6,5,1,1,1,0,0
PitcherId,435400,vs RHH,6,4,2,3,1,1,0
PitcherId,444468,vs LHH,11,10,5,10,0,0,1
PitcherId,444468,vs RHH,15,13,6,11,2,0,0
PitcherId,444857,vs LHH,3,2,0,0,1,0,0
PitcherId,444857,vs RHH,1,1,0,0,0,0,0
PitcherId,445060,vs LHH,25,22,4,4,3,0,0
PitcherId,445060,vs RHH,52,49,11,13,2,0,1
PitcherId,445197,vs LHH,15,15,6,9,0,0,0
PitcherId,445197,vs RHH,10,10,4,8,0,0,0
PitcherId,445213,vs LHH,14,14,5,8,0,0,0
PitcherId,445213,vs RHH,12,10,4,4,1,0,1
PitcherId,445276,vs LHH,10,8,1,4,2,0,0
PitcherId,445276,vs RHH,13,12,2,4,0,1,0
PitcherId,445926,vs LHH,6,6,2,2,0,0,0
PitcherId,445926,vs RHH,8,8,4,7,0,0,0
PitcherId,445968,vs LHH,7,4,1,1,3,0,0
PitcherId,445968,vs RHH,8,7,4,6,1,0,0
PitcherId,446099,vs LHH,9,9,1,2,0,0,0
PitcherId,446099,vs RHH,14,12,2,2,1,0,1
PitcherId,446321,vs LHH,5,5,1,4,0,0,0
