study,treat,event,total,pid
ARCHES,E+ADT,139,572,31329516
ARCHES,ADT,147,574,31329516
ENZAMET,E+ADT,277,563,36990608
ENZAMET,ADT,193,558,36990608
LATITUDE,AAP+ADT,411,597,30987939
LATITUDE,ADT,309,602,30987939
STAMPEDE_ARM-C,D+ADT,288,592,26719232
STAMPEDE_ARM-C,ADT,399,1184,26719232
STAMPEDE_ARM-G,AAP+ADT,443,955,31447077
STAMPEDE_ARM-G,ADT,315,953,31447077
STAMPEDE_ARM-G,AAP+ADT,271,498,31447077
STAMPEDE_ARM-G,ADT,192,502,31447077
TITAN,APA+ADT,279,524,1111111
TITAN,ADT,237,527,1111111
