category,name,comparator,treatment,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias,incoherence,intransitivity
default,input_OS,AAP+D+ADT,DARO+D+ADT,,,,,,,
default,input_OS,APA+ADT,DARO+D+ADT,,,,,,,
default,input_OS,E+ADT,DARO+D+ADT,,,,,,,
default,input_OS,AAP+ADT,DARO+D+ADT,,,,,,,
default,input_OS,D+ADT,DARO+D+ADT,,,,,,,
default,input_OS,TAK+ADT,DARO+D+ADT,,,,,,,
default,input_OS,NSAA+ADT,DARO+D+ADT,,,,,,,
default,input_OS,ADT,DARO+D+ADT,,,,,,,
default,input_OS,E+AAP+ADT,DARO+D+ADT,,,,,,,
default,input_OS,DARO+D+ADT,AAP+D+ADT,,,,,,,
default,input_OS,APA+ADT,AAP+D+ADT,,,,,,,
default,input_OS,E+ADT,AAP+D+ADT,,,,,,,
default,input_OS,AAP+ADT,AAP+D+ADT,,,,,,,
default,input_OS,D+ADT,AAP+D+ADT,,,,,,,
default,input_OS,TAK+ADT,AAP+D+ADT,,,,,,,
default,input_OS,NSAA+ADT,AAP+D+ADT,,,,,,,
default,input_OS,ADT,AAP+D+ADT,,,,,,,
default,input_OS,E+AAP+ADT,AAP+D+ADT,,,,,,,
default,input_OS,DARO+D+ADT,APA+ADT,,,,,,,
default,input_OS,AAP+D+ADT,APA+ADT,,,,,,,
default,input_OS,E+ADT,APA+ADT,,,,,,,
default,input_OS,AAP+ADT,APA+ADT,,,,,,,
default,input_OS,D+ADT,APA+ADT,,,,,,,
default,input_OS,TAK+ADT,APA+ADT,,,,,,,
default,input_OS,NSAA+ADT,APA+ADT,,,,,,,
default,input_OS,ADT,APA+ADT,,,,,,,
default,input_OS,E+AAP+ADT,APA+ADT,,,,,,,
default,input_OS,DARO+D+ADT,E+ADT,,,,,,,
default,input_OS,AAP+D+ADT,E+ADT,,,,,,,
default,input_OS,APA+ADT,E+ADT,,,,,,,
default,input_OS,AAP+ADT,E+ADT,,,,,,,
default,input_OS,D+ADT,E+ADT,,,,,,,
default,input_OS,TAK+ADT,E+ADT,,,,,,,
default,input_OS,NSAA+ADT,E+ADT,,,,,,,
default,input_OS,ADT,E+ADT,,,,,,,
default,input_OS,E+AAP+ADT,E+ADT,,,,,,,
default,input_OS,DARO+D+ADT,AAP+ADT,,,,,,,
default,input_OS,AAP+D+ADT,AAP+ADT,,,,,,,
default,input_OS,APA+ADT,AAP+ADT,,,,,,,
default,input_OS,E+ADT,AAP+ADT,,,,,,,
default,input_OS,D+ADT,AAP+ADT,,,,,,,
default,input_OS,TAK+ADT,AAP+ADT,,,,,,,
default,input_OS,NSAA+ADT,AAP+ADT,,,,,,,
default,input_OS,ADT,AAP+ADT,,,,,,,
default,input_OS,E+AAP+ADT,AAP+ADT,,,,,,,
default,input_OS,DARO+D+ADT,D+ADT,,,,,,,
default,input_OS,AAP+D+ADT,D+ADT,,,,,,,
default,input_OS,APA+ADT,D+ADT,,,,,,,
default,input_OS,E+ADT,D+ADT,,,,,,,
default,input_OS,AAP+ADT,D+ADT,,,,,,,
default,input_OS,TAK+ADT,D+ADT,,,,,,,
default,input_OS,NSAA+ADT,D+ADT,,,,,,,
default,input_OS,ADT,D+ADT,,,,,,,
default,input_OS,E+AAP+ADT,D+ADT,,,,,,,
default,input_OS,DARO+D+ADT,TAK+ADT,,,,,,,
default,input_OS,AAP+D+ADT,TAK+ADT,,,,,,,
default,input_OS,APA+ADT,TAK+ADT,,,,,,,
default,input_OS,E+ADT,TAK+ADT,,,,,,,
default,input_OS,AAP+ADT,TAK+ADT,,,,,,,
default,input_OS,D+ADT,TAK+ADT,,,,,,,
default,input_OS,NSAA+ADT,TAK+ADT,,,,,,,
default,input_OS,ADT,TAK+ADT,,,,,,,
default,input_OS,E+AAP+ADT,TAK+ADT,,,,,,,
default,input_OS,DARO+D+ADT,NSAA+ADT,,,,,,,
default,input_OS,AAP+D+ADT,NSAA+ADT,,,,,,,
default,input_OS,APA+ADT,NSAA+ADT,,,,,,,
default,input_OS,E+ADT,NSAA+ADT,,,,,,,
default,input_OS,AAP+ADT,NSAA+ADT,,,,,,,
default,input_OS,D+ADT,NSAA+ADT,,,,,,,
default,input_OS,TAK+ADT,NSAA+ADT,,,,,,,
default,input_OS,ADT,NSAA+ADT,,,,,,,
default,input_OS,E+AAP+ADT,NSAA+ADT,,,,,,,
default,input_OS,DARO+D+ADT,ADT,,,,,,,
default,input_OS,AAP+D+ADT,ADT,,,,,,,
default,input_OS,APA+ADT,ADT,,,,,,,
default,input_OS,E+ADT,ADT,,,,,,,
default,input_OS,AAP+ADT,ADT,,,,,,,
default,input_OS,D+ADT,ADT,,,,,,,
default,input_OS,TAK+ADT,ADT,,,,,,,
default,input_OS,NSAA+ADT,ADT,,,,,,,
default,input_OS,E+AAP+ADT,ADT,,,,,,,
default,input_OS,DARO+D+ADT,E+AAP+ADT,,,,,,,
default,input_OS,AAP+D+ADT,E+AAP+ADT,,,,,,,
default,input_OS,APA+ADT,E+AAP+ADT,,,,,,,
default,input_OS,E+ADT,E+AAP+ADT,,,,,,,
default,input_OS,AAP+ADT,E+AAP+ADT,,,,,,,
default,input_OS,D+ADT,E+AAP+ADT,,,,,,,
default,input_OS,TAK+ADT,E+AAP+ADT,,,,,,,
default,input_OS,NSAA+ADT,E+AAP+ADT,,,,,,,
default,input_OS,ADT,E+AAP+ADT,,,,,,,
