comparator,treatment
AAP+D+ADT,DARO+D+ADT
APA+ADT,DARO+D+ADT
E+ADT,DARO+D+ADT
AAP+ADT,DARO+D+ADT
D+ADT,DARO+D+ADT
TAK+ADT,DARO+D+ADT
NSAA+ADT,DARO+D+ADT
ADT,DARO+D+ADT
E+AAP+ADT,DARO+D+ADT
DARO+D+ADT,AAP+D+ADT
APA+ADT,AAP+D+ADT
E+ADT,AAP+D+ADT
AAP+ADT,AAP+D+ADT
D+ADT,AAP+D+ADT
TAK+ADT,AAP+D+ADT
NSAA+ADT,AAP+D+ADT
ADT,AAP+D+ADT
E+AAP+ADT,AAP+D+ADT
DARO+D+ADT,APA+ADT
AAP+D+ADT,APA+ADT
E+ADT,APA+ADT
AAP+ADT,APA+ADT
D+ADT,APA+ADT
TAK+ADT,APA+ADT
NSAA+ADT,APA+ADT
ADT,APA+ADT
E+AAP+ADT,APA+ADT
DARO+D+ADT,E+ADT
AAP+D+ADT,E+ADT
APA+ADT,E+ADT
AAP+ADT,E+ADT
D+ADT,E+ADT
TAK+ADT,E+ADT
NSAA+ADT,E+ADT
ADT,E+ADT
E+AAP+ADT,E+ADT
DARO+D+ADT,AAP+ADT
AAP+D+ADT,AAP+ADT
APA+ADT,AAP+ADT
E+ADT,AAP+ADT
D+ADT,AAP+ADT
TAK+ADT,AAP+ADT
NSAA+ADT,AAP+ADT
ADT,AAP+ADT
E+AAP+ADT,AAP+ADT
DARO+D+ADT,D+ADT
AAP+D+ADT,D+ADT
APA+ADT,D+ADT
E+ADT,D+ADT
AAP+ADT,D+ADT
TAK+ADT,D+ADT
NSAA+ADT,D+ADT
ADT,D+ADT
E+AAP+ADT,D+ADT
DARO+D+ADT,TAK+ADT
AAP+D+ADT,TAK+ADT
APA+ADT,TAK+ADT
E+ADT,TAK+ADT
AAP+ADT,TAK+ADT
D+ADT,TAK+ADT
NSAA+ADT,TAK+ADT
ADT,TAK+ADT
E+AAP+ADT,TAK+ADT
DARO+D+ADT,NSAA+ADT
AAP+D+ADT,NSAA+ADT
APA+ADT,NSAA+ADT
E+ADT,NSAA+ADT
AAP+ADT,NSAA+ADT
D+ADT,NSAA+ADT
TAK+ADT,NSAA+ADT
ADT,NSAA+ADT
E+AAP+ADT,NSAA+ADT
DARO+D+ADT,ADT
AAP+D+ADT,ADT
APA+ADT,ADT
E+ADT,ADT
AAP+ADT,ADT
D+ADT,ADT
TAK+ADT,ADT
NSAA+ADT,ADT
E+AAP+ADT,ADT
DARO+D+ADT,E+AAP+ADT
AAP+D+ADT,E+AAP+ADT
APA+ADT,E+AAP+ADT
E+ADT,E+AAP+ADT
AAP+ADT,E+AAP+ADT
D+ADT,E+AAP+ADT
TAK+ADT,E+AAP+ADT
NSAA+ADT,E+AAP+ADT
ADT,E+AAP+ADT
