dt_strata,dow,pct_hourly_0100,pct_hourly_0200,pct_hourly_0300,pct_hourly_0400,pct_hourly_0500,pct_hourly_0600,pct_hourly_0700,pct_hourly_0800,pct_hourly_0900,pct_hourly_1000,pct_hourly_1100,pct_hourly_1200,pct_hourly_1300,pct_hourly_1400,pct_hourly_1500,pct_hourly_1600,pct_hourly_1700,pct_hourly_1800,pct_hourly_1900,pct_hourly_2000,pct_hourly_2100,pct_hourly_2200,pct_hourly_2300,pct_hourly_2400
1/1/2014,4,0.401886,0.047515,0.142297,0.105676,0.086158,0.049559,0.252565,0.079152,0.268245,0.323391,0.579675,1.149117,0.395818,0.346526,0.168488,0.23271,0.198111,0.171766,0.320391,0.175918,0.108393,0.147213,0.300779,0.373929
1/2/2014,5,0.061808,0.015586,0.08193,0.038746,0.064935,0.341103,0.318072,0.24995,0.445953,0.414153,0.202034,0.642902,0.176901,0.311849,0.12562,0.220417,0.393679,0.149632,0.246542,0.189238,0.175515,0.123704,0.101742,0.107344
1/3/2014,6,0.105998,0.097825,0.045263,0.02147,0.116618,0.097069,0.459935,0.101503,0.315191,0.563525,0.622161,0.770581,0.199931,0.22006,0.287004,0.338447,0.128828,0.377166,0.16656,0.167205,0.251336,0.296007,0.329497,0.305914
1/4/2014,7,0.132887,0.084677,0.053741,0.073192,0.06003,0.04954,0.317664,0.315603,0.176922,0.183564,0.149679,0.481933,0.301741,0.321656,0.110129,0.113431,0.255253,0.223525,0.410546,0.235924,0.303486,0.158355,0.159247,0.202652
1/5/2014,1,0.142936,0.196323,0.02642,0.059709,0.094588,0.074242,0.286263,0.190722,0.206605,0.105219,0.322878,0.445997,0.569126,0.3059,0.187928,0.288603,0.252635,0.331517,0.660367,0.305417,0.19502,0.236785,0.067532,0.374162
1/6/2014,2,0.144596,0.140401,0.072001,0.051927,0.060333,0.34059,0.252846,0.129672,0.252802,0.096893,0.126675,0.934969,0.094159,0.166798,0.163398,0.135908,0.173183,0.107974,0.175333,0.142967,0.349206,0.267566,0.19816,0.139492
1/7/2014,3,0.63767,0.301657,0.118809,0.062336,0.080223,0.305052,0.365674,0.187073,0.282156,0.169425,0.144785,1.038315,0.133063,0.094476,0.139129,0.240169,0.153138,0.346022,0.265124,0.175796,0.188321,0.387156,0.253393,0.233121
1/8/2014,4,0.543754,0.052867,0.102874,0.08209,0.055183,0.197372,0.330938,0.367684,0.285571,0.140631,0.247293,0.778223,0.290866,0.357309,0.149013,0.142143,0.244712,0.354296,0.373378,0.264923,0.268538,0.128351,0.079693,0.121809
1/9/2014,5,0.261365,0.03973,0.055574,0.037211,0.067502,0.400747,0.306668,0.380423,0.499958,0.235824,0.126547,0.59193,0.133364,0.078766,0.135112,0.185123,0.157697,0.149188,0.172517,0.241494,0.19589,0.171263,0.230711,0.231441
1/10/2014,6,0.098267,0.180629,0.03763,0.186932,0.105334,0.147263,0.163193,0.317686,0.230637,0.256322,0.277917,0.943786,0.168175,0.310504,0.21695,0.165942,0.218209,0.18349,0.140037,0.251511,0.360058,0.190716,0.137567,0.124541
1/11/2014,7,0.397209,0.039684,0.161775,0.069448,0.178763,0.102295,0.169137,0.214556,0.133446,0.112185,0.13162,0.916595,0.340098,0.182414,0.169665,0.157145,0.132271,0.176081,0.223352,0.287902,0.185407,0.158266,0.075732,0.234813
1/12/2014,1,0.097713,0.150174,0.147578,0.051907,0.067838,0.096356,0.246637,0.144564,0.208324,0.355706,0.247947,0.943801,0.689809,0.380312,0.366812,0.205976,0.252454,0.277329,0.432802,0.322635,0.176007,0.117394,0.154964,0.251829
1/13/2014,2,0.276693,0.246942,0.113612,0.080977,0.109512,0.151877,0.275809,0.096846,0.232972,0.084678,0.171838,1.106615,0.113692,0.051691,0.120973,0.150454,0.217276,0.137503,0.10426,0.11933,0.379608,0.249847,0.212641,0.234767
1/14/2014,3,0.664016,0.016736,0.134884,0.163884,0.069366,0.222645,0.407425,0.391597,0.437748,0.121805,0.084587,1.010131,0.088228,0.074384,0.0728,0.15955,0.133437,0.260236,0.246187,0.337894,0.344683,0.298754,0.308987,0.159409
1/15/2014,4,0.067745,0.076611,0.118762,0.071893,0.093645,0.278292,0.795026,0.215559,0.258942,0.127866,0.112335,1.131565,0.31578,0.12409,0.133528,0.083376,0.18764,0.349845,0.285969,0.315867,0.247152,0.402982,0.271757,0.303012
1/16/2014,5,0.425864,0.097536,0.027104,0.019151,0.103189,0.252283,0.281341,0.337837,0.434062,0.268303,0.111419,1.237681,0.058454,0.101382,0.243169,0.245633,0.181334,0.325813,0.343217,0.39433,0.219111,0.378723,0.099249,0.135938
1/17/2014,6,0.646067,0.290466,0.059959,0.053702,0.042282,0.145013,0.315501,0.363432,0.433164,0.191845,0.234786,1.193727,0.190033,0.232077,0.233456,0.050151,0.04053,0.418114,0.171185,0.271185,0.129934,0.108072,0.128608,0.072173
