Hour,January,February,March,April,May,June,July,August,September,October,November,December
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,0.6833,0.4333,0.6667,1,1,1,1,1
6,1,1,1,0.3167,0,0,0,0.15,0.65,1,1,1
7,1,0.9,0.15,0,0,0,0,0,0,0.1667,0.7667,1
8,0.35,0,0,0,0,0,0,0,0,0,0,0.2667
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0833,0,0,0,0,0,0,0,0,0,0.3333,0.4833
18,1,0.4833,0,0,0,0,0,0,0,0.7167,1,1
19,1,1,0.9167,0.3667,0,0,0,0.0667,0.8833,1,1,1
20,1,1,1,1,0.85,0.4833,0.5333,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1
