date,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
1/1/2014,0.9188,0.90204,0.90953,0.89743,0.90784,0.91352,0.90426,0.84936,0.83371,0.88786,0.86311,0.93132,0.91851,0.84487,0.87496,0.84075,0.98534,1.02454,0.98755,0.99935,0.98452,0.96688,0.95505,0.91513
1/2/2014,0.87892,0.88134,0.87665,0.90858,0.91542,0.92161,0.93303,1.01043,1.14976,1.25251,1.28495,1.34673,1.31238,1.3088,1.3,1.19045,1.16443,1.17685,1.12458,1.05529,0.98511,0.96193,0.96526,0.97122
1/3/2014,0.93044,0.92009,0.92011,0.93063,0.93666,0.94961,0.93255,0.91908,0.91562,0.96811,1.00253,1.06153,1.19003,1.19289,1.22758,1.21124,1.20832,1.22837,1.17335,1.17034,1.09601,1.08531,1.06987,1.00114
1/4/2014,0.9943,0.99976,1.0038,1.01784,1.03292,1.01593,1.03356,1.01903,1.1229,1.19339,1.23023,1.24012,1.24816,1.30648,1.21167,1.11098,1.18366,1.18973,1.15116,1.10983,1.05467,1.01286,1.03867,1.0293
1/5/2014,0.96557,0.9528,0.9188,0.91824,0.91423,0.92391,0.90871,0.87327,0.87996,0.91213,0.9484,0.91633,0.88302,0.9215,1.04565,0.96922,1.03708,1.03603,1.05365,1.03192,0.99591,0.95368,0.93241,0.93497
1/6/2014,0.83392,0.84155,0.83479,0.81473,0.83405,0.84625,0.82237,0.89455,0.99059,0.9961,1.07918,1.0869,1.02085,1.03167,1.02382,1.10671,1.11651,1.13058,1.07453,0.95042,0.89253,0.86027,0.84209,0.81992
1/7/2014,0.79359,0.79524,0.80018,0.80444,0.83779,0.87527,0.90035,0.96277,1.161,1.33041,1.3974,1.35355,1.31686,1.31962,1.35672,1.34544,1.36951,1.33792,1.15342,1.0886,1.0491,0.99567,0.94117,0.92526
1/8/2014,0.90204,0.89636,0.88868,0.90611,0.89627,0.91316,0.92389,0.99037,1.10004,1.28174,1.3078,1.33299,1.23872,1.27837,1.22345,1.28141,1.31778,1.29909,1.16891,1.0414,0.9737,0.96284,0.92211,0.89747
1/9/2014,0.85961,0.84253,0.84335,0.84051,0.83438,0.86633,0.89309,0.98503,1.1262,1.27069,1.31111,1.27266,1.24922,1.25857,1.21568,1.23003,1.28758,1.27804,1.08137,1.0425,1.04276,0.9966,0.96448,0.91074
1/10/2014,0.90872,0.87047,0.86391,0.85088,0.84164,0.85585,0.88773,0.99188,1.10369,1.21525,1.33645,1.37536,1.34867,1.23736,1.20983,1.17292,1.2235,1.24,1.02514,0.94051,0.91779,0.89057,0.85646,0.86578
