Date,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24
1/1/2016,0.001222,0.001274,0.001131,0.001222,0.001222,0.001261,0.001144,0.00117,0.00117,0.001209,0.001183,0.001235,0.001157,0.001001,0.001014,0.001144,0.001209,0.001547,0.00156,0.001534,0.001573,0.001573,0.001326,0.00117
1/2/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,0.001339
1/3/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,0.001222
1/4/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,0.001274
1/5/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,0.001417
1/6/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,0.001443
1/7/2016,0.001365,0.001287,0.001352,0.001339,0.001339,0.001339,0.001417,0.001508,0.001547,0.001495,0.001508,0.001404,0.001352,0.001404,0.001261,0.001209,0.001378,0.001508,0.001534,0.001599,0.001573,0.001599,0.001482,0.001417
1/8/2016,0.001287,0.001209,0.001196,0.00117,0.001196,0.001261,0.001339,0.001339,0.001339,0.001313,0.001287,0.00117,0.001144,0.001118,0.001105,0.001144,0.001209,0.001404,0.001521,0.001508,0.001521,0.001547,0.001495,0.001365
1/9/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,0.001339
1/10/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,0.001222
1/11/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,0.001274
1/12/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,0.001417
1/13/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,0.001443
1/14/2016,0.001365,0.001287,0.001352,0.001339,0.001339,0.001339,0.001417,0.001508,0.001547,0.001495,0.001508,0.001404,0.001352,0.001404,0.001261,0.001209,0.001378,0.001508,0.001534,0.001599,0.001573,0.001599,0.001482,0.001417
1/15/2016,0.001287,0.001209,0.001196,0.00117,0.001196,0.001261,0.001339,0.001339,0.001339,0.001313,0.001287,0.00117,0.001144,0.001118,0.001105,0.001144,0.001209,0.001404,0.001521,0.001508,0.001521,0.001547,0.001495,0.001365
1/16/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,0.001339
1/17/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,0.001222
1/18/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,0.001274
1/19/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,0.001417
1/20/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,0.001443
1/21/2016,0.001365,0.001287,0.001352,0.001339,0.001339,0.001339,0.001417,0.001508,0.001547,0.001495,0.001508,0.001404,0.001352,0.001404,0.001261,0.001209,0.001378,0.001508,0.001534,0.001599,0.001573,0.001599,0.001482,0.001417
1/22/2016,0.001287,0.001209,0.001196,0.00117,0.001196,0.001261,0.001339,0.001339,0.001339,0.001313,0.001287,0.00117,0.001144,0.001118,0.001105,0.001144,0.001209,0.001404,0.001521,0.001508,0.001521,0.001547,0.001495,0.001365
1/23/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,0.001339
1/24/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,0.001222
1/25/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,0.001274
1/26/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,0.001417
1/27/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,0.001443
1/28/2016,0.001365,0.001287,0.001352,0.001339,0.001339,0.001339,0.001417,0.001508,0.001547,0.001495,0.001508,0.001404,0.001352,0.001404,0.001261,0.001209,0.001378,0.001508,0.001534,0.001599,0.001573,0.001599,0.001482,0.001417
1/29/2016,0.001287,0.001209,0.001196,0.00117,0.001196,0.001261,0.001339,0.001339,0.001339,0.001313,0.001287,0.00117,0.001144,0.001118,0.001105,0.001144,0.001209,0.001404,0.001521,0.001508,0.001521,0.001547,0.001495,0.001365
1/30/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,0.001339
